date,qvix
2015-02-09,28.63
2015-02-10,28.75
2015-02-11,26.44
2015-02-12,25.8
2015-02-13,23.41
2015-02-16,23.71
2015-02-17,24.3
2015-02-25,26.33
2015-02-26,26.1
2015-02-27,27.04
2015-03-02,28.05
2015-03-03,28.45
2015-03-04,27.68
2015-03-05,26.67
2015-03-06,26.47
2015-03-09,27.22
2015-03-10,26.22
2015-03-11,25.86
2015-03-12,25.93
2015-03-13,25.01
2015-03-16,25.2
2015-03-17,25.25
2015-03-18,25.14
2015-03-19,27.3
2015-03-20,26.47
2015-03-23,28.76
2015-03-24,30.67
2015-03-25,30.16
2015-03-26,29.06
2015-03-27,29.28
2015-03-30,27.87
2015-03-31,30.09
2015-04-01,30.36
2015-04-02,31.77
2015-04-03,31.17
2015-04-07,29.51
2015-04-08,31.98
2015-04-09,35.06
2015-04-10,33.41
2015-04-13,36.86
2015-04-14,40.15
2015-04-15,40.13
2015-04-16,37.36
2015-04-17,41.57
2015-04-20,47.75
2015-04-21,46.9
2015-04-22,44.28
2015-04-23,44.72
2015-04-24,45.65
2015-04-27,44.88
2015-04-28,46.59
2015-04-29,46.61
2015-04-30,46.55
2015-05-04,46.13
2015-05-05,45.46
2015-05-06,45.55
2015-05-07,46.78
2015-05-08,44.97
2015-05-11,45.78
2015-05-12,45.97
2015-05-13,46.03
2015-05-14,44.96
2015-05-15,41.44
2015-05-18,37.48
2015-05-19,37.28
2015-05-20,41.52
2015-05-21,42.05
2015-05-22,43.01
2015-05-25,45.8
2015-05-26,45.81
2015-05-27,46.91
2015-05-28,46.63
2015-05-29,47.29
2015-06-01,47.22
2015-06-02,47.61
2015-06-03,47.9
2015-06-04,46.57
2015-06-05,46.6
2015-06-08,43.66
2015-06-09,47.55
2015-06-10,48.07
2015-06-11,49.74
2015-06-12,49.76
2015-06-15,48.06
2015-06-16,47.27
2015-06-17,47.31
2015-06-18,47.08
2015-06-19,46.9
2015-06-23,51.17
2015-06-24,52.05
2015-06-25,47.42
2015-06-26,48.08
2015-06-29,60.09
2015-06-30,59.21
2015-07-01,55.91
2015-07-02,57.54
2015-07-03,55.15
2015-07-06,60.08
2015-07-07,54.84
2015-07-08,51.7
2015-07-09,55.34
2015-07-10,54.02
2015-07-13,52.96
2015-07-14,49.31
2015-07-15,45.06
2015-07-16,41.63
2015-07-17,39.33
2015-07-20,38.73
2015-07-21,38.79
2015-07-22,35.26
2015-07-23,32.98
2015-07-24,33.09
2015-07-27,30.41
2015-07-28,39.52
2015-07-29,41.79
2015-07-30,37.43
2015-07-31,40.17
2015-08-03,40.45
2015-08-04,40.02
2015-08-05,40.26
2015-08-06,41.51
2015-08-07,40.79
2015-08-10,40.75
2015-08-11,40.18
2015-08-12,39.83
2015-08-13,39.61
2015-08-14,39.65
2015-08-17,40.06
2015-08-18,39.07
2015-08-19,37.42
2015-08-20,38.03
2015-08-21,35.2
2015-08-24,35.61
2015-08-25,48.34
2015-08-26,63.79
2015-08-27,61.14
2015-08-28,61.16
2015-08-31,62.28
2015-09-01,63.33
2015-09-02,60.88
2015-09-07,59.49
2015-09-08,47.98
2015-09-09,45.63
2015-09-10,41.78
2015-09-11,40.86
2015-09-14,42.35
2015-09-15,44.63
2015-09-16,41.34
2015-09-17,41.06
2015-09-18,40.19
2015-09-21,39.81
2015-09-22,37.17
2015-09-23,38.93
2015-09-24,37.63
2015-09-25,34.91
2015-09-28,31.93
2015-09-29,31.1
2015-09-30,30.65
2015-10-08,31.7
2015-10-09,30.07
2015-10-12,30.07
2015-10-13,31.95
2015-10-14,31.71
2015-10-15,29.66
2015-10-16,29.26
2015-10-19,30.34
2015-10-20,30.99
2015-10-21,32.76
2015-10-22,31.8
2015-10-23,30.64
2015-10-26,32.39
2015-10-27,30.86
2015-10-28,31.72
2015-10-29,31.76
2015-10-30,28.96
2015-11-02,29.84
2015-11-03,30.01
2015-11-04,30.25
2015-11-05,32.16
2015-11-06,32.45
2015-11-09,41.93
2015-11-10,43.1
2015-11-11,39.62
2015-11-12,38.7
2015-11-13,37.74
2015-11-16,38.37
2015-11-17,37.72
2015-11-18,37.03
2015-11-19,35.99
2015-11-20,34.04
2015-11-23,33.22
2015-11-24,31.83
2015-11-25,32.28
2015-11-26,29.7
2015-11-27,34.58
2015-11-30,34.53
2015-12-01,33.73
2015-12-02,32.45
2015-12-03,32.53
2015-12-04,32.49
2015-12-07,31.6
2015-12-08,31.46
2015-12-09,31.12
2015-12-10,30.86
2015-12-11,30.77
2015-12-14,31.09
2015-12-15,30.47
2015-12-16,30.28
2015-12-17,29.27
2015-12-18,26.08
2015-12-21,26.61
2015-12-22,27.69
2015-12-23,28.04
2015-12-24,27.19
2015-12-25,26.28
2015-12-28,28.13
2015-12-29,27.28
2015-12-30,27.46
2015-12-31,27.95
2016-01-04,33.44
2016-01-05,32.18
2016-01-06,31.51
2016-01-07,23.33
2016-01-08,35.22
2016-01-11,33.81
2016-01-12,35.91
2016-01-13,34.72
2016-01-14,37.8
2016-01-15,35.49
2016-01-18,37.24
2016-01-19,37.35
2016-01-20,36.81
2016-01-21,35.12
2016-01-22,34.87
2016-01-25,34.74
2016-01-26,32.02
2016-01-27,38.46
2016-01-28,37.67
2016-01-29,38.95
2016-02-01,36.37
2016-02-02,35.14
2016-02-03,34.8
2016-02-04,34.52
2016-02-05,35.38
2016-02-15,37.39
2016-02-16,36.65
2016-02-17,35.5
2016-02-18,33.79
2016-02-19,32.22
2016-02-22,31.44
2016-02-23,32.38
2016-02-24,32.48
2016-02-25,33.85
2016-02-26,32.53
2016-02-29,32.63
2016-03-01,31.51
2016-03-02,33.15
2016-03-03,33.12
2016-03-04,33.01
2016-03-07,33.82
2016-03-08,33.42
2016-03-09,33.47
2016-03-10,33.64
2016-03-11,33.64
2016-03-14,33.28
2016-03-15,32.64
2016-03-16,31.89
2016-03-17,31.25
2016-03-18,31.16
2016-03-21,31.56
2016-03-22,33.11
2016-03-23,34.04
2016-03-24,32.9
2016-03-25,30.98
2016-03-28,31.1
2016-03-29,31.21
2016-03-30,30.87
2016-03-31,30.96
2016-04-01,30.5
2016-04-05,30.19
2016-04-06,29.96
2016-04-07,28.8
2016-04-08,27.66
2016-04-11,27.63
2016-04-12,26.65
2016-04-13,26.5
2016-04-14,26.06
2016-04-15,26.05
2016-04-18,26.19
2016-04-19,25.49
2016-04-20,25.62
2016-04-21,25.05
2016-04-22,24.52
2016-04-25,25.16
2016-04-26,25.53
2016-04-27,25.47
2016-04-28,24.4
