date,cpi_yoy_pct,cpi_available_date,ppi_yoy_pct,ppi_available_date
2006-01-31,,,3.05,2006-02-20
2006-02-28,,,3.01,2006-03-20
2006-03-31,,,2.49,2006-04-20
2006-04-30,,,1.87,2006-05-20
2006-05-31,,,2.43,2006-06-20
2006-06-30,,,3.52,2006-07-20
2006-07-31,,,3.58,2006-08-20
2006-08-31,,,3.4,2006-09-20
2006-09-30,,,3.45,2006-10-20
2006-10-31,,,2.9,2006-11-20
2006-11-30,,,2.78,2006-12-20
2006-12-31,,,3.05,2007-01-20
2007-01-31,,,3.3,2007-02-20
2007-02-28,,,2.6,2007-03-20
2007-03-31,,,2.65,2007-04-20
2007-04-30,,,2.87,2007-05-20
2007-05-31,,,2.76,2007-06-20
2007-06-30,,,2.49,2007-07-20
2007-07-31,,,2.39,2007-08-20
2007-08-31,,,2.56,2007-09-20
2007-09-30,,,2.71,2007-10-20
2007-10-31,,,3.21,2007-11-20
2007-11-30,,,4.55,2007-12-20
2007-12-31,,,5.43,2008-01-20
2008-01-31,7.0781,2008-02-20,6.07,2008-02-20
2008-02-29,8.7443,2008-03-20,6.62,2008-03-20
2008-03-31,8.3097,2008-04-20,7.95,2008-04-20
2008-04-30,8.4829,2008-05-20,8.12,2008-05-20
2008-05-31,7.7163,2008-06-20,8.22,2008-06-20
2008-06-30,7.0844,2008-07-20,8.84,2008-07-20
2008-07-31,6.302,2008-08-20,10.03,2008-08-20
2008-08-31,4.9001,2008-09-20,10.06,2008-09-20
2008-09-30,4.6425,2008-10-20,9.13,2008-10-20
2008-10-31,3.9744,2008-11-20,6.59,2008-11-20
2008-11-30,2.434,2008-12-20,1.99,2008-12-20
2008-12-31,1.1999,2009-01-20,-1.14,2009-01-20
2009-01-31,0.95,2009-02-20,-3.35,2009-02-20
2009-02-28,-1.5582,2009-03-20,-4.47,2009-03-20
2009-03-31,-1.1714,2009-04-20,-5.99,2009-04-20
2009-04-30,-1.5,2009-05-20,-6.6,2009-05-20
2009-05-31,-1.3713,2009-06-20,-7.2,2009-06-20
2009-06-30,-1.7,2009-07-20,-7.8,2009-07-20
2009-07-31,-1.8057,2009-08-20,-8.22,2009-08-20
2009-08-31,-1.2043,2009-09-20,-7.86,2009-09-20
2009-09-30,-0.7883,2009-10-20,-6.99,2009-10-20
2009-10-31,-0.53,2009-11-20,-5.85,2009-11-20
2009-11-30,0.56,2009-12-20,-2.08,2009-12-20
2009-12-31,1.8559,2010-01-20,1.7,2010-01-20
2010-01-31,1.53,2010-02-20,4.32,2010-02-20
2010-02-28,2.6953,2010-03-20,5.39,2010-03-20
2010-03-31,2.3707,2010-04-20,5.91,2010-04-20
2010-04-30,2.8136,2010-05-20,6.81,2010-05-20
2010-05-31,3.0613,2010-06-20,7.13,2010-06-20
2010-06-30,2.9499,2010-07-20,6.41,2010-07-20
2010-07-31,3.3042,2010-08-20,4.84,2010-08-20
2010-08-31,3.4794,2010-09-20,4.32,2010-09-20
2010-09-30,3.6056,2010-10-20,4.33,2010-10-20
2010-10-31,4.3655,2010-11-20,5.04,2010-11-20
2010-11-30,5.1192,2010-12-20,6.06,2010-12-20
2010-12-31,4.5859,2011-01-20,5.93,2011-01-20
2011-01-31,4.9121,2011-02-20,6.6436,2011-02-20
2011-02-28,4.9443,2011-03-20,7.2322,2011-03-20
2011-03-31,5.383,2011-04-20,7.3081,2011-04-20
2011-04-30,5.3442,2011-05-20,6.821,2011-05-20
2011-05-31,5.5146,2011-06-20,6.7851,2011-06-20
2011-06-30,6.3553,2011-07-20,7.1209,2011-07-20
2011-07-31,6.4508,2011-08-20,7.5417,2011-08-20
2011-08-31,6.1514,2011-09-20,7.2528,2011-09-20
2011-09-30,6.0671,2011-10-20,6.5227,2011-10-20
2011-10-31,5.4954,2011-11-20,5.0038,2011-11-20
2011-11-30,4.2246,2011-12-20,2.7179,2011-12-20
2011-12-31,4.0704,2012-01-20,1.6854,2012-01-20
2012-01-31,4.5485,2012-02-20,0.7347,2012-02-20
2012-02-29,3.1613,2012-03-20,0.0284,2012-03-20
2012-03-31,3.5856,2012-04-20,-0.3171,2012-04-20
2012-04-30,3.3653,2012-05-20,-0.6984,2012-05-20
2012-05-31,3.0008,2012-06-20,-1.3981,2012-06-20
2012-06-30,2.1504,2012-07-20,-2.0843,2012-07-20
2012-07-31,1.8,2012-08-20,-2.8651,2012-08-20
2012-08-31,2.0,2012-09-20,-3.4784,2012-09-20
2012-09-30,1.9,2012-10-20,-3.5545,2012-10-20
2012-10-31,1.7,2012-11-20,-2.7558,2012-11-20
2012-11-30,2.0,2012-12-20,-2.1995,2012-12-20
2012-12-31,2.5,2013-01-20,-1.9397,2013-01-20
2013-01-31,2.0,2013-02-20,-1.6372,2013-02-20
2013-02-28,3.2,2013-03-20,-1.6254,2013-03-20
2013-03-31,2.1,2013-04-20,-1.919,2013-04-20
2013-04-30,2.4,2013-05-20,-2.6175,2013-05-20
2013-05-31,2.0981,2013-06-20,-2.8658,2013-06-20
2013-06-30,2.7,2013-07-20,-2.6965,2013-07-20
2013-07-31,2.7,2013-08-20,-2.2712,2013-08-20
2013-08-31,2.6,2013-09-20,-1.625,2013-09-20
2013-09-30,3.1,2013-10-20,-1.3439,2013-10-20
2013-10-31,3.2,2013-11-20,-1.5071,2013-11-20
