date,cpi_mom_pct,cpi_chain_index,cpi_available_date
2008-01-31,1.2,101.2,2008-02-20
2008-02-29,2.6,103.83120000000001,2008-03-20
2008-03-31,-0.7,103.10438160000001,2008-04-20
2008-04-30,0.1038,103.21140394810082,2008-05-20
2008-05-31,-0.4,102.79855833230842,2008-06-20
2008-06-30,-0.2,102.59296121564381,2008-07-20
2008-07-31,0.1,102.69555417685945,2008-08-20
2008-08-31,-0.1,102.5928586226826,2008-09-20
2008-09-30,0.0,102.5928586226826,2008-10-20
2008-10-31,-0.3,102.28508004681454,2008-11-20
2008-11-30,-0.8,101.46679940644002,2008-12-20
2008-12-31,-0.2439,101.21932188268772,2009-01-20
2009-01-31,0.9445,102.17533837786969,2009-02-20
2009-02-28,0.0232,102.19904305637337,2009-03-20
2009-03-31,-0.3467,101.84471897409692,2009-04-20
2009-04-30,-0.2319,101.608541070796,2009-05-20
2009-05-31,-0.2852,101.31875351166208,2009-06-20
2009-06-30,-0.4825,100.82989052596831,2009-07-20
2009-07-31,0.0138,100.84380505086091,2009-08-20
2009-08-31,0.4784,101.3262418142242,2009-09-20
2009-09-30,0.4492,101.78139929245368,2009-10-20
2009-10-31,-0.0817,101.69824388923176,2009-11-20
2009-11-30,0.3296,102.03344130109066,2009-12-20
2009-12-31,1.0433,103.09795619418493,2010-01-20
2010-01-31,0.6219,103.73912238375658,2010-02-20
2010-02-28,1.1708,104.9537000286256,2010-03-20
2010-03-31,-0.6618,104.25911644183617,2010-04-20
2010-04-30,0.1998,104.46742615648694,2010-05-20
2010-05-31,-0.074,104.39012026113114,2010-06-20
2010-06-30,-0.5611,103.80438729634594,2010-07-20
2010-07-31,0.358,104.17600700286684,2010-08-20
2010-08-31,0.6488,104.85190093630146,2010-09-20
2010-09-30,0.5717,105.45133925395429,2010-10-20
2010-10-31,0.6512,106.13803837517605,2010-11-20
2010-11-30,1.0542,107.25694557572719,2010-12-20
2010-12-31,0.5307,107.82615818589755,2011-01-20
2011-01-31,1.042,108.94970675419462,2011-02-20
2011-02-28,1.2352,110.2954535320224,2011-03-20
2011-03-31,-0.207,110.06714194321113,2011-04-20
2011-04-30,0.1383,110.21936480051858,2011-05-20
2011-05-31,0.0736,110.30048625301177,2011-06-20
2011-06-30,0.2774,110.60645980187762,2011-07-20
2011-07-31,0.4633,111.11889953013974,2011-08-20
2011-08-31,0.3081,111.4612568595921,2011-09-20
2011-09-30,0.4685,111.98345284797928,2011-10-20
2011-10-31,0.0929,112.08748547567504,2011-11-20
2011-11-30,-0.1889,111.87575221561148,2011-12-20
2011-12-31,0.3119,112.22469268677197,2012-01-20
2012-01-31,1.4975,113.9052574597564,2012-02-20
2012-02-29,-0.108,113.78223978169986,2012-03-20
2012-03-31,0.2033,114.01355907517605,2012-04-20
2012-04-30,-0.0747,113.9283909465469,2012-05-20
2012-05-31,-0.2792,113.61030287902413,2012-06-20
2012-06-30,-0.5505,112.98487816167511,2012-07-20
2012-07-31,0.0981,113.09571632715169,2012-08-20
2012-08-31,0.5702,113.74058810164914,2012-09-20
2012-09-30,0.3381,114.12514503002083,2012-10-20
2012-10-31,-0.0919,114.02026402173824,2012-11-20
2012-11-30,0.1177,114.15446587249183,2012-12-20
2012-12-31,0.7894,115.0556012260893,2013-01-20
2013-01-31,1.0103,116.21800796527646,2013-02-20
2013-02-28,1.0564,117.44573500142164,2013-03-20
2013-03-31,-0.9132,116.37322054938866,2013-04-20
2013-04-30,0.2351,116.64681399090027,2013-05-20
2013-05-31,-0.5597,115.9939417729932,2013-06-20
2013-06-30,0.0049,115.99962547614007,2013-07-20
2013-07-31,0.1036,116.11980108813336,2013-08-20
2013-08-31,0.46497032,116.65972369883619,2013-09-20
2013-09-30,0.81284348,117.60798465670818,2013-10-20
2013-10-31,0.05735523,117.6754389868064,2013-11-20
2013-11-30,-0.06445624,117.599589823432,2013-12-20
2013-12-31,0.2813488,117.93045485820512,2014-01-20
2014-01-31,0.99786994,119.10724741734042,2014-02-20
2014-02-28,0.52884802,119.73714373698353,2014-03-20
2014-03-31,-0.4916863,119.14841260521747,2014-04-20
2014-04-30,-0.33606842,118.74799241752004,2014-05-20
2014-05-31,0.10055298,118.86739706258602,2014-06-20
2014-06-30,-0.13288685,118.70943792295256,2014-07-20
2014-07-31,0.05380941,118.77331477111322,2014-08-20
2014-08-31,0.17592267,118.98226395770605,2014-09-20
2014-09-30,0.4536683,119.5220487719045,2014-10-20
2014-10-31,0.03141593,119.55959773508124,2014-11-20
2014-11-30,-0.2236259,119.29223150860979,2014-12-20
2014-12-31,0.34683648,119.70598048528771,2015-01-20
2015-01-31,0.25981903,120.0169994026366,2015-02-20
