date,index_close,pe_ttm_index,pe_ttm_median,pb_index,pb_median
2007-01-15,,30.73,30.73,3.25,2.55
2007-01-16,,32.61,32.61,3.45,2.78
2007-01-17,,32.08,32.08,3.39,2.74
2007-01-18,,31.78,31.78,3.36,2.81
2007-01-19,,32.65,32.65,3.45,2.89
2007-01-22,,33.74,33.74,3.58,3.02
2007-01-23,,37.99,37.99,3.96,3.03
2007-01-24,,37.98,37.98,3.96,3.11
2007-01-25,,36.37,36.37,3.79,2.96
2007-01-26,,36.72,36.72,3.83,2.94
2007-01-29,,37.46,37.46,3.91,3.04
2007-01-30,,37.26,37.26,3.88,3.03
2007-01-31,,35.36,35.36,3.69,2.87
2007-02-01,,35.35,35.35,3.69,2.89
2007-02-02,,33.86,33.86,3.53,2.83
2007-02-05,,33.07,33.07,3.45,2.87
2007-02-06,,33.84,33.84,3.53,2.95
2007-02-07,,34.35,34.35,3.58,3.0
2007-02-08,,34.59,34.59,3.61,3.08
2007-02-09,,34.45,34.45,3.59,3.1
2007-02-12,,35.39,35.39,3.7,3.16
2007-02-13,,35.61,35.61,3.73,3.2
2007-02-14,,36.54,36.54,3.83,3.3
2007-02-15,,37.69,37.69,3.95,3.39
2007-02-16,,37.71,37.71,3.95,3.38
2007-02-26,,38.16,38.16,4.02,3.54
2007-02-27,,34.73,34.73,3.66,3.25
2007-02-28,,36.08,36.08,3.81,3.4
2007-03-01,,35.0,35.0,3.69,3.34
2007-03-02,,35.41,35.41,3.73,3.37
2007-03-05,,34.84,34.84,3.67,3.36
2007-03-06,,35.52,35.52,3.74,3.38
2007-03-07,,36.22,36.22,3.82,3.47
2007-03-08,,36.54,36.54,3.85,3.53
2007-03-09,,36.6,36.6,3.86,3.53
2007-03-12,,36.75,36.75,3.88,3.55
2007-03-13,,36.84,36.84,3.89,3.61
2007-03-14,,36.09,36.09,3.81,3.54
2007-03-15,,37.31,37.31,3.89,3.61
2007-03-16,,36.95,36.95,3.86,3.56
2007-03-19,,37.89,37.89,3.97,3.61
2007-03-20,,37.68,37.68,3.98,3.71
2007-03-21,,37.96,37.96,4.01,3.79
2007-03-22,,38.02,38.02,4.02,3.79
2007-03-23,,36.34,36.34,4.01,3.87
2007-03-26,,36.9,36.9,4.07,3.93
2007-03-27,,37.03,37.03,4.08,4.01
2007-03-28,,37.37,37.37,4.1,3.93
2007-03-29,,37.77,37.77,4.15,3.79
