date,open,high,low,close,volume,amount
2007-01-15,2084.35,2197.27,2084.35,2197.14,105156254,80703234048.0
2007-01-16,2218.7,2264.09,2205.81,2263.73,124438673,98532483072.0
2007-01-17,2270.91,2302.66,2183.06,2225.5,147848427,118384091136.0
2007-01-18,2210.6,2250.0,2166.39,2244.06,129598067,102103179264.0
2007-01-19,2249.91,2321.36,2249.91,2321.36,141259191,110490787840.0
2007-01-22,2348.66,2417.3,2348.66,2417.01,157482195,122798850048.0
2007-01-23,2431.74,2437.31,2339.58,2430.22,163417792,132412964864.0
2007-01-24,2430.25,2472.55,2410.73,2456.74,135474920,114206203904.0
2007-01-25,2435.86,2443.67,2364.44,2367.27,129230811,109414637568.0
2007-01-26,2332.14,2425.71,2268.02,2415.02,123413414,102054002688.0
2007-01-29,2431.5,2482.3,2426.16,2481.14,131098748,110333026304.0
2007-01-30,2490.99,2502.03,2441.69,2461.32,128459216,106648117248.0
2007-01-31,2454.52,2459.11,2292.92,2309.14,129956061,104773656576.0
2007-02-01,2277.57,2336.07,2238.0,2322.05,107416941,85156724736.0
2007-02-02,2324.6,2331.84,2236.18,2240.11,97987764,79287869440.0
2007-02-05,2227.58,2254.46,2201.99,2226.79,77721617,62477488128.0
2007-02-06,2228.02,2271.65,2171.47,2271.17,97886833,81921163264.0
2007-02-07,2284.72,2335.11,2284.72,2321.07,108433441,92304875520.0
2007-02-08,2327.94,2366.43,2308.84,2361.53,101710437,85078179840.0
2007-02-09,2364.09,2369.55,2332.16,2353.79,92677354,76242624512.0
2007-02-12,2355.3,2432.94,2354.8,2432.79,91180674,76722462720.0
2007-02-13,2445.07,2473.38,2437.49,2471.23,89692645,75028889600.0
2007-02-14,2475.57,2540.14,2468.93,2533.05,106842861,89685778432.0
2007-02-15,2551.26,2612.26,2551.26,2611.84,123147789,104517304320.0
2007-02-16,2633.82,2665.3,2607.56,2625.09,129965536,111554150400.0
2007-02-26,2630.92,2673.86,2596.39,2673.16,123494645,107424538624.0
2007-02-27,2683.78,2687.34,2425.65,2428.06,180141061,154021609472.0
2007-02-28,2386.63,2528.43,2386.63,2519.74,135847601,115017826304.0
2007-03-01,2527.12,2527.17,2417.8,2453.43,140987795,115887153152.0
2007-03-02,2449.49,2504.42,2438.65,2490.61,105184910,88124096512.0
2007-03-05,2488.12,2526.22,2396.08,2467.99,118053466,99459866624.0
2007-03-06,2459.49,2518.44,2442.45,2502.27,85954819,75070103552.0
2007-03-07,2514.09,2571.65,2514.09,2569.82,96951658,86572933120.0
2007-03-08,2577.76,2612.3,2547.27,2611.76,98463625,87296581632.0
2007-03-09,2616.29,2627.43,2570.95,2600.46,118443031,105323077632.0
2007-03-12,2602.09,2618.92,2557.89,2618.58,113836013,100167303168.0
2007-03-13,2623.21,2647.11,2609.99,2644.15,119385071,103865982976.0
2007-03-14,2615.91,2636.17,2548.65,2607.61,125532360,110428807168.0
2007-03-15,2605.09,2656.64,2605.09,2656.46,114788295,103841406976.0
2007-03-16,2666.32,2675.14,2582.96,2613.28,130964982,119857938432.0
2007-03-19,2539.14,2678.06,2527.89,2664.51,121633448,111672786944.0
2007-03-20,2674.5,2690.37,2658.4,2689.09,104808710,98244149248.0
2007-03-21,2701.56,2723.48,2682.57,2723.28,112889713,108975226880.0
2007-03-22,2739.26,2761.28,2721.63,2730.32,139313773,133388312576.0
2007-03-23,2729.97,2746.56,2677.5,2743.1,126184275,120651071488.0
2007-03-26,2754.13,2801.38,2747.71,2801.23,132811548,126593540096.0
2007-03-27,2807.53,2833.2,2790.56,2828.61,137682928,134454648832.0
2007-03-28,2833.23,2849.38,2716.75,2830.08,179219310,171315019776.0
2007-03-29,2833.79,2843.36,2792.18,2792.34,162562038,161839529984.0
2007-03-30,2777.36,2814.61,2761.41,2798.94,98913124,98040627200.0
2007-04-02,2810.28,2866.62,2810.28,2866.62,106921471,111051710464.0
2007-04-03,2878.2,2907.12,2869.02,2907.06,123781478,130364358656.0
2007-04-10,3082.6,3105.61,3012.5,3105.6,164444951,181408399360.0
2007-04-11,3114.95,3147.37,3081.82,3147.18,169393707,190990598144.0
2007-04-12,3154.69,3207.59,3141.02,3207.5,157242633,183291510784.0
