date,all_fund_equity_position_pct,fund_count,available_date
2007-09-30,77.0,327,2007-11-14
2007-12-31,74.32,342,2008-02-14
2008-03-31,68.7,342,2008-05-15
2008-06-30,62.9,358,2008-08-14
2008-09-30,57.63,392,2008-11-14
2008-12-31,47.53,414,2009-02-14
2009-03-31,62.13,440,2009-05-15
2009-06-30,73.15,468,2009-08-14
2009-09-30,70.59,497,2009-11-14
2009-12-31,72.23,526,2010-02-14
2010-03-31,72.92,553,2010-05-15
2010-06-30,65.61,582,2010-08-14
2010-09-30,72.35,620,2010-11-14
2010-12-31,72.05,651,2011-02-14
2011-03-31,69.3,715,2011-05-15
2011-06-30,67.32,755,2011-08-14
2011-09-30,64.2,812,2011-11-14
2011-12-31,58.86,863,2012-02-14
2012-03-31,58.26,912,2012-05-15
2012-06-30,54.89,951,2012-08-14
2012-09-30,52.41,1035,2012-11-14
2012-12-31,49.58,1103,2013-02-14
2013-03-31,47.45,1188,2013-05-15
2013-06-30,48.99,1276,2013-08-14
2013-09-30,48.37,1366,2013-11-14
2013-12-31,44.19,1460,2014-02-14
2014-03-31,33.64,1569,2014-05-15
2014-06-30,32.1,1638,2014-08-14
2014-09-30,33.08,1724,2014-11-14
2014-12-31,31.79,1811,2015-02-14
2015-03-31,33.54,1913,2015-05-15
2015-06-30,28.24,2086,2015-08-14
2015-09-30,20.17,2422,2015-11-14
2015-12-31,21.68,2512,2016-02-14
2016-03-31,19.4,2723,2016-05-15
2016-06-30,19.69,2916,2016-08-14
2016-09-30,18.47,3117,2016-11-14
2016-12-31,18.22,3418,2017-02-14
2017-03-31,19.96,3902,2017-05-15
2017-06-30,18.28,4197,2017-08-14
2017-09-30,16.95,4405,2017-11-14
2017-12-31,16.03,4541,2018-02-14
2018-03-31,15.03,4718,2018-05-15
2018-06-30,14.21,4826,2018-08-14
2018-09-30,13.01,4878,2018-11-14
2018-12-31,12.32,4956,2019-02-14
2019-03-31,15.03,5190,2019-05-15
2019-06-30,15.58,5372,2019-08-14
2019-09-30,16.15,5586,2019-11-14
2019-12-31,17.67,5804,2020-02-14
2020-03-31,16.19,6141,2020-05-15
2020-06-30,19.93,6448,2020-08-14
2020-09-30,23.61,6788,2020-11-14
2020-12-31,26.17,7087,2021-02-14
2021-03-31,25.2,7413,2021-05-15
2021-06-30,27.23,7759,2021-08-14
2021-09-30,26.59,8181,2021-11-14
2021-12-31,27.6,8606,2022-02-14
2022-03-31,23.95,9137,2022-05-15
2022-06-30,24.8,9420,2022-08-14
2022-09-30,22.09,9716,2022-11-14
2022-12-31,24.12,9983,2023-02-14
2023-03-31,24.4,10266,2023-05-15
2023-06-30,22.58,10543,2023-08-14
2023-09-30,22.22,10780,2023-11-14
2023-12-31,21.36,11016,2024-02-14
2024-03-31,20.38,11350,2024-05-15
2024-06-30,18.69,11605,2024-08-14
2024-09-30,22.27,11797,2024-11-14
2024-12-31,21.05,11952,2025-02-14
2025-03-31,21.9,12228,2025-05-15
2025-06-30,21.21,12494,2025-08-14
2025-09-30,25.0,12876,2025-11-14
2025-12-31,24.09,13303,2026-02-14
2026-03-31,21.68,13659,2026-05-15
2026-06-30,22.5,14000,2026-08-14
