date,electricity_consumption_yoy_pct,available_date
2003-12-31,15.29,2004-01-25
2004-03-31,15.7,2004-04-25
2004-09-30,14.92,2004-10-25
2004-10-31,15.17,2004-11-25
2004-11-30,15.13,2004-12-25
2005-02-28,13.01,2005-03-25
2005-03-31,13.38,2005-04-25
2005-04-30,13.46,2005-05-25
2005-05-31,13.98,2005-06-25
2005-06-30,13.91,2005-07-25
2005-08-31,14.12,2005-09-25
2005-09-30,13.95,2005-10-25
2005-10-31,13.75,2005-11-25
2005-11-30,13.19,2005-12-25
2006-02-28,11.7,2006-03-25
2006-03-31,11.81,2006-04-25
2006-04-30,12.33,2006-05-25
2006-05-31,12.54,2006-06-25
2006-06-30,12.89,2006-07-25
2006-07-31,13.26,2006-08-25
2006-08-31,13.71,2006-09-25
2006-09-30,13.7,2006-10-25
2006-10-31,14.05,2006-11-25
2006-11-30,14.15,2006-12-25
2006-12-31,14.0,2007-01-25
2007-02-28,16.75,2007-03-25
2007-03-31,14.92,2007-04-25
2007-04-30,15.47,2007-05-25
2007-05-31,15.83,2007-06-25
2007-06-30,15.56,2007-07-25
2007-07-31,15.68,2007-08-25
2007-08-31,15.2,2007-09-25
2007-09-30,15.12,2007-10-25
2007-10-31,15.0,2007-11-25
2007-11-30,14.94,2007-12-25
2007-12-31,14.42,2008-01-25
2008-02-29,11.93,2008-03-25
2008-03-31,13.04,2008-04-25
2008-04-30,12.71,2008-05-25
2008-05-31,12.42,2008-06-25
2008-06-30,11.67,2008-07-25
2008-07-31,10.91,2008-08-25
2008-08-31,10.19,2008-09-25
2008-09-30,9.67,2008-10-25
2008-10-31,8.27,2008-11-25
2008-11-30,6.67,2008-12-25
2008-12-31,5.23,2009-01-25
2009-02-28,-5.22,2009-03-25
2009-03-31,-4.02,2009-04-25
2009-04-30,-4.03,2009-05-25
2009-05-31,-3.66,2009-06-25
2009-06-30,-2.24,2009-07-25
2009-07-31,-0.89,2009-08-25
2009-08-31,0.36,2009-09-25
2009-09-30,1.4,2009-10-25
2009-10-31,2.79,2009-11-25
2009-11-30,4.77,2009-12-25
2009-12-31,5.96,2010-01-25
2010-01-31,40.14,2010-02-25
2010-02-28,25.95,2010-03-25
2010-03-31,24.19,2010-04-25
2010-04-30,23.85,2010-05-25
2010-05-31,23.31,2010-06-25
2010-06-30,21.57,2010-07-25
2010-07-31,20.25,2010-08-25
2010-08-31,19.34,2010-09-25
2010-09-30,18.05,2010-10-25
2010-12-31,14.56,2011-01-25
2011-02-28,12.32,2011-03-25
2011-03-31,13.41,2011-04-25
2011-04-30,11.23,2011-05-25
2011-05-31,10.79,2011-06-25
2011-06-30,13.0,2011-07-25
2011-07-31,11.81,2011-08-25
2011-08-31,9.09,2011-09-25
2011-09-30,11.95,2011-10-25
2011-10-31,11.87,2011-11-25
2011-11-30,11.85,2011-12-25
2011-12-31,11.74,2012-01-25
2012-02-29,6.66,2012-03-25
2012-03-31,6.8,2012-04-25
2012-04-30,6.0,2012-05-25
2012-05-31,5.8,2012-06-25
2012-06-30,5.5,2012-07-25
2012-07-31,5.4,2012-08-25
2012-08-31,5.1,2012-09-25
2012-09-30,4.8,2012-10-25
2012-10-31,4.9,2012-11-25
2012-11-30,5.1,2012-12-25
2012-12-31,5.5,2013-01-25
2013-02-28,5.48,2013-03-25
2013-03-31,4.25,2013-04-25
2013-04-30,4.86,2013-05-25
2013-05-31,4.88,2013-06-25
2013-06-30,5.14,2013-07-25
2013-07-31,5.7,2013-08-25
2013-08-31,6.8,2013-09-25
2013-09-30,7.2,2013-10-25
2013-10-31,7.4,2013-11-25
2013-11-30,7.5,2013-12-25
2013-12-31,7.5,2014-01-25
2014-02-28,4.5,2014-03-25
2014-03-31,5.4,2014-04-25
2014-04-30,5.2,2014-05-25
2014-05-31,5.2,2014-06-25
2014-06-30,5.3,2014-07-25
2014-07-31,4.9,2014-08-25
2014-08-31,4.0,2014-09-25
2014-09-30,3.9,2014-10-25
2014-10-31,3.8,2014-11-25
2014-11-30,3.7,2014-12-25
2014-12-31,3.8,2015-01-25
2015-02-28,2.5,2015-03-25
2015-03-31,0.8,2015-04-25
2015-04-30,0.9,2015-05-25
2015-05-31,1.1,2015-06-25
2015-06-30,1.3,2015-07-25
2015-07-31,0.8,2015-08-25
2015-08-31,1.0,2015-09-25
2015-09-30,0.8,2015-10-25
2015-10-31,0.7,2015-11-25
2015-11-30,0.7,2015-12-25
2015-12-31,0.5,2016-01-25
2016-02-29,2.0,2016-03-25
2016-03-31,3.2,2016-04-25
2016-04-30,2.9,2016-05-25
2016-05-31,2.7,2016-06-25
2016-06-30,2.7,2016-07-25
2016-07-31,3.6,2016-08-25
2016-08-31,4.2,2016-09-25
2016-09-30,4.5,2016-10-25
2016-10-31,4.8,2016-11-25
2016-11-30,5.0,2016-12-25
2016-12-31,5.0,2017-01-25
2017-02-28,6.3,2017-03-25
2017-03-31,6.9,2017-04-25
2017-04-30,6.7,2017-05-25
2017-05-31,6.4,2017-06-25
2017-06-30,6.3,2017-07-25
2017-07-31,6.9,2017-08-25
2017-08-31,6.8,2017-09-25
2017-09-30,6.9,2017-10-25
2017-10-31,6.7,2017-11-25
2017-11-30,6.5,2017-12-25
2017-12-31,6.6,2018-01-25
2018-02-28,13.3,2018-03-25
2018-03-31,9.8,2018-04-25
2018-04-30,9.3,2018-05-25
2018-05-31,9.8,2018-06-25
2018-06-30,9.4,2018-07-25
2018-07-31,9.0,2018-08-25
2018-08-31,9.0,2018-09-25
2018-09-30,8.9,2018-10-25
2018-10-31,8.7,2018-11-25
2018-11-30,8.5,2018-12-25
2018-12-31,8.5,2019-01-25
2019-02-28,4.5,2019-03-25
2019-03-31,5.5,2019-04-25
2019-04-30,5.6,2019-05-25
2019-05-31,4.9,2019-06-25
2019-06-30,5.0,2019-07-25
2019-07-31,4.6,2019-08-25
2019-08-31,4.4,2019-09-25
2019-09-30,4.4,2019-10-25
2019-10-31,4.4,2019-11-25
2019-11-30,4.5,2019-12-25
2019-12-31,4.5,2020-01-25
2020-02-29,-7.8,2020-03-25
2020-03-31,-6.5,2020-04-25
2020-04-30,-4.7,2020-05-25
2020-05-31,-2.8,2020-06-25
2020-06-30,-1.3,2020-07-25
2020-07-31,-0.7,2020-08-25
2020-08-31,0.5,2020-09-25
2020-09-30,1.3,2020-10-25
2020-10-31,1.8,2020-11-25
2020-11-30,2.5,2020-12-25
2020-12-31,3.1,2021-01-25
2021-02-28,22.2,2021-03-25
2021-03-31,21.2,2021-04-25
2021-04-30,19.1,2021-05-25
2021-05-31,17.7,2021-06-25
2021-06-30,16.2,2021-07-25
2021-07-31,15.6,2021-08-25
2021-08-31,13.8,2021-09-25
2021-09-30,12.9,2021-10-25
2021-10-31,12.2,2021-11-25
2021-11-30,11.4,2021-12-25
2021-12-31,10.3,2022-01-25
2022-02-28,5.8,2022-03-25
2022-03-31,5.0,2022-04-25
2022-04-30,3.4,2022-05-25
2022-05-31,2.5,2022-06-25
2022-06-30,2.9,2022-07-25
2022-07-31,3.4,2022-08-25
2022-08-31,4.4,2022-09-25
2022-09-30,4.0,2022-10-25
2022-10-31,3.8,2022-11-25
2022-11-30,3.5,2022-12-25
2022-12-31,3.6,2023-01-25
2023-02-28,2.3,2023-03-25
2023-03-31,3.6,2023-04-25
2023-04-30,4.7,2023-05-25
2023-05-31,5.2,2023-06-25
2023-06-30,5.0,2023-07-25
2023-07-31,5.2,2023-08-25
2023-08-31,5.0,2023-09-25
2023-09-30,5.6,2023-10-25
2023-10-31,5.8,2023-11-25
2023-11-30,6.3,2023-12-25
2023-12-31,6.7,2024-01-25
2024-02-29,11.0,2024-03-25
2024-03-31,9.8,2024-04-25
2024-04-30,9.0,2024-05-25
2024-05-31,8.6,2024-06-25
2024-06-30,8.1,2024-07-25
2024-07-31,7.7,2024-08-25
2024-08-31,7.9,2024-09-25
2024-09-30,7.9,2024-10-25
2024-10-31,7.6,2024-11-25
2024-11-30,7.1,2024-12-25
2024-12-31,6.8,2025-01-25
2025-02-28,1.3,2025-03-25
2025-03-31,2.5,2025-04-25
2025-04-30,3.1,2025-05-25
2025-05-31,3.4,2025-06-25
2025-06-30,3.7,2025-07-25
2025-07-31,4.5,2025-08-25
2025-08-31,4.6,2025-09-25
2025-09-30,4.6,2025-10-25
2025-10-31,5.1,2025-11-25
2025-11-30,5.2,2025-12-25
2025-12-31,5.0,2026-01-25
2026-02-28,6.1,2026-03-25
2026-03-31,5.2,2026-04-25
2026-04-30,5.4,2026-05-25
2026-05-31,5.7,2026-06-25
2026-06-30,5.3,2026-07-25
