date,manufacturing_pmi,available_date
2008-01-31,53.0,2008-01-31
2008-02-29,53.4,2008-02-29
2008-03-31,58.4,2008-03-31
2008-04-30,59.2,2008-04-30
2008-05-31,53.3,2008-05-31
2008-06-30,52.0,2008-06-30
2008-07-31,48.4,2008-07-31
2008-08-31,48.4,2008-08-31
2008-09-30,51.2,2008-09-30
2008-10-31,44.6,2008-10-31
2008-11-30,38.8,2008-11-30
2008-12-31,41.2,2008-12-31
2009-01-31,45.3,2009-01-31
2009-02-28,49.0,2009-02-28
2009-03-31,52.4,2009-03-31
2009-04-30,53.5,2009-04-30
2009-05-31,53.1,2009-05-31
2009-06-30,53.2,2009-06-30
2009-07-31,53.3,2009-07-31
2009-08-31,54.0,2009-08-31
2009-09-30,54.3,2009-09-30
2009-10-31,55.2,2009-10-31
2009-11-30,55.2,2009-11-30
2009-12-31,56.6,2009-12-31
2010-01-31,55.8,2010-01-31
2010-02-28,52.0,2010-02-28
2010-03-31,55.1,2010-03-31
2010-04-30,55.7,2010-04-30
2010-05-31,53.9,2010-05-31
2010-06-30,52.1,2010-06-30
2010-07-31,51.2,2010-07-31
2010-08-31,51.7,2010-08-31
2010-09-30,53.8,2010-09-30
2010-10-31,54.7,2010-10-31
2010-11-30,55.2,2010-11-30
2010-12-31,53.9,2010-12-31
2011-01-31,52.9,2011-01-31
2011-02-28,52.2,2011-02-28
2011-03-31,53.4,2011-03-31
2011-04-30,52.9,2011-04-30
2011-05-31,52.0,2011-05-31
2011-06-30,50.9,2011-06-30
2011-07-31,50.7,2011-07-31
2011-08-31,50.9,2011-08-31
2011-09-30,51.2,2011-09-30
2011-10-31,50.4,2011-10-31
2011-11-30,49.0,2011-11-30
2011-12-31,50.3,2011-12-31
2012-01-31,50.5,2012-01-31
2012-02-29,51.0,2012-02-29
2012-03-31,53.1,2012-03-31
2012-04-30,53.3,2012-04-30
2012-05-31,50.4,2012-05-31
2012-06-30,50.2,2012-06-30
2012-07-31,50.1,2012-07-31
2012-08-31,49.2,2012-08-31
2012-09-30,49.8,2012-09-30
2012-10-31,50.2,2012-10-31
2012-11-30,50.6,2012-11-30
2012-12-31,50.6,2012-12-31
2013-01-31,50.4,2013-01-31
2013-02-28,50.1,2013-02-28
2013-03-31,50.9,2013-03-31
2013-04-30,50.6,2013-04-30
2013-05-31,50.8,2013-05-31
2013-06-30,50.1,2013-06-30
2013-07-31,50.3,2013-07-31
2013-08-31,51.0,2013-08-31
2013-09-30,51.1,2013-09-30
2013-10-31,51.4,2013-10-31
2013-11-30,51.4,2013-11-30
2013-12-31,51.0,2013-12-31
2014-01-31,50.5,2014-01-31
2014-02-28,50.2,2014-02-28
2014-03-31,50.3,2014-03-31
2014-04-30,50.4,2014-04-30
2014-05-31,50.8,2014-05-31
2014-06-30,51.0,2014-06-30
2014-07-31,51.7,2014-07-31
2014-08-31,51.1,2014-08-31
2014-09-30,51.1,2014-09-30
2014-10-31,50.8,2014-10-31
2014-11-30,50.3,2014-11-30
2014-12-31,50.1,2014-12-31
2015-01-31,49.8,2015-01-31
2015-02-28,49.9,2015-02-28
2015-03-31,50.1,2015-03-31
2015-04-30,50.1,2015-04-30
2015-05-31,50.2,2015-05-31
2015-06-30,50.2,2015-06-30
2015-07-31,50.0,2015-07-31
2015-08-31,49.7,2015-08-31
2015-09-30,49.8,2015-09-30
2015-10-31,49.8,2015-10-31
2015-11-30,49.6,2015-11-30
2015-12-31,49.7,2015-12-31
2016-01-31,49.4,2016-01-31
2016-02-29,49.0,2016-02-29
2016-03-31,50.2,2016-03-31
2016-04-30,50.1,2016-04-30
2016-05-31,50.1,2016-05-31
2016-06-30,50.0,2016-06-30
2016-07-31,49.9,2016-07-31
2016-08-31,50.4,2016-08-31
2016-09-30,50.4,2016-09-30
2016-10-31,51.2,2016-10-31
2016-11-30,51.7,2016-11-30
2016-12-31,51.4,2016-12-31
2017-01-31,51.3,2017-01-31
2017-02-28,51.6,2017-02-28
2017-03-31,51.8,2017-03-31
2017-04-30,51.2,2017-04-30
2017-05-31,51.2,2017-05-31
2017-06-30,51.7,2017-06-30
2017-07-31,51.4,2017-07-31
2017-08-31,51.7,2017-08-31
2017-09-30,52.4,2017-09-30
2017-10-31,51.6,2017-10-31
2017-11-30,51.8,2017-11-30
2017-12-31,51.6,2017-12-31
2018-01-31,51.3,2018-01-31
2018-02-28,50.3,2018-02-28
2018-03-31,51.5,2018-03-31
2018-04-30,51.4,2018-04-30
2018-05-31,51.9,2018-05-31
2018-06-30,51.5,2018-06-30
2018-07-31,51.2,2018-07-31
2018-08-31,51.3,2018-08-31
2018-09-30,50.8,2018-09-30
2018-10-31,50.2,2018-10-31
2018-11-30,50.0,2018-11-30
2018-12-31,49.4,2018-12-31
2019-01-31,49.5,2019-01-31
2019-02-28,49.2,2019-02-28
2019-03-31,50.5,2019-03-31
2019-04-30,50.1,2019-04-30
2019-05-31,49.4,2019-05-31
2019-06-30,49.4,2019-06-30
2019-07-31,49.7,2019-07-31
2019-08-31,49.5,2019-08-31
2019-09-30,49.8,2019-09-30
2019-10-31,49.3,2019-10-31
2019-11-30,50.2,2019-11-30
2019-12-31,50.2,2019-12-31
2020-01-31,50.0,2020-01-31
2020-02-29,35.7,2020-02-29
2020-03-31,52.0,2020-03-31
2020-04-30,50.8,2020-04-30
2020-05-31,50.6,2020-05-31
2020-06-30,50.9,2020-06-30
2020-07-31,51.1,2020-07-31
2020-08-31,51.0,2020-08-31
2020-09-30,51.5,2020-09-30
2020-10-31,51.4,2020-10-31
2020-11-30,52.1,2020-11-30
2020-12-31,51.9,2020-12-31
2021-01-31,51.3,2021-01-31
2021-02-28,50.6,2021-02-28
2021-03-31,51.9,2021-03-31
2021-04-30,51.1,2021-04-30
2021-05-31,51.0,2021-05-31
2021-06-30,50.9,2021-06-30
2021-07-31,50.4,2021-07-31
2021-08-31,50.1,2021-08-31
2021-09-30,49.6,2021-09-30
2021-10-31,49.2,2021-10-31
2021-11-30,50.1,2021-11-30
2021-12-31,50.3,2021-12-31
2022-01-31,50.1,2022-01-31
2022-02-28,50.2,2022-02-28
2022-03-31,49.5,2022-03-31
2022-04-30,47.4,2022-04-30
2022-05-31,49.6,2022-05-31
2022-06-30,50.2,2022-06-30
2022-07-31,49.0,2022-07-31
2022-08-31,49.4,2022-08-31
2022-09-30,50.1,2022-09-30
2022-10-31,49.2,2022-10-31
2022-11-30,48.0,2022-11-30
2022-12-31,47.0,2022-12-31
2023-01-31,50.1,2023-01-31
2023-02-28,52.6,2023-02-28
2023-03-31,51.9,2023-03-31
2023-04-30,49.2,2023-04-30
2023-05-31,48.8,2023-05-31
2023-06-30,49.0,2023-06-30
2023-07-31,49.3,2023-07-31
2023-08-31,49.7,2023-08-31
2023-09-30,50.2,2023-09-30
2023-10-31,49.5,2023-10-31
2023-11-30,49.4,2023-11-30
2023-12-31,49.0,2023-12-31
2024-01-31,49.2,2024-01-31
2024-02-29,49.1,2024-02-29
2024-03-31,50.8,2024-03-31
2024-04-30,50.4,2024-04-30
2024-05-31,49.5,2024-05-31
2024-06-30,49.5,2024-06-30
2024-07-31,49.4,2024-07-31
2024-08-31,49.1,2024-08-31
2024-09-30,49.8,2024-09-30
2024-10-31,50.1,2024-10-31
2024-11-30,50.3,2024-11-30
2024-12-31,50.1,2024-12-31
2025-01-31,49.1,2025-01-31
2025-02-28,50.2,2025-02-28
2025-03-31,50.5,2025-03-31
2025-04-30,49.0,2025-04-30
2025-05-31,49.5,2025-05-31
2025-06-30,49.7,2025-06-30
2025-07-31,49.3,2025-07-31
2025-08-31,49.4,2025-08-31
2025-09-30,49.8,2025-09-30
2025-10-31,49.0,2025-10-31
2025-11-30,49.2,2025-11-30
2025-12-31,50.1,2025-12-31
2026-01-31,49.3,2026-01-31
2026-02-28,49.0,2026-02-28
2026-03-31,50.4,2026-03-31
2026-04-30,50.3,2026-04-30
2026-05-31,50.0,2026-05-31
2026-06-30,50.3,2026-06-30
2026-07-31,49.2,2026-07-31
