date,northbound_net_buy_100m
2014-11-17,120.8233
2014-11-18,47.1967
2014-11-19,24.9677
2014-11-20,21.4194
2014-11-21,21.9953
2014-11-24,58.5647
2014-11-25,27.500300000000003
2014-11-26,31.9261
2014-11-27,28.6866
2014-11-28,22.4622
2014-12-01,13.1782
2014-12-02,31.1533
2014-12-03,36.849
2014-12-04,33.5898
2014-12-05,24.495700000000003
2014-12-08,14.1599
2014-12-09,10.2419
2014-12-10,18.3643
2014-12-11,9.1477
2014-12-12,16.924500000000002
2014-12-15,9.3615
2014-12-16,12.2584
2014-12-17,4.8908
2014-12-18,18.2988
2014-12-19,8.6222
2014-12-22,13.2383
2014-12-23,5.8668
2014-12-29,6.6912
2014-12-30,-6.9615
2014-12-31,-0.2084
2015-01-05,20.0227
2015-01-06,-0.2314999999999999
2015-01-07,3.4208
2015-01-08,0.5783
2015-01-09,14.5318
2015-01-12,-12.7347
2015-01-13,-2.5069
2015-01-14,5.938400000000001
2015-01-15,7.0523
2015-01-16,1.2676
2015-01-19,-3.4306
2015-01-20,21.4523
2015-01-21,19.2566
2015-01-22,1.5143
2015-01-23,2.6152
2015-01-26,3.9634
2015-01-27,9.0335
2015-01-28,11.4192
2015-01-29,9.7546
2015-01-30,0.2959
2015-02-02,1.7846000000000002
2015-02-03,27.0
2015-02-04,10.961
2015-02-05,28.3328
2015-02-06,1.6066
2015-02-09,11.1839
2015-02-10,16.290499999999998
2015-02-11,13.8157
2015-02-12,11.5982
2015-02-13,19.144
2015-02-16,1.2378
2015-02-17,2.2129
2015-02-25,10.1148
2015-02-26,-4.5268
2015-02-27,6.7247
2015-03-02,7.4556
2015-03-03,0.9386
2015-03-04,3.0537
2015-03-05,6.419
2015-03-06,3.897
2015-03-09,5.8871
2015-03-10,0.5295000000000001
2015-03-11,8.7582
2015-03-12,15.8187
2015-03-13,15.84
2015-03-16,13.7416
2015-03-17,21.1135
2015-03-18,15.9056
2015-03-19,0.616
2015-03-20,11.4111
2015-03-23,18.6604
2015-03-24,-16.462
2015-03-25,-0.3109
2015-03-26,-10.1401
2015-03-27,1.0671
2015-03-30,-12.5018
2015-03-31,-13.9089
2015-04-01,-0.1437
2015-04-08,-40.2101
2015-04-09,-50.819
2015-04-10,-8.8493
2015-04-13,9.31250000000001
2015-04-14,4.2818000000000005
2015-04-15,10.2933
2015-04-16,15.7445
2015-04-17,15.9654
2015-04-20,-11.4778
2015-04-21,13.8645
2015-04-22,7.01129999999999
2015-04-23,-7.3913
2015-04-24,0.2955
2015-04-27,10.648599999999998
2015-04-28,-2.6124
2015-04-29,2.7586
2015-04-30,-4.4358
2015-05-04,0.4386
2015-05-05,7.773300000000001
2015-05-06,4.1623
2015-05-07,25.6317
2015-05-08,7.653200000000001
2015-05-11,-0.763
2015-05-12,-4.0679
2015-05-13,-4.0242
2015-05-14,-1.8602
2015-05-15,5.0123
2015-05-18,11.0203
2015-05-19,20.0327
2015-05-20,27.7194
2015-05-21,18.2344
2015-05-26,34.1038
2015-05-27,1.82950000000001
2015-05-28,-31.748800000000003
2015-05-29,21.1066
2015-06-01,17.1735
2015-06-02,2.2936
2015-06-03,0.3155
2015-06-04,-10.9371
2015-06-05,-13.8974
2015-06-08,-12.9
2015-06-09,-15.288
2015-06-10,14.0119
2015-06-11,-10.4555
2015-06-12,13.0872
2015-06-15,-12.539
2015-06-16,-0.44700000000001
2015-06-17,-10.6985
2015-06-18,5.444299999999999
2015-06-19,77.3166
2015-06-23,68.36359999999999
2015-06-24,-31.655700000000003
2015-06-25,-36.3212
2015-06-26,31.2024
2015-06-29,-15.134
2015-07-02,27.08
2015-07-03,69.7986
2015-07-06,-135.2322
2015-07-07,-103.5783
2015-07-08,-66.2613
