date,year,quarter,nominal_gdp_cum_100m,real_gdp_yoy_pct_official,nominal_gdp_cum_yoy_pct,conservative_available_date
2006-03-31,2006,1,47831.7,12.4,,2006-04-30
2006-06-30,2006,2,101247.0,13.1,,2006-07-31
2006-09-30,2006,3,158067.6,12.7,,2006-10-31
2006-12-31,2006,4,222578.4,12.7,,2007-01-31
2007-03-31,2007,1,58080.6,13.6,21.427003430779166,2007-04-30
2007-06-30,2007,2,123831.6,14.3,22.306438709295094,2007-07-31
2007-09-30,2007,3,194325.7,14.3,22.938350427285535,2007-10-31
2007-12-31,2007,4,274179.7,14.2,23.183426603839386,2008-01-31
2008-03-31,2008,1,70609.6,11.6,21.571746848345242,2008-04-30
2008-06-30,2008,2,150574.5,11.3,21.59618384967972,2008-07-31
2008-09-30,2008,3,234242.9,10.7,20.541390047739426,2008-10-31
2008-12-31,2008,4,324317.8,9.7,18.28658358003892,2009-01-31
2009-03-31,2009,1,75341.3,6.4,6.701213432734354,2009-04-30
2009-06-30,2009,2,160697.0,7.3,6.722585829605943,2009-07-31
2009-09-30,2009,3,252027.0,8.5,7.592161811521292,2009-10-31
2009-12-31,2009,4,354521.6,9.4,9.313025680366604,2010-01-31
2010-03-31,2010,1,89125.0,12.2,18.295012164642756,2010-04-30
2010-06-30,2010,2,190200.0,11.4,18.359396877353042,2010-07-31
2010-09-30,2010,3,297992.9,10.8,18.23848238482386,2010-10-31
2010-12-31,2010,4,419253.3,10.6,18.258887469762076,2011-01-31
2011-03-31,2011,1,106218.9,10.1,19.179691444600277,2011-04-30
2011-06-30,2011,2,226995.8,10.0,19.345846477392215,2011-07-31
2011-09-30,2011,3,355557.3,9.8,19.31737299781302,2011-10-31
2011-12-31,2011,4,495707.6,9.5,18.235825454444843,2012-01-31
2012-03-31,2012,1,119377.5,8.1,12.388190802201882,2012-04-30
2012-06-30,2012,2,252868.7,7.9,11.39796419140795,2012-07-31
2012-09-30,2012,3,393252.7,7.7,10.601779235020636,2012-10-31
2012-12-31,2012,4,547510.6,7.9,10.450313854377047,2013-01-31
2013-03-31,2013,1,131879.7,7.9,10.472827794182326,2013-04-30
2013-06-30,2013,2,277993.6,7.7,9.935946995416977,2013-07-31
2013-09-30,2013,3,432965.7,7.8,10.098595635834151,2013-10-31
2013-12-31,2013,4,603660.4,7.8,10.255472679433076,2014-01-31
2014-03-31,2014,1,143539.4,7.6,8.841163575591992,2014-04-30
2014-06-30,2014,2,303001.7,7.6,8.9959265249272,2014-07-31
2014-09-30,2014,3,471603.5,7.5,8.923986357348856,2014-10-31
2014-12-31,2014,4,655782.9,7.5,8.634407690151624,2015-01-31
2015-03-31,2015,1,154171.4,7.1,7.407025527485844,2015-04-30
2015-06-30,2015,2,326058.4,7.1,7.6094292540273,2015-07-31
2015-09-30,2015,3,506177.1,7.0,7.331073666756072,2015-10-31
2015-12-31,2015,4,702511.5,7.0,7.125620384429054,2016-01-31
2016-03-31,2016,1,165735.3,6.8,7.500677817027013,2016-04-30
2016-06-30,2016,2,350737.5,6.8,7.568920168902249,2016-07-31
2016-09-30,2016,3,545575.1,6.8,7.783441803273994,2016-10-31
2016-12-31,2016,4,761193.0,6.8,8.353101692997189,2017-01-31
2017-03-31,2017,1,185274.4,7.0,11.789341196474146,2017-04-30
2017-06-30,2017,2,390940.0,7.0,11.462275918600096,2017-07-31
2017-09-30,2017,3,607695.3,6.9,11.386186796281583,2017-10-31
2017-12-31,2017,4,847382.9,6.9,11.323002182101005,2018-01-31
2018-03-31,2018,1,205735.3,6.9,11.043565651811571,2018-04-30
2018-06-30,2018,2,433777.7,6.9,10.957614979280716,2018-07-31
2018-09-30,2018,3,672574.5,6.8,10.676271480131572,2018-10-31
2018-12-31,2018,4,936010.1,6.8,10.458931847692465,2019-01-31
2019-03-31,2019,1,221453.9,6.4,7.640205642881903,2019-04-30
2019-06-30,2019,2,467647.8,6.2,7.808169945112442,2019-07-31
2019-09-30,2019,3,723671.0,6.1,7.597150947590192,2019-10-31
2019-12-31,2019,4,1005872.4,6.1,7.463840400867472,2020-01-31
