file,rows,start_date,end_date,duplicate_dates,total_missing_cells
10年期国债收益率_清洗后.csv,6136,2002-01-04,2026-07-28,0,0
50ETF_QVIX_清洗后.csv,234,2015-02-10,2026-07-16,0,0
CPI_PPI_清洗后.csv,246,2006-01-31,2026-06-30,0,48
DR007水平代理_清洗后.csv,4947,2006-10-08,2026-07-29,0,0
SHIBOR_1W_清洗后.csv,4947,2006-10-08,2026-07-29,0,0
中证800_PE_PB_清洗后.csv,4747,2007-01-15,2026-07-28,0,4747
中证800日行情_清洗后.csv,4741,2007-01-15,2026-07-24,0,0
中证800股息率_最近20日_清洗后.csv,20,2026-06-26,2026-07-23,0,0
全市场基金股票仓位_代理_清洗后.csv,76,2007-09-30,2026-06-30,0,0
全社会用电量同比_代理_清洗后.csv,238,2003-12-31,2026-06-30,0,0
制造业PMI_清洗后.csv,222,2008-01-31,2026-06-30,0,0
北向资金_清洗后.csv,2264,2014-11-17,2024-08-16,0,0
名义GDP_清洗后.csv,82,2006-03-31,2026-06-30,0,4
数据清洗审计表.csv,20,,,0,2
新增投资者_清洗后.csv,101,2015-04-30,2023-08-31,0,0
社会融资规模增量_清洗后.csv,222,2008-01-31,2026-06-30,0,0
融资融券余额_清洗后.csv,3961,2010-03-31,2026-07-23,0,408
行业分歧度_代理_清洗后.csv,1792,2019-03-06,2026-07-23,0,292
行业新高新低_代理_清洗后.csv,1817,2019-01-23,2026-07-23,0,0
货币供应量_清洗后.csv,222,2008-01-31,2026-06-30,0,0
