date,social_financing_100m,available_date
2008-01-31,8058.0,2008-02-20
2008-02-29,2434.0,2008-03-20
2008-03-31,2834.0,2008-04-20
2008-04-30,4690.0,2008-05-20
2008-05-31,3185.0,2008-06-20
2008-06-30,3324.0,2008-07-20
2008-07-31,3818.0,2008-08-20
2008-08-31,2715.0,2008-09-20
2008-09-30,3745.0,2008-10-20
2008-10-31,1819.0,2008-11-20
2008-11-30,4775.0,2008-12-20
2008-12-31,7645.0,2009-01-20
2009-01-31,16177.0,2009-02-20
2009-02-28,10715.0,2009-03-20
2009-03-31,18920.0,2009-04-20
2009-04-30,5918.0,2009-05-20
2009-05-31,6669.0,2009-06-20
2009-06-30,15304.0,2009-07-20
2009-07-31,3691.0,2009-08-20
2009-08-31,4104.0,2009-09-20
2009-09-30,5167.0,2009-10-20
2009-10-31,2530.0,2009-11-20
2009-11-30,2948.0,2009-12-20
2009-12-31,3800.0,2010-01-20
2010-01-31,13934.0,2010-02-20
2010-02-28,6999.0,2010-03-20
2010-03-31,5107.0,2010-04-20
2010-04-30,7740.0,2010-05-20
2010-05-31,6493.0,2010-06-20
2010-06-30,6027.0,2010-07-20
2010-07-31,5327.0,2010-08-20
2010-08-31,5446.0,2010-09-20
2010-09-30,6004.0,2010-10-20
2010-10-31,5877.0,2010-11-20
2010-11-30,5689.0,2010-12-20
2010-12-31,4807.0,2011-01-20
2011-01-31,10263.0,2011-02-20
2011-02-28,5377.0,2011-03-20
2011-03-31,6794.0,2011-04-20
2011-04-30,7430.0,2011-05-20
2011-05-31,5516.0,2011-06-20
2011-06-30,6339.0,2011-07-20
2011-07-31,4916.0,2011-08-20
2011-08-31,5484.0,2011-09-20
2011-09-30,4693.0,2011-10-20
2011-10-31,5868.0,2011-11-20
2011-11-30,5629.0,2011-12-20
2011-12-31,6406.0,2012-01-20
2012-01-31,7381.0,2012-02-20
2012-02-29,7107.0,2012-03-20
2012-03-31,10114.42,2012-04-20
2012-04-30,6817.79,2012-05-20
2012-05-31,7932.32,2012-06-20
2012-06-30,9198.17,2012-07-20
2012-07-31,5401.21,2012-08-20
2012-08-31,7039.45,2012-09-20
2012-09-30,6226.23,2012-10-20
2012-10-31,5053.71,2012-11-20
2012-11-30,5220.37,2012-12-20
2012-12-31,4546.08,2013-01-20
2013-01-31,10721.0,2013-02-20
2013-02-28,6200.0,2013-03-20
2013-03-31,10625.0,2013-04-20
2013-04-30,7923.0,2013-05-20
2013-05-31,6694.0,2013-06-20
2013-06-30,8628.0,2013-07-20
2013-07-31,6997.0,2013-08-20
2013-08-31,7128.0,2013-09-20
2013-09-30,7870.0,2013-10-20
2013-10-31,5060.0,2013-11-20
2013-11-30,6246.0,2013-12-20
2013-12-31,4825.0,2014-01-20
2014-01-31,13190.0,2014-02-20
2014-02-28,6448.0,2014-03-20
2014-03-31,10497.0,2014-04-20
2014-04-30,7745.0,2014-05-20
2014-05-31,8708.0,2014-06-20
2014-06-30,10793.0,2014-07-20
2014-07-31,3852.0,2014-08-20
2014-08-31,7025.0,2014-09-20
2014-09-30,8572.0,2014-10-20
2014-10-31,5483.0,2014-11-20
2014-11-30,8527.0,2014-12-20
2014-12-31,6973.0,2015-01-20
2015-01-31,14707.88398,2015-02-20
2015-02-28,11436.98154,2015-03-20
2015-03-31,9919.861996,2015-04-20
2015-04-30,8045.060387,2015-05-20
2015-05-31,8510.181814,2015-06-20
2015-06-30,13239.5588,2015-07-20
2015-07-31,5890.468935,2015-08-20
2015-08-31,7755.919617,2015-09-20
2015-09-30,10417.24486,2015-10-20
2015-10-31,5573.755665,2015-11-20
2015-11-30,8872.90243,2015-12-20
2015-12-31,8323.083231,2016-01-20
2016-01-31,25370.07022,2016-02-20
2016-02-29,8105.442309,2016-03-20
2016-03-31,13175.5618,2016-04-20
2016-04-30,5642.052719,2016-05-20
2016-05-31,9374.267688,2016-06-20
2016-06-30,13141.10751,2016-07-20
2016-07-31,4550.223157,2016-08-20
