date,m1_balance_100m,m1_yoy_pct,m2_balance_100m,m2_yoy_pct,available_date
2008-01-31,154872.59,20.54,417846.17,18.88,2008-02-20
2008-02-29,150177.88,18.95,421037.84,17.39,2008-03-20
2008-03-31,150867.47,17.97,423054.53,16.19,2008-04-20
2008-04-30,151694.91,19.05,429313.72,16.94,2008-05-20
2008-05-31,153344.75,17.93,436221.6,18.07,2008-06-20
2008-06-30,154820.15,14.19,443141.02,17.37,2008-07-20
2008-07-31,154992.44,13.96,446362.17,16.35,2008-08-20
2008-08-31,156889.92,11.48,448846.68,16.0,2008-09-20
2008-09-30,155748.97,9.43,452898.71,15.29,2008-10-20
2008-10-31,157194.36,8.85,453133.32,15.02,2008-11-20
2008-11-30,157826.63,6.8,458644.66,14.8,2008-12-20
2008-12-31,166217.13,9.06,475166.6,17.82,2009-01-20
2009-01-31,165214.3413,6.68,496135.3078,18.79,2009-02-20
2009-02-28,166149.6012,10.87,506708.07,20.48,2009-03-20
2009-03-31,176541.1313,17.04,530626.7118,25.51,2009-04-20
2009-04-30,178213.5683,17.48,540481.2137,25.95,2009-05-20
2009-05-31,182025.58,18.69,548263.51,25.74,2009-06-20
2009-06-30,193138.15,24.79,568916.2,28.46,2009-07-20
2009-07-31,195889.27,26.37,573102.8517,28.42,2009-08-20
2009-08-31,200394.8261,27.72,576698.9535,28.53,2009-09-20
2009-09-30,201708.1398,29.51,585405.3373,29.31,2009-10-20
2009-10-31,207545.7431,32.03,586643.2887,29.42,2009-11-20
2009-11-30,212493.2037,34.63,594604.7213,29.74,2009-12-20
2009-12-31,221445.8057,32.35,610224.5231,27.68,2010-01-20
2010-01-31,229588.98,38.96,625609.29,25.98,2010-02-20
2010-02-28,224286.9544,34.99,636072.2646,25.52,2010-03-20
2010-03-31,229397.9332,29.94,649947.4643,22.5,2010-04-20
2010-04-30,233909.7597,31.25,656561.217,21.48,2010-05-20
2010-05-31,236497.8831,29.9,663351.37,21.0,2010-06-20
2010-06-30,240579.9975,24.6,673921.7239,18.5,2010-07-20
2010-07-31,240664.0696,22.9,674051.4789,17.6,2010-08-20
2010-08-31,244340.6421,21.9,687506.9183,19.2,2010-09-20
2010-09-30,243821.9,20.9,696471.5,19.0,2010-10-20
2010-10-31,253313.1693,22.1,699776.7409,19.3,2010-11-20
2010-11-30,259420.32,22.1,710339.025,19.5,2010-12-20
2010-12-31,266621.54,21.2,725851.79,19.7,2011-01-20
2011-01-31,261765.006,13.6,733884.8297,17.2,2011-02-20
2011-02-28,259200.4996,14.5,736130.8633,15.7,2011-03-20
2011-03-31,266255.48,15.0,758130.88,16.6,2011-04-20
2011-04-30,266766.9145,12.9,757384.5619,15.3,2011-05-20
2011-05-31,269289.6255,12.7,763409.2151,15.1,2011-06-20
2011-06-30,274662.57,13.1,780820.85,15.9,2011-07-20
2011-07-31,270545.65,11.6,772923.65,14.7,2011-08-20
2011-08-31,273393.7738,11.2,780852.3021,13.5,2011-09-20
2011-09-30,267193.1613,8.85,787406.2038,13.04,2011-10-20
2011-10-31,276552.6711,8.4,816829.2489,12.9,2011-11-20
2011-11-30,281416.3725,7.8,825493.9445,12.7,2011-12-20
2011-12-31,289847.697,7.9,851590.9,13.6,2012-01-20
2012-01-31,270010.4,3.1,855898.89,12.4,2012-02-20
2012-02-29,270312.11,4.3,867171.42,13.0,2012-03-20
2012-03-31,277998.11,4.4,895565.5,13.4,2012-04-20
2012-04-30,274983.82,3.1,889604.04,12.8,2012-05-20
2012-05-31,278656.31,3.5,900048.77,13.2,2012-06-20
2012-06-30,287526.17,4.7,924991.2,13.6,2012-07-20
2012-07-31,283090.6809,4.6,919072.4019,13.9,2012-08-20
2012-08-31,285739.2653,4.5,924894.5865,13.5,2012-09-20
2012-09-30,286788.2061,7.3,943688.7534,14.8,2012-10-20
2012-10-31,293309.7849,6.1,936404.2792,14.1,2012-11-20
2012-11-30,296883.0,5.5,944832.4,13.9,2012-12-20
2012-12-31,308664.23,6.5,974148.8,13.8,2013-01-20
2013-01-31,311228.55,15.3,992129.25,15.9,2013-02-20
2013-02-28,296103.24,9.5,998600.83,15.2,2013-03-20
2013-03-31,310898.29,11.9,1035858.37,15.7,2013-04-20
2013-04-30,307648.4202,11.9,1032551.903,16.1,2013-05-20
2013-05-31,310204.48,11.3,1042169.16,15.8,2013-06-20
2013-06-30,313499.82,9.1,1054403.69,14.0,2013-07-20
2013-07-31,310596.46,9.7,1052212.34,14.5,2013-08-20
2013-08-31,314085.91,9.9,1061256.43,14.7,2013-09-20
2013-09-30,312330.3433,8.9,1077379.163,14.2,2013-10-20
2013-10-31,319509.38,8.9,1070242.167,14.3,2013-11-20
2013-11-30,324821.9228,9.4,1079257.055,14.2,2013-12-20
2013-12-31,337291.05,9.3,1106524.98,13.6,2014-01-20
2014-01-31,314900.5525,1.2,1123521.21,13.2,2014-02-20
2014-02-28,316625.11,6.9,1131760.83,13.3,2014-03-20
2014-03-31,327683.74,5.4,1160687.38,12.1,2014-04-20
2014-04-30,324482.52,5.5,1168812.67,13.2,2014-05-20
2014-05-31,327839.56,5.7,1182293.96,13.4,2014-06-20
2014-06-30,341487.45,8.9,1209587.2,14.7,2014-07-20
2014-07-31,331347.32,6.7,1194249.24,13.5,2014-08-20
2014-08-31,332023.23,5.7,1197499.08,12.8,2014-09-20
2014-09-30,327220.21,4.8,1202051.41,12.9,2014-10-20
2014-10-31,329617.7321,3.2,1199236.314,12.6,2014-11-20
