日期,融资融券余额,融资余额,融券余额,融资买入额
2010-03-31,5848955,5824813,24142,5866316
2010-04-01,6859439,6842114,17325,1054024
2010-04-02,6774710,6762781,11929,207516
2010-04-06,10101510,10091243,10267,3329461
2010-04-07,25125244,25086826,38418,15141395
2010-04-08,30243891,30233781,10110,5147142
2010-04-09,50673837,50663640,10197,22077191
2010-04-12,89071076,89060984,10092,40376602
2010-04-13,92380590,92169145,211445,17444196
2010-04-14,89692738,89480507,212231,7964900
2010-04-15,103370501,103099287,271214,20916787
2010-04-16,122263332,121064474,1198858,25841176
2010-04-19,113815392,112783831,1031561,8395193
2010-04-20,118312216,116673356,1638860,5706716
2010-04-21,130078208,127565065,2513143,14384413
2010-04-22,160151295,157219058,2932237,32603174
2010-04-23,155732385,152902064,2830321,17574818
2010-04-26,193132504,182090321,11042183,35141973
2010-04-27,205253128,202494937,2758191,29621581
2010-04-28,225959100,223249365,2709735,31144701
2010-04-29,235877485,233030157,2847328,27561491
2010-04-30,238077940,235526412,2551528,27804556
2010-05-04,246365873,242846863,3519010,21944030
2010-05-05,282640671,277495916,5144755,50597915
2010-05-06,317289706,314003383,3286323,55666699
2010-05-07,314213691,309938569,4275122,48359014
2010-05-10,333643416,327370089,6273327,36414703
2010-05-11,356721046,350667983,6053063,47067392
2010-05-12,382832422,376113669,6718753,43090277
2010-05-13,401766706,393357604,8409102,43516642
2010-05-14,422791000,415983876,6807124,43883229
2010-05-17,477644453,473201524,4442929,74027562
2010-05-18,472759807,467622771,5137036,32532723
2010-05-19,481118099,475810742,5307357,28129781
2010-05-20,495817029,486806982,9010047,32023540
2010-05-21,512671127,503728469,8942658,51052980
2010-05-24,548729434,534671504,14057930,76158631
2010-05-25,572776772,562759014,10017758,56337279
2010-05-26,575027554,565966886,9060668,17672866
2010-05-27,609717988,604281887,5436101,69689203
2010-05-28,637859051,633696229,4162822,56487576
2010-05-31,640181114,629837529,10343585,37471239
2010-06-01,652837309,639998626,12838683,41486233
2010-06-02,665923111,653397284,12525827,27207650
2010-06-03,689321030,675126222,14194808,38752924
2010-06-04,695544265,680721701,14822564,31729497
2010-06-07,692450455,685693950,6756505,28140634
2010-06-08,702048953,697311113,4737840,34230923
2010-06-09,794667151,785253681,9413470,126771313
2010-06-10,800711733,793255677,7456056,41796850
2010-06-11,789836480,782619926,7216554,44972146
2010-06-17,809123172,802191743,6931429,35258695
2010-06-18,825156746,819295645,5861101,46482526
2010-06-21,868987588,859456754,9530834,99484877
2010-06-22,877255268,867189284,10065984,42295789
2010-06-23,851184728,842719148,8465580,47607058
2010-06-24,875068810,866091036,8977774,47947796
2010-06-25,886494816,877045659,9449157,30535042
2010-06-28,915984124,907046989,8937135,52375764
2010-06-29,910705634,901933545,8772089,56320628
2010-06-30,916769013,908521076,8247937,35114468
2010-07-01,937922231,928736463,9185768,42612154
2010-07-02,955852778,946500624,9352154,55619277
2010-07-05,1044738511,1035344028,9394483,118587870
2010-07-06,1067081202,1057442951,9638251,59076920
2010-07-07,1074182319,1064383786,9798533,44925331
2010-07-08,1112632888,1102548838,10084050,65542507
2010-07-09,1181649244,1170639291,11009953,157020933
2010-07-12,1234380297,1222983113,11397184,122496033
2010-07-13,1323793267,1311949508,11843759,122088757
2010-07-14,1275542655,1263477734,12064921,80227880
2010-07-15,1298604506,1287501800,11102706,60785184
2010-07-16,1330405870,1319305043,11100827,47955270
2010-07-19,1315761390,1303905018,11856372,71278412
2010-07-20,1452852243,1440850708,12001535,212954187
2010-07-21,1483082903,1472317314,10765589,100091861
2010-07-22,1509592299,1498641789,10950510,89420614
2010-07-23,1550667921,1539431335,11236586,149445421
2010-07-26,1564563563,1551684452,12879111,71587341
2010-07-27,1593568939,1580807913,12761026,79519953
2010-07-28,1595881227,1583742413,12138814,108644824
2010-07-29,1543870239,1531824312,12045927,98484393
2010-07-30,1563893820,1552855454,11038366,92133368
2010-08-02,1651449005,1640972044,10476961,174443309
2010-08-03,1675464416,1664552954,10911462,129466269
2010-08-04,1718047391,1709199891,8847500,126248395
2010-08-05,1783730011,1775576845,8153166,167459563
2010-08-06,1810364869,1802240599,8124270,111988470
2010-08-09,1850654356,1841103737,9550619,125992494
2010-08-10,1878116591,1869121672,8994919,147571316
2010-08-11,1912592671,1903636176,8956495,94087853
2010-08-12,1927074367,1917657100,9417267,97853482
2010-08-13,1955007712,1946004866,9002846,104210434
2010-08-16,2020698627,2011265809,9432818,163870333
2010-08-17,2060715951,2052174441,8541510,137843946
2010-08-18,2094547208,2085438731,9108477,136209711
2010-08-19,2122186150,2111575425,10610725,204734599
2010-08-20,2124437624,2116441794,7995830,140901472
2010-08-23,2150102756,2141737847,8364909,113225964
2010-08-24,2223023528,2213911577,9111951,143827323
2010-08-25,2199838398,2190791657,9046741,98774816
2010-08-26,2204143758,2194536639,9607119,76108498
2010-08-27,2229826026,2220473978,9352048,88446491
2010-08-30,2294084401,2285460219,8624182,177968857
2010-08-31,2317154573,2307041382,10113191,154108208
2010-09-01,2331387611,2322415396,8972215,165106740
2010-09-02,2375135396,2367547449,7587947,198711616
2010-09-03,2353963258,2347176762,6786496,143306467
2010-09-06,2397099567,2387662569,9436998,184925685
2010-09-07,2422794626,2414136562,8658064,134071867
2010-09-08,2500020878,2493160533,6860345,213749417
2010-09-09,2574930937,2568993058,5937879,228372953
2010-09-10,2575331282,2568640986,6690296,103135866
2010-09-13,2627935533,2621304462,6631071,192569363
