date,new_investors_10k,rolling_6m_max,signal
2015-04-30,497.53,,正常
2015-05-31,415.87,,正常
2015-06-30,464.22,497.53,正常
2015-07-31,204.87,497.53,正常
2015-08-31,136.85,497.53,正常
2015-09-30,108.32,497.53,正常
2015-10-31,106.42,464.22,正常
2015-11-30,147.19,464.22,正常
2015-12-31,141.73,204.87,正常
2016-01-31,135.09,147.19,正常
2016-02-29,115.46,147.19,正常
2016-03-31,229.21,229.21,触发反转候选
2016-04-30,155.12,229.21,正常
2016-05-31,142.14,229.21,正常
2016-06-30,142.09,229.21,正常
2016-07-31,130.62,229.21,正常
2016-08-31,219.9,229.21,正常
2016-09-30,185.38,219.9,正常
2016-10-31,131.02,219.9,正常
2016-11-30,174.8,219.9,正常
2016-12-31,139.69,219.9,正常
2017-01-31,95.63,219.9,正常
2017-02-28,151.5,185.38,正常
2017-03-31,233.41,233.41,触发反转候选
2017-04-30,128.32,233.41,正常
2017-05-31,124.47,233.41,正常
2017-06-30,132.98,233.41,正常
2017-07-31,121.35,233.41,正常
2017-08-31,151.2,233.41,正常
2017-09-30,132.7,151.2,正常
2017-10-31,96.47,151.2,正常
2017-11-30,122.01,151.2,正常
2017-12-31,97.23,151.2,正常
2018-01-31,122.82,151.2,正常
2018-02-28,74.24,132.7,正常
2018-03-31,155.79,155.79,触发反转候选
2018-04-30,96.89,155.79,正常
2018-05-31,110.31,155.79,正常
2018-06-30,103.08,155.79,正常
2018-07-31,109.82,155.79,正常
2018-08-31,107.06,155.79,正常
2018-09-30,90.99,110.31,正常
2018-10-31,90.83,110.31,正常
2018-11-30,104.97,109.82,正常
2018-12-31,85.34,109.82,正常
2019-01-31,102.37,107.06,正常
2019-02-28,99.65,104.97,正常
2019-03-31,202.48,202.48,触发反转候选
2019-04-30,153.11,202.48,正常
2019-05-31,115.26,202.48,正常
2019-06-30,105.58,202.48,正常
2019-07-31,108.49,202.48,正常
2019-08-31,98.62,202.48,正常
2019-09-30,96.28,153.11,正常
2019-10-31,79.38,115.26,正常
2019-11-30,82.65,108.49,正常
2019-12-31,80.93,108.49,正常
2020-01-31,80.07,98.62,正常
2020-02-29,89.54,96.28,正常
2020-03-31,189.12,189.12,触发反转候选
2020-04-30,164.04,189.12,正常
2020-05-31,121.41,189.12,正常
2020-06-30,154.9,189.12,正常
2020-07-31,242.63,242.63,触发反转候选
2020-08-31,179.51,242.63,正常
2020-09-30,154.13,242.63,正常
2020-10-31,112.01,242.63,正常
2020-11-30,152.71,242.63,正常
2020-12-31,162.18,242.63,正常
2021-01-31,209.43,209.43,触发反转候选
2021-02-28,160.94,209.43,正常
2021-03-31,247.74,247.74,触发反转候选
2021-04-30,169.14,247.74,正常
2021-05-31,141.22,247.74,正常
2021-06-30,155.52,247.74,正常
2021-07-31,160.89,247.74,正常
2021-08-31,187.46,247.74,正常
2021-09-30,161.82,187.46,正常
2021-10-31,98.07,187.46,正常
2021-11-30,133.75,187.46,正常
2021-12-31,137.38,187.46,正常
2022-01-31,132.43,187.46,正常
2022-02-28,141.46,161.82,正常
2022-03-31,230.2,230.2,触发反转候选
2022-04-30,125.67,230.2,正常
2022-05-31,120.26,230.2,正常
2022-06-30,133.03,230.2,正常
2022-07-31,113.21,230.2,正常
2022-08-31,124.6,230.2,正常
2022-09-30,103.05,133.03,正常
2022-10-31,80.29,133.03,正常
2022-11-30,97.32,133.03,正常
2022-12-31,71.24,124.6,正常
2023-01-31,84.48,124.6,正常
2023-02-28,167.68,167.68,触发反转候选
2023-03-31,189.62,189.62,触发反转候选
2023-04-30,100.19,189.62,正常
2023-05-31,97.26,189.62,正常
2023-06-30,98.13,189.62,正常
2023-07-31,91.03,189.62,正常
2023-08-31,99.59,189.62,正常
