date,m1_yoy,m2_yoy,m1_ma6,m1_ma12,trend
2008-01-31,20.54,18.88,,,震荡
2008-02-29,18.95,17.39,,,震荡
2008-03-31,17.97,16.19,19.153333333333332,,震荡
2008-04-30,19.05,16.94,19.127499999999998,,震荡
2008-05-31,17.93,18.07,18.887999999999998,,震荡
2008-06-30,14.19,17.37,18.105,18.105,震荡
2008-07-31,13.96,16.35,17.008333333333336,17.512857142857143,下行
2008-08-31,11.48,16.0,15.763333333333334,16.75875,下行
2008-09-30,9.43,15.29,14.340000000000002,15.944444444444445,下行
2008-10-31,8.85,15.02,12.64,15.235,下行
2008-11-30,6.8,14.8,10.784999999999998,14.468181818181819,下行
2008-12-31,9.06,17.82,9.93,14.0175,下行
2009-01-31,6.68,18.79,8.716666666666667,12.862499999999999,下行
2009-02-28,10.87,20.48,8.615,12.189166666666665,下行
2009-03-31,17.04,25.51,9.883333333333333,12.111666666666665,下行
2009-04-30,17.48,25.95,11.321666666666667,11.980833333333335,下行
2009-05-31,18.69,25.74,13.303333333333333,12.044166666666667,上行
2009-06-30,24.79,28.46,15.924999999999999,12.9275,上行
2009-07-31,26.37,28.42,19.206666666666667,13.961666666666666,上行
2009-08-31,27.72,28.53,22.015,15.315,上行
2009-09-30,29.51,29.31,24.093333333333334,16.988333333333333,上行
2009-10-31,32.03,29.42,26.518333333333334,18.92,上行
2009-11-30,34.63,29.74,29.175,21.239166666666666,上行
2009-12-31,32.35,27.68,30.435,23.179999999999996,上行
2010-01-31,38.96,25.98,32.53333333333334,25.87,上行
2010-02-28,34.99,25.52,33.745000000000005,27.88,上行
2010-03-31,29.94,22.5,33.81666666666667,28.955000000000002,上行
2010-04-30,31.25,21.48,33.68666666666667,30.102500000000003,上行
2010-05-31,29.9,21.0,32.89833333333333,31.036666666666665,上行
2010-06-30,24.6,18.5,31.60666666666667,31.020833333333332,上行
2010-07-31,22.9,17.6,28.930000000000003,30.731666666666666,下行
2010-08-31,21.9,19.2,26.74833333333333,30.24666666666667,下行
2010-09-30,20.9,19.0,25.241666666666664,29.52916666666667,下行
2010-10-31,22.1,19.3,23.716666666666665,28.701666666666668,下行
2010-11-30,22.1,19.5,22.416666666666668,27.6575,下行
2010-12-31,21.2,19.7,21.849999999999998,26.728333333333328,下行
2011-01-31,13.6,17.2,20.3,24.615,下行
2011-02-28,14.5,15.7,19.066666666666666,22.9075,下行
2011-03-31,15.0,16.6,18.083333333333332,21.662499999999998,下行
2011-04-30,12.9,15.3,16.55,20.133333333333333,下行
2011-05-31,12.7,15.1,14.983333333333334,18.7,下行
2011-06-30,13.1,15.9,13.633333333333333,17.741666666666664,下行
2011-07-31,11.6,14.7,13.300000000000002,16.8,下行
2011-08-31,11.2,13.5,12.75,15.908333333333333,下行
2011-09-30,8.85,13.04,11.725,14.904166666666667,下行
2011-10-31,8.4,12.9,10.975,13.762500000000001,下行
2011-11-30,7.8,12.7,10.158333333333333,12.570833333333333,下行
2011-12-31,7.9,13.6,9.291666666666666,11.462499999999999,下行
2012-01-31,3.1,12.4,7.875,10.5875,下行
2012-02-29,4.3,13.0,6.724999999999999,9.737499999999999,下行
2012-03-31,4.4,13.4,5.983333333333334,8.854166666666666,下行
2012-04-30,3.1,12.8,5.1000000000000005,8.0375,下行
2012-05-31,3.5,13.2,4.383333333333334,7.270833333333333,下行
2012-06-30,4.7,13.6,3.85,6.570833333333333,下行
2012-07-31,4.6,13.9,4.1000000000000005,5.9875,下行
2012-08-31,4.5,13.5,4.133333333333334,5.429166666666666,下行
2012-09-30,7.3,14.8,4.616666666666666,5.3,下行
2012-10-31,6.1,14.1,5.116666666666666,5.108333333333333,上行
2012-11-30,5.5,13.9,5.449999999999999,4.916666666666667,上行
2012-12-31,6.5,13.8,5.75,4.8,上行
2013-01-31,15.3,15.9,7.533333333333334,5.816666666666666,上行
2013-02-28,9.5,15.2,8.366666666666667,6.25,上行
2013-03-31,11.9,15.7,9.133333333333335,6.875,上行
2013-04-30,11.9,16.1,10.1,7.608333333333334,上行
2013-05-31,11.3,15.8,11.066666666666668,8.258333333333335,上行
2013-06-30,9.1,14.0,11.5,8.625,上行
2013-07-31,9.7,14.5,10.566666666666668,9.05,上行
2013-08-31,9.9,14.7,10.633333333333335,9.5,上行
2013-09-30,8.9,14.2,10.133333333333333,9.633333333333333,上行
2013-10-31,8.9,14.3,9.633333333333333,9.866666666666667,下行
2013-11-30,9.4,14.2,9.316666666666668,10.191666666666666,下行
2013-12-31,9.3,13.6,9.35,10.425,下行
2014-01-31,1.2,13.2,7.933333333333334,9.25,下行
2014-02-28,6.9,13.3,7.433333333333334,9.033333333333333,下行
2014-03-31,5.4,12.1,6.8500000000000005,8.491666666666667,下行
2014-04-30,5.5,13.2,6.283333333333334,7.958333333333333,下行
2014-05-31,5.7,13.4,5.666666666666667,7.491666666666667,下行
2014-06-30,8.9,14.7,5.6000000000000005,7.4750000000000005,下行
2014-07-31,6.7,13.5,6.516666666666667,7.2250000000000005,下行
2014-08-31,5.7,12.8,6.316666666666667,6.875000000000001,下行
2014-09-30,4.8,12.9,6.216666666666668,6.533333333333334,下行
2014-10-31,3.2,12.6,5.833333333333333,6.058333333333334,下行
2014-11-30,3.2,12.3,5.416666666666667,5.541666666666667,下行
2014-12-31,3.2,12.2,4.466666666666668,5.033333333333334,下行
2015-01-31,10.6,10.8,5.116666666666666,5.816666666666666,下行
