date,social_financing,sf_12m_sum,credit_impulse,ma6,signal
2008-01-31,8058.0,,,,正常
2008-01-31,8058.0,,,,正常
2008-02-29,2434.0,,,,正常
2008-02-29,2434.0,,,,正常
2008-03-31,2834.0,,,,正常
2008-03-31,2834.0,,,,正常
2008-04-30,4690.0,,,,正常
2008-04-30,4690.0,,,,正常
2008-05-31,3185.0,,,,正常
2008-05-31,3185.0,,,,正常
2008-06-30,3324.0,24525.0,,,正常
2008-06-30,3324.0,24525.0,,,正常
2008-07-31,3818.0,28343.0,,,正常
2008-07-31,3818.0,28343.0,,,正常
2008-08-31,2715.0,31058.0,,,正常
2008-08-31,2715.0,31058.0,,,正常
2008-09-30,3745.0,34803.0,,,正常
2008-09-30,3745.0,34803.0,,,正常
2008-10-31,1819.0,36622.0,,,正常
2008-10-31,1819.0,36622.0,,,正常
2008-11-30,4775.0,41397.0,,,正常
2008-11-30,4775.0,41397.0,,,正常
2008-12-31,7645.0,49042.0,,,正常
2008-12-31,7645.0,49042.0,,,正常
2009-01-31,16177.0,57161.0,,,正常
2009-01-31,16177.0,57161.0,,,正常
2009-02-28,10715.0,65442.0,,,正常
2009-02-28,10715.0,65442.0,,,正常
2009-03-31,18920.0,81528.0,,,正常
2009-03-31,18920.0,81528.0,,,正常
2009-04-30,5918.0,82756.0,,,正常
2009-04-30,5918.0,82756.0,,,正常
2009-05-31,6669.0,86240.0,,,正常
2009-05-31,6669.0,86240.0,,,正常
2009-06-30,15304.0,98220.0,300.4892966360856,,信贷扩张
2009-06-30,15304.0,98220.0,300.4892966360856,,信贷扩张
2009-07-31,3691.0,98093.0,246.0925096143669,,信贷扩张
2009-07-31,3691.0,98093.0,246.09250961436686,,信贷扩张
2009-08-31,4104.0,99482.0,220.3103870178376,255.63073108943001,信贷扩张
2009-08-31,4104.0,99482.0,220.3103870178376,255.63073108943,信贷扩张
2009-09-30,5167.0,100904.0,189.9290291066862,239.20530559374407,信贷扩张
2009-09-30,5167.0,100904.0,189.9290291066862,239.20530559374407,信贷扩张
2009-10-31,2530.0,101615.0,177.46982688001748,226.85820985099878,信贷扩张
2009-10-31,2530.0,101615.0,177.46982688001748,226.8582098509988,信贷扩张
2009-11-30,2948.0,99788.0,141.05128390946203,212.5570555274093,信贷扩张
2009-11-30,2948.0,99788.0,141.05128390946203,212.5570555274093,信贷扩张
2009-12-31,3800.0,95943.0,95.63435422698912,178.4145651258932,信贷扩张
2009-12-31,3800.0,95943.0,95.63435422698912,178.4145651258932,信贷扩张
2010-01-31,13934.0,93700.0,63.92295446195833,148.05297260049178,信贷扩张
2010-01-31,13934.0,93700.0,63.92295446195833,148.05297260049178,信贷扩张
2010-02-28,6999.0,89984.0,37.50191008832249,117.58489311223927,信贷扩张
2010-02-28,6999.0,89984.0,37.50191008832249,117.58489311223929,信贷扩张
2010-03-31,5107.0,76171.0,-6.570748699833184,84.83493014448604,信贷收缩
2010-03-31,5107.0,76171.0,-6.570748699833184,84.83493014448604,信贷收缩
2010-04-30,7740.0,77993.0,-5.755473923340904,54.297380010592974,信贷收缩
2010-04-30,7740.0,77993.0,-5.755473923340904,54.297380010592974,信贷收缩
2010-05-31,6493.0,77817.0,-9.766929499072353,29.161011109170584,信贷收缩
2010-05-31,6493.0,77817.0,-9.766929499072353,29.161011109170584,信贷收缩
2010-06-30,6027.0,68540.0,-30.2178782325392,8.18563903258253,信贷收缩
2010-06-30,6027.0,68540.0,-30.217878232539196,8.18563903258253,信贷收缩
2010-07-31,5327.0,70176.0,-28.459726993771216,-7.211474543372394,信贷收缩
2010-07-31,5327.0,70176.0,-28.459726993771216,-7.211474543372394,信贷收缩
2010-08-31,5446.0,71518.0,-28.109607768239474,-18.146727519466054,信贷收缩
2010-08-31,5446.0,71518.0,-28.109607768239474,-18.14672751946605,信贷收缩
