date,cpi_yoy,q10,q90,signal
2008-01-31,7.0781,,,正常
2008-01-31,7.0781,,,正常
2008-02-29,8.7443,,,正常
2008-02-29,8.7443,,,正常
2008-03-31,8.3097,,,正常
2008-03-31,8.3097,,,正常
2008-04-30,8.4829,,,正常
2008-04-30,8.4829,,,正常
2008-05-31,7.7163,,,正常
2008-05-31,7.7163,,,正常
2008-06-30,7.0844,,,正常
2008-06-30,7.0844,,,正常
2008-07-31,6.302,,,正常
2008-07-31,6.302,,,正常
2008-08-31,4.9001,,,正常
2008-08-31,4.9001,,,正常
2008-09-30,4.6425,,,正常
2008-09-30,4.6425,,,正常
2008-10-31,3.9744,,,正常
2008-10-31,3.9744,,,正常
2008-11-30,2.434,,,正常
2008-11-30,2.434,,,正常
2008-12-31,1.1999,,,正常
2008-12-31,1.1999,,,正常
2009-01-31,0.95,,,正常
2009-01-31,0.95,,,正常
2009-02-28,-1.5582,,,正常
2009-02-28,-1.5582,,,正常
2009-03-31,-1.1714,,,正常
2009-03-31,-1.1714,,,正常
2009-04-30,-1.5,,,正常
2009-04-30,-1.5,,,正常
2009-05-31,-1.3713,,,正常
2009-05-31,-1.3713,,,正常
2009-06-30,-1.7,,,正常
2009-06-30,-1.7,,,正常
2009-07-31,-1.8057,,,正常
2009-07-31,-1.8057,,,正常
2009-08-31,-1.2043,,,正常
2009-08-31,-1.2043,,,正常
2009-09-30,-0.7883,,,正常
2009-09-30,-0.7883,,,正常
2009-10-31,-0.53,,,正常
2009-10-31,-0.53,,,正常
2009-11-30,0.56,,,正常
2009-11-30,0.56,,,正常
2009-12-31,1.8559,,,正常
2009-12-31,1.8559,,,正常
2010-01-31,1.53,,,正常
2010-01-31,1.53,,,正常
2010-02-28,2.6953,,,正常
2010-02-28,2.6953,,,正常
2010-03-31,2.3707,,,正常
2010-03-31,2.3707,,,正常
2010-04-30,2.8136,,,正常
2010-04-30,2.8136,,,正常
2010-05-31,3.0613,,,正常
2010-05-31,3.0613,,,正常
2010-06-30,2.9499,,,正常
2010-06-30,2.9499,,,正常
2010-07-31,3.3042,,,正常
2010-07-31,3.3042,,,正常
2010-08-31,3.4794,,,正常
2010-08-31,3.4794,,,正常
2010-09-30,3.6056,,,正常
2010-09-30,3.6056,,,正常
2010-10-31,4.3655,,,正常
2010-10-31,4.3655,,,正常
2010-11-30,5.1192,,,正常
2010-11-30,5.1192,,,正常
2010-12-31,4.5859,-1.43565,7.400349999999999,正常
2010-12-31,4.5859,-1.4356499999999999,7.4003499999999995,正常
2011-01-31,4.9121,-1.42278,7.337159999999999,正常
2011-01-31,4.9121,-1.42278,7.337159999999999,正常
2011-02-28,4.9443,-1.40991,7.273970000000003,正常
2011-02-28,4.9443,-1.40991,7.273970000000003,正常
2011-03-31,5.383,-1.3970399999999998,7.2107800000000015,正常
2011-03-31,5.383,-1.3970399999999998,7.2107800000000015,正常
2011-04-30,5.3442,-1.38417,7.147590000000001,正常
2011-04-30,5.3442,-1.38417,7.147590000000001,正常
2011-05-31,5.5146,-1.3713,7.0844,正常
2011-05-31,5.5146,-1.3713,7.0844,正常
2011-06-30,6.3553,-1.3545999999999998,7.08377,正常
2011-06-30,6.3553,-1.3545999999999998,7.0837699999999995,正常
2011-07-31,6.4508,-1.3378999999999999,7.083139999999999,正常
2011-07-31,6.4508,-1.3379,7.083139999999999,正常
2011-08-31,6.1514,-1.3212,7.08251,正常
2011-08-31,6.1514,-1.3212,7.08251,正常
2011-09-30,6.0671,-1.3045,7.08188,正常
2011-09-30,6.0671,-1.3045,7.08188,正常
2011-10-31,5.4954,-1.2877999999999998,7.08125,正常
2011-10-31,5.4954,-1.2877999999999998,7.08125,正常
2011-11-30,4.2246,-1.2711,7.08062,正常
2011-11-30,4.2246,-1.2711,7.08062,正常
2011-12-31,4.0704,-1.2544,7.07999,正常
2011-12-31,4.0704,-1.2544,7.07999,正常
2012-01-31,4.5485,-1.2376999999999998,7.07936,正常
2012-01-31,4.5485,-1.2376999999999998,7.07936,正常
2012-02-29,3.1613,-1.221,7.07873,正常
2012-02-29,3.1613,-1.2209999999999999,7.07873,正常
2012-03-31,3.5856,-1.2043,7.0781,正常
2012-03-31,3.5856,-1.2043,7.0781,正常
2012-04-30,3.3653,-1.20101,7.015369999999999,正常
2012-04-30,3.3653,-1.20101,7.015369999999999,正常
2012-05-31,3.0008,-1.19772,6.952640000000002,正常
2012-05-31,3.0008,-1.19772,6.952640000000002,正常
2012-06-30,2.1504,-1.1944299999999999,6.889910000000002,正常
2012-06-30,2.1504,-1.19443,6.889910000000002,正常
2012-07-31,1.8,-1.19114,6.827180000000001,正常
2012-07-31,1.8,-1.1911399999999999,6.827180000000001,正常
2012-08-31,2.0,-1.18785,6.76445,正常
2012-08-31,2.0,-1.18785,6.76445,正常
2012-09-30,1.9,-1.18456,6.701719999999999,正常
2012-09-30,1.9,-1.18456,6.701719999999999,正常
2012-10-31,1.7,-1.18127,6.638990000000002,正常
2012-10-31,1.7,-1.18127,6.638990000000002,正常
2012-11-30,2.0,-1.17798,6.576260000000002,正常
2012-11-30,2.0,-1.17798,6.576260000000002,正常
2012-12-31,2.5,-1.17469,6.513530000000001,正常
2012-12-31,2.5,-1.17469,6.513530000000001,正常
2013-01-31,2.0,-1.1714,6.4508,正常
2013-01-31,2.0,-1.1714,6.4508,正常
2013-02-28,3.2,-1.1330899999999997,6.44125,正常
2013-02-28,3.2,-1.1330899999999997,6.44125,正常
2013-03-31,2.1,-1.09478,6.4317,正常
2013-03-31,2.1,-1.0947799999999999,6.4317,正常
2013-04-30,2.4,-1.0564699999999998,6.42215,正常
2013-04-30,2.4,-1.0564699999999998,6.42215,正常
2013-05-31,2.0981,-1.01816,6.4126,正常
2013-05-31,2.0981,-1.01816,6.4126,正常
2013-06-30,2.7,-0.97985,6.40305,正常
2013-06-30,2.7,-0.97985,6.40305,正常
2013-07-31,2.7,-0.9415399999999998,6.3934999999999995,正常
2013-07-31,2.7,-0.9415399999999998,6.3935,正常
2013-08-31,2.6,-0.90323,6.3839500000000005,正常
2013-08-31,2.6,-0.90323,6.3839500000000005,正常
2013-09-30,3.1,-0.8649199999999997,6.3744000000000005,正常
2013-09-30,3.1,-0.8649199999999997,6.3744000000000005,正常
2013-10-31,3.2,-0.8266099999999998,6.36485,正常
2013-10-31,3.2,-0.8266099999999998,6.36485,正常
2013-11-30,3.0,-0.7883,6.3553,正常
2013-11-30,3.0,-0.7883,6.3553,正常
2013-12-31,2.49871692,-0.7624699999999999,6.34997,正常
2013-12-31,2.49871692,-0.7624699999999999,6.34997,正常
2014-01-31,2.5,-0.73664,6.344639999999999,正常
2014-01-31,2.5,-0.73664,6.344639999999999,正常
2014-02-28,2.0,-0.7108099999999998,6.33931,正常
2014-02-28,2.0,-0.7108099999999998,6.33931,正常
2014-03-31,2.4,-0.6849799999999999,6.33398,正常
2014-03-31,2.4,-0.6849799999999999,6.33398,正常
2014-04-30,1.80138144,-0.65915,6.32865,正常
2014-04-30,1.80138144,-0.65915,6.32865,正常
2014-05-31,2.5,-0.6333199999999999,6.32332,正常
2014-05-31,2.5,-0.6333199999999999,6.32332,正常
2014-06-30,2.3,-0.60749,6.317989999999999,正常
2014-06-30,2.3,-0.60749,6.317989999999999,正常
2014-07-31,2.3,-0.5816599999999998,6.31266,正常
2014-07-31,2.3,-0.5816599999999998,6.31266,正常
2014-08-31,2.0,-0.5558299999999999,6.30733,正常
2014-08-31,2.0,-0.5558299999999999,6.30733,正常
2014-09-30,1.6,-0.53,6.302,正常
2014-09-30,1.6,-0.53,6.302,正常
2014-10-31,1.60114868,-0.4210000000000004,6.28694,正常
2014-10-31,1.60114868,-0.4210000000000004,6.28694,正常
2014-11-30,1.4,-0.3119999999999988,6.27188,正常
2014-11-30,1.4,-0.31199999999999883,6.2718799999999995,正常
2014-12-31,1.5,-0.2029999999999992,6.25682,正常
2014-12-31,1.5,-0.20299999999999924,6.25682,正常
2015-01-31,0.8,-0.0939999999999995,6.241760000000001,正常
2015-01-31,0.8,-0.09399999999999958,6.241760000000001,正常
2015-02-28,1.4,0.015000000000000013,6.226699999999999,正常
2015-02-28,1.4,0.015,6.226699999999999,正常
2015-03-31,1.4,0.12399999999999967,6.211640000000001,正常
2015-03-31,1.4,0.1239999999999996,6.211640000000001,正常
2015-04-30,1.5,0.2330000000000012,6.196579999999999,正常
