date,ppi_yoy,q10,q90,signal
2006-01-31,3.05,,,正常
2006-01-31,3.05,,,正常
2006-02-28,3.01,,,正常
2006-02-28,3.01,,,正常
2006-03-31,2.49,,,正常
2006-03-31,2.49,,,正常
2006-04-30,1.87,,,正常
2006-04-30,1.87,,,正常
2006-05-31,2.43,,,正常
2006-05-31,2.43,,,正常
2006-06-30,3.52,,,正常
2006-06-30,3.52,,,正常
2006-07-31,3.58,,,正常
2006-07-31,3.58,,,正常
2006-08-31,3.4,,,正常
2006-08-31,3.4,,,正常
2006-09-30,3.45,,,正常
2006-09-30,3.45,,,正常
2006-10-31,2.9,,,正常
2006-10-31,2.9,,,正常
2006-11-30,2.78,,,正常
2006-11-30,2.78,,,正常
2006-12-31,3.05,,,正常
2006-12-31,3.05,,,正常
2007-01-31,3.3,,,正常
2007-01-31,3.3,,,正常
2007-02-28,2.6,,,正常
2007-02-28,2.6,,,正常
2007-03-31,2.65,,,正常
2007-03-31,2.65,,,正常
2007-04-30,2.87,,,正常
2007-04-30,2.87,,,正常
2007-05-31,2.76,,,正常
2007-05-31,2.76,,,正常
2007-06-30,2.49,,,正常
2007-06-30,2.49,,,正常
2007-07-31,2.39,,,正常
2007-07-31,2.39,,,正常
2007-08-31,2.56,,,正常
2007-08-31,2.56,,,正常
2007-09-30,2.71,,,正常
2007-09-30,2.71,,,正常
2007-10-31,3.21,,,正常
2007-10-31,3.21,,,正常
2007-11-30,4.55,,,正常
2007-11-30,4.55,,,正常
2007-12-31,5.43,,,正常
2007-12-31,5.43,,,正常
2008-01-31,6.07,,,正常
2008-01-31,6.07,,,正常
2008-02-29,6.62,,,正常
2008-02-29,6.62,,,正常
2008-03-31,7.95,,,正常
2008-03-31,7.95,,,正常
2008-04-30,8.12,,,正常
2008-04-30,8.12,,,正常
2008-05-31,8.22,,,正常
2008-05-31,8.22,,,正常
2008-06-30,8.84,,,正常
2008-06-30,8.84,,,正常
2008-07-31,10.03,,,正常
2008-07-31,10.03,,,正常
2008-08-31,10.06,,,正常
2008-08-31,10.06,,,正常
2008-09-30,9.13,,,正常
2008-09-30,9.13,,,正常
2008-10-31,6.59,,,正常
2008-10-31,6.59,,,正常
2008-11-30,1.99,,,正常
2008-11-30,1.99,,,正常
2008-12-31,-1.14,2.41,8.530000000000001,低通胀(多头候选)
2008-12-31,-1.14,2.41,8.530000000000001,低通胀(多头候选)
2009-01-31,-3.35,2.23,8.468,低通胀(多头候选)
2009-01-31,-3.35,2.23,8.468,低通胀(多头候选)
2009-02-28,-4.47,1.954,8.406000000000002,低通胀(多头候选)
2009-02-28,-4.47,1.954,8.406000000000002,低通胀(多头候选)
2009-03-31,-5.99,1.268000000000001,8.344000000000003,低通胀(多头候选)
2009-03-31,-5.99,1.268000000000001,8.344000000000003,低通胀(多头候选)
2009-04-30,-6.6,-1.360999999999999,8.282000000000002,低通胀(多头候选)
2009-04-30,-6.6,-1.3609999999999993,8.282000000000002,低通胀(多头候选)
