date,equity_position,fund_count,position_ma5,position_ma20,position_ma40,position_ma60,position_ma120,position_mean,position_std,overheat_line,oversold_line,position_change,signal
2007-10-01,77.0,327,,,,,,,,,,,中性
2007-10-02,77.0,327,77.0,,,,,,,,,,中性
2007-10-03,77.0,327,77.0,,,,,,,,,,中性
2007-10-04,77.0,327,77.0,,,,,,,,,,中性
2007-10-05,77.0,327,77.0,77.0,,,,,,,,,中性
2007-10-08,77.0,327,77.0,77.0,,,,,,,,,中性
2007-10-09,77.0,327,77.0,77.0,,,,,,,,,中性
2007-10-10,77.0,327,77.0,77.0,,,,,,,,,中性
2007-10-11,77.0,327,77.0,77.0,,,,,,,,,中性
2007-10-12,77.0,327,77.0,77.0,77.0,,,77.0,0.0,77.0,77.0,,中性
2007-10-15,77.0,327,77.0,77.0,77.0,,,77.0,0.0,77.0,77.0,,中性
2007-10-16,77.0,327,77.0,77.0,77.0,,,77.0,0.0,77.0,77.0,,中性
2007-10-17,77.0,327,77.0,77.0,77.0,,,77.0,0.0,77.0,77.0,,中性
2007-10-18,77.0,327,77.0,77.0,77.0,,,77.0,0.0,77.0,77.0,,中性
2007-10-19,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-22,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-23,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-24,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-25,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-26,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-29,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,,中性
2007-10-30,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-10-31,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-01,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-02,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-05,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-06,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-07,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-08,77.0,327,77.0,77.0,77.0,77.0,,77.0,0.0,77.0,77.0,0.0,中性
2007-11-09,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-12,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-13,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-14,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-15,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-16,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
