date,industry_count,divergence,ma20,cold_line,hot_line,signal
2019-03-06,1,,,,,正常
2019-03-07,1,,,,,正常
2019-03-08,1,,,,,正常
2019-03-11,1,,,,,正常
2019-03-12,1,,,,,正常
2019-03-13,1,,,,,正常
2019-03-14,1,,,,,正常
2019-03-15,1,,,,,正常
2019-03-18,1,,,,,正常
2019-03-19,1,,,,,正常
2019-03-20,1,,,,,正常
2019-03-21,1,,,,,正常
2019-03-22,1,,,,,正常
2019-03-25,1,,,,,正常
2019-03-26,1,,,,,正常
2019-03-27,1,,,,,正常
2019-03-28,1,,,,,正常
2019-03-29,1,,,,,正常
2019-04-01,1,,,,,正常
2019-04-02,1,,,,,正常
2019-04-03,1,,,,,正常
2019-04-04,1,,,,,正常
2019-04-08,1,,,,,正常
2019-04-09,1,,,,,正常
2019-04-10,1,,,,,正常
2019-04-11,1,,,,,正常
2019-04-12,1,,,,,正常
2019-04-15,1,,,,,正常
2019-04-16,1,,,,,正常
2019-04-17,1,,,,,正常
2019-04-18,1,,,,,正常
2019-04-19,2,,,,,正常
2019-04-22,2,,,,,正常
2019-04-23,2,,,,,正常
2019-04-24,2,,,,,正常
2019-04-25,2,,,,,正常
2019-04-26,2,,,,,正常
2019-04-29,2,,,,,正常
2019-04-30,2,,,,,正常
2019-05-06,2,,,,,正常
2019-05-07,2,,,,,正常
2019-05-08,2,,,,,正常
2019-05-09,2,,,,,正常
2019-05-10,2,,,,,正常
2019-05-13,2,,,,,正常
2019-05-14,2,,,,,正常
2019-05-15,2,,,,,正常
2019-05-16,2,,,,,正常
2019-05-17,2,,,,,正常
2019-05-20,2,,,,,正常
2019-05-21,2,,,,,正常
2019-05-22,2,,,,,正常
2019-05-23,2,,,,,正常
2019-05-24,2,,,,,正常
2019-05-27,2,,,,,正常
2019-05-28,2,,,,,正常
2019-05-29,2,,,,,正常
2019-05-30,2,,,,,正常
2019-05-31,2,,,,,正常
2019-06-03,2,,,,,正常
2019-06-04,2,,,,,正常
2019-06-05,2,,,,,正常
2019-06-06,2,,,,,正常
2019-06-10,3,,,,,正常
2019-06-11,3,,,,,正常
2019-06-12,3,,,,,正常
2019-06-13,3,,,,,正常
2019-06-14,3,,,,,正常
2019-06-17,3,,,,,正常
2019-06-18,3,,,,,正常
2019-06-19,3,,,,,正常
2019-06-20,3,,,,,正常
2019-06-21,3,,,,,正常
2019-06-24,3,,,,,正常
2019-06-25,3,,,,,正常
2019-06-26,3,,,,,正常
