曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债中短期票据收益率曲线(AAA),2020-02-04,2.8939,2.8998,2.9158,3.197,3.4503,3.7153,3.9597,
中债商业银行普通债收益率曲线(AAA),2020-02-04,2.7215,2.737,2.8042,2.9979,3.312,3.5849,3.8158,4.2435
中债国债收益率曲线,2020-02-04,1.7475,1.763,2.1,2.4056,2.6399,2.7906,2.8551,3.4488
中债国债收益率曲线,2020-02-05,1.7475,1.7667,2.0773,2.4264,2.6348,2.7893,2.844,3.446
中债中短期票据收益率曲线(AAA),2020-02-05,2.7991,2.8975,2.9118,3.1949,3.4609,3.7157,3.9601,
中债商业银行普通债收益率曲线(AAA),2020-02-05,2.6868,2.7291,2.7947,3.0239,3.3126,3.5853,3.8162,4.2433
中债国债收益率曲线,2020-02-06,1.7496,1.7667,2.0593,2.4327,2.6353,2.7844,2.8392,3.4437
中债中短期票据收益率曲线(AAA),2020-02-06,2.7697,2.8499,2.9104,3.207,3.451,3.7117,3.954,
中债商业银行普通债收益率曲线(AAA),2020-02-06,2.6033,2.6842,2.821,3.0377,3.3231,3.5813,3.8154,4.2422
中债国债收益率曲线,2020-02-07,1.6786,1.68,2.0525,2.4039,2.5917,2.7666,2.8024,3.4059
中债中短期票据收益率曲线(AAA),2020-02-07,2.7555,2.7801,2.8506,3.1976,3.441,3.7015,3.9438,
中债商业银行普通债收益率曲线(AAA),2020-02-07,2.6015,2.6704,2.7949,3.0184,3.3119,3.5711,3.8052,4.243
中债中短期票据收益率曲线(AAA),2020-02-10,2.7066,2.7467,2.8234,3.1725,3.41,3.6744,3.9091,
中债商业银行普通债收益率曲线(AAA),2020-02-10,2.529,2.6206,2.8011,2.9883,3.2879,3.544,3.7705,4.229
中债国债收益率曲线,2020-02-10,1.6272,1.6641,2.0,2.3851,2.5642,2.756,2.7872,3.3993
中债中短期票据收益率曲线(AAA),2020-02-11,2.6832,2.728,2.8384,3.1625,3.4152,3.6514,3.8842,
中债商业银行普通债收益率曲线(AAA),2020-02-11,2.4754,2.5907,2.7648,2.97,3.2819,3.5319,3.7602,4.2262
中债国债收益率曲线,2020-02-11,1.6263,1.684,1.99,2.4153,2.5956,2.7803,2.834,3.4363
中债国债收益率曲线,2020-02-12,1.657,1.7046,1.99,2.4223,2.6067,2.7887,2.8333,3.4389
中债中短期票据收益率曲线(AAA),2020-02-12,2.6629,2.7202,2.7955,3.1302,3.3933,3.6414,3.8861,
中债商业银行普通债收益率曲线(AAA),2020-02-12,2.4379,2.5687,2.7515,2.9508,3.2786,3.5119,3.7621,4.2391
中债中短期票据收益率曲线(AAA),2020-02-13,2.6301,2.6862,2.779,3.1226,3.3857,3.623,3.8695,
中债商业银行普通债收益率曲线(AAA),2020-02-13,2.4822,2.5825,2.7415,2.9519,3.271,3.4935,3.7455,4.2391
中债国债收益率曲线,2020-02-13,1.6325,1.7366,1.981,2.4218,2.6076,2.7867,2.8201,3.432
中债中短期票据收益率曲线(AAA),2020-02-14,2.6114,2.7035,2.7579,3.1048,3.3777,3.6115,3.858,
中债商业银行普通债收益率曲线(AAA),2020-02-14,2.4565,2.5661,2.7334,2.922,3.263,3.4935,3.7451,4.2387
中债国债收益率曲线,2020-02-14,1.6712,1.7977,1.9613,2.4225,2.6229,2.7977,2.8631,3.4659
中债国债收益率曲线,2020-02-17,1.705,1.815,1.9358,2.4389,2.6545,2.8151,2.8928,3.4998
中债商业银行普通债收益率曲线(AAA),2020-02-17,2.4411,2.5444,2.7001,2.932,3.2667,3.4971,3.7501,4.2351
中债中短期票据收益率曲线(AAA),2020-02-17,2.6042,2.6907,2.7667,3.0934,3.3813,3.6151,3.863,
中债国债收益率曲线,2020-02-18,1.744,1.8151,1.9358,2.4303,2.6473,2.8199,2.8664,3.4748
中债中短期票据收益率曲线(AAA),2020-02-18,2.6091,2.6807,2.7614,3.0834,3.3815,3.6153,3.8632,
中债商业银行普通债收益率曲线(AAA),2020-02-18,2.431,2.5457,2.6747,2.912,3.2567,3.4974,3.7504,4.2353
中债中短期票据收益率曲线(AAA),2020-02-19,2.6063,2.6855,2.7614,3.0712,3.3671,3.5856,3.8368,
中债商业银行普通债收益率曲线(AAA),2020-02-19,2.4111,2.5533,2.6754,2.912,3.2595,3.4677,3.724,4.2353
中债国债收益率曲线,2020-02-19,1.7535,1.7999,1.9365,2.4395,2.6545,2.8468,2.8776,3.4748
中债中短期票据收益率曲线(AAA),2020-02-20,2.5807,2.6797,2.7452,3.0506,3.3721,3.5727,3.8239,
中债商业银行普通债收益率曲线(AAA),2020-02-20,2.4033,2.5389,2.7158,2.9224,3.2495,3.4548,3.7111,4.2353
中债国债收益率曲线,2020-02-20,1.7741,1.8093,1.9459,2.4268,2.6834,2.8483,2.8857,3.4999
中债商业银行普通债收益率曲线(AAA),2020-02-21,2.4038,2.5361,2.7063,2.9231,3.2517,3.4459,3.7107,4.2349
中债国债收益率曲线,2020-02-21,1.7744,1.8031,1.9309,2.4068,2.6634,2.8332,2.847,3.46
中债中短期票据收益率曲线(AAA),2020-02-21,2.5719,2.6651,2.7502,3.0539,3.3775,3.5638,3.8235,
中债中短期票据收益率曲线(AAA),2020-02-24,2.571,2.6348,2.7328,3.0519,3.3637,3.5408,3.8005,
中债商业银行普通债收益率曲线(AAA),2020-02-24,2.3746,2.5361,2.7361,2.9231,3.2392,3.4229,3.6877,4.2349
中债国债收益率曲线,2020-02-24,1.7795,1.8174,1.8853,2.3948,2.6311,2.8199,2.812,3.4309
中债国债收益率曲线,2020-02-25,1.7715,1.8401,1.8951,2.3835,2.6384,2.82,2.822,3.4421
中债中短期票据收益率曲线(AAA),2020-02-25,2.5657,2.642,2.7102,3.0402,3.3705,3.5291,3.7808,
中债商业银行普通债收益率曲线(AAA),2020-02-25,2.3733,2.5771,2.7256,2.9231,3.2392,3.4112,3.668,4.2252
中债国债收益率曲线,2020-02-26,1.7556,1.8488,1.8863,2.3835,2.6283,2.8196,2.7973,3.4271
中债中短期票据收益率曲线(AAA),2020-02-26,2.5545,2.6469,2.6943,3.0231,3.3614,3.52,3.7808,
中债商业银行普通债收益率曲线(AAA),2020-02-26,2.3514,2.5171,2.6756,2.9131,3.2317,3.4021,3.668,4.2252
中债中短期票据收益率曲线(AAA),2020-02-27,2.5076,2.5963,2.6732,3.0131,3.3217,3.5051,3.766,
中债商业银行普通债收益率曲线(AAA),2020-02-27,2.3508,2.4742,2.6256,2.9176,3.2024,3.3873,3.6531,4.2103
中债国债收益率曲线,2020-02-27,1.751,1.8922,1.9051,2.3821,2.5953,2.8044,2.7702,3.404
中债中短期票据收益率曲线(AAA),2020-02-28,2.5076,2.5787,2.6624,3.0154,3.3028,3.4851,3.7465,
中债商业银行普通债收益率曲线(AAA),2020-02-28,2.3454,2.483,2.6025,2.8808,3.1732,3.3673,3.6336,4.1911
中债国债收益率曲线,2020-02-28,1.7865,1.8894,1.9291,2.3831,2.5266,2.7477,2.7376,3.3726
中债中短期票据收益率曲线(AAA),2020-03-02,2.5159,2.5595,2.6636,3.0017,3.2828,3.4494,3.7166,
中债商业银行普通债收益率曲线(AAA),2020-03-02,2.3205,2.4714,2.5934,2.8808,3.1532,3.3316,3.6037,4.1612
