报告日,利率,涨跌
2006-10-08,2.293,0.0
2006-10-09,2.296,0.3
2006-10-10,2.2971,0.11
2006-10-11,2.2932,-0.39
2006-10-12,2.2904,-0.28
2006-10-13,2.2919,0.15
2006-10-16,2.3144,2.25
2006-10-17,2.379,6.46
2006-10-18,2.4628,8.38
2006-10-19,2.4922,2.94
2006-10-20,2.4901,-0.21
2006-10-23,2.4775,-1.26
2006-10-24,2.4782,0.07
2006-10-25,2.4322,-4.6
2006-10-26,2.3887,-4.35
2006-10-27,2.3696,-1.91
2006-10-30,2.3931,2.35
2006-10-31,2.4514,5.83
2006-11-01,2.4803,2.89
2006-11-02,2.488,0.77
2006-11-03,2.4527,-3.53
2006-11-06,2.5751,12.24
2006-11-07,2.6931,11.8
2006-11-08,2.8443,15.12
2006-11-09,2.9405,9.62
2006-11-10,3.1975,25.7
2006-11-13,3.2409,4.34
2006-11-14,3.6395,39.86
2006-11-15,3.6929,5.34
2006-11-16,3.5343,-15.86
2006-11-17,3.8258,29.15
2006-11-20,3.9409,11.51
2006-11-21,4.0016,6.07
2006-11-22,3.7091,-29.25
2006-11-23,3.7165,0.74
2006-11-24,3.8861,16.96
2006-11-27,3.1747,-71.14
2006-11-28,3.0728,-10.19
2006-11-29,2.5137,-55.91
2006-11-30,2.427,-8.67
2006-12-01,2.3851,-4.19
2006-12-04,2.3543,-3.08
2006-12-05,2.3165,-3.78
2006-12-06,2.2959,-2.06
2006-12-07,2.2643,-3.16
2006-12-08,2.2463,-1.8
2006-12-11,2.2424,-0.39
2006-12-12,2.2101,-3.23
2006-12-13,2.2283,1.82
2006-12-14,2.0627,-16.56
2006-12-15,2.0486,-1.41
2006-12-18,2.0248,-2.38
2006-12-19,2.0222,-0.26
2006-12-20,1.9789,-4.33
2006-12-21,1.9016,-7.73
2006-12-22,2.052,15.04
2006-12-25,2.2896,23.76
2006-12-26,2.2841,-0.55
2006-12-27,2.2785,-0.56
2006-12-28,2.0753,-20.32
2006-12-29,1.9641,-11.12
2006-12-30,1.9182,-4.59
2006-12-31,1.6321,-28.61
2007-01-04,1.5238,-10.83
2007-01-05,1.5057,-1.81
2007-01-08,1.4524,-5.33
2007-01-09,1.4405,-1.19
2007-01-10,1.4262,-1.43
2007-01-11,1.4122,-1.4
2007-01-12,1.4047,-0.75
2007-01-15,1.38,-2.47
2007-01-16,1.3733,-0.67
2007-01-17,1.4986,12.53
2007-01-18,1.5048,0.62
2007-01-19,1.5485,4.37
2007-01-22,1.7726,22.41
2007-01-23,1.9648,19.22
2007-01-24,2.0061,4.13
2007-01-25,2.0159,0.98
2007-01-26,2.0703,5.44
2007-01-29,2.103,3.27
2007-01-30,2.1022,-0.08
2007-01-31,2.0919,-1.03
2007-02-01,2.0817,-1.02
2007-02-02,1.9916,-9.01
2007-02-05,2.0718,8.02
2007-02-06,2.1745,10.27
2007-02-07,2.5376,36.31
2007-02-08,3.5244,98.68
2007-02-09,4.1485,62.41
2007-02-12,4.4692,32.07
2007-02-13,3.4622,-100.7
2007-02-14,3.9964,53.42
2007-02-15,3.4817,-51.47
2007-02-16,2.1513,-133.04
2007-02-17,1.5133,-63.8
2007-02-25,2.9102,139.69
2007-02-26,2.6662,-24.4
2007-02-27,2.5313,-13.49
2007-02-28,1.9919,-53.94
2007-03-01,1.7584,-23.35
2007-03-02,1.6838,-7.46
2007-03-05,1.6676,-1.62
2007-03-06,1.6145,-5.31
2007-03-07,1.5498,-6.47
2007-03-08,1.5316,-1.82
2007-03-09,1.4956,-3.6
2007-03-12,1.477,-1.86
2007-03-13,1.4605,-1.65
2007-03-14,1.4419,-1.86
2007-03-15,1.4426,0.07
2007-03-16,1.5164,7.38
2007-03-19,1.6647,14.83
2007-03-20,1.7033,3.86
2007-03-21,1.7584,5.51
2007-03-22,1.8069,4.85
2007-03-23,1.865,5.81
2007-03-26,1.9487,8.37
2007-03-27,1.9582,0.95
2007-03-28,1.9658,0.76
2007-03-29,1.9729,0.71
2007-03-30,1.9704,-0.25
2007-04-02,1.9442,-2.62
2007-04-03,1.9476,0.34
2007-04-04,1.9553,0.77
2007-04-05,1.9923,3.7
2007-04-06,2.1854,19.31
2007-04-09,2.2959,11.05
2007-04-10,2.3751,7.92
2007-04-11,2.3681,-0.7
2007-04-12,2.3879,1.98
2007-04-13,2.4901,10.22
2007-04-16,2.9612,47.11
2007-04-17,2.9549,-0.63
2007-04-18,3.3773,42.24
2007-04-19,4.0704,69.31
2007-04-20,4.2113,14.09
2007-04-23,4.4717,26.04
2007-04-24,4.7138,24.21
2007-04-25,4.7253,1.15
2007-04-26,4.3519,-37.34
2007-04-27,3.672,-67.99
2007-04-28,2.2483,-142.37
2007-04-29,2.0869,-16.14
2007-04-30,1.8459,-24.1
2007-05-08,1.7977,-4.82
2007-05-09,1.7957,-0.2
2007-05-10,1.872,7.63
2007-05-11,3.0215,114.95
2007-05-14,3.1985,17.7
2007-05-15,3.055,-14.35
2007-05-16,2.9977,-5.73
2007-05-17,2.8732,-12.45
2007-05-18,2.5784,-29.48
2007-05-21,2.5142,-6.42
2007-05-22,2.479,-3.52
2007-05-23,2.4026,-7.64
2007-05-24,2.374,-2.86
