日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
2026-08-10,000906,中证800,CSI 800,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000009,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000027,深圳能源,Shenzhen Energy Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000032,深桑达A,Shenzhen SED Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000034,神州数码,"Digital China Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000039,中集集团,China International Marine Containers (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000050,深天马A,Tianma Microelectronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000062,深圳华强,Shenzhen Huaqiang Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000088,盐田港,Shenzhen Yan Tian Port Holdings Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000155,川能动力,SICHUAN NEW ENERGY POWER COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000400,许继电气,XJ Electric Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000423,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000429,粤高速A,Guangdong Provincial Expressway Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000513,丽珠集团,Livzon Pharmaceutical Group Inc,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000519,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000528,柳工,Guangxi Liugong Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000537,绿发电力,"Green Development Electricity Group of Tianjin Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000539,粤电力A,Guangdong Electric Power Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000559,万向钱潮,Wanxiang Qianchao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000582,北部湾港,"Beibuwan Port Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000591,太阳能,"CECEP Solar Energy Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000598,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000629,钒钛股份,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000657,中钨高新,China Tungsten and Hightech Materials Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000683,博源化工,Inner Mongolia Berun Chemical Company Limited,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000703,恒逸石化,Hengyi Petrochemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-08-10,000906,中证800,CSI 800,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
