date,open,high,low,close,volume
2005-01-04,995.097,995.097,981.754,983.895,973663097
2005-01-05,982.918,1000.425,981.591,995.576,1060521011
2005-01-06,996.098,996.344,983.132,986.216,922193464
2005-01-07,985.78,999.272,982.609,987.693,1069032107
2005-01-10,987.322,997.277,983.494,997.186,874110332
2005-01-11,997.366,1002.122,993.397,1000.098,898519519
2005-01-12,999.658,1000.083,991.695,999.915,821091889
2005-01-13,999.291,1003.535,996.331,1001.231,1075979945
2005-01-14,1000.947,1009.875,990.489,991.409,1131477972
2005-01-17,982.175,983.82,967.33,969.922,1164679196
2005-01-18,969.88,979.291,963.914,979.139,1182798040
2005-01-19,978.839,978.839,970.082,972.369,1059334050
2005-01-20,968.621,968.621,956.307,960.598,1237915518
2005-01-21,958.99,985.402,945.505,983.888,2063531568
2005-01-24,1003.725,1003.725,989.397,1000.703,2168281675
2005-01-25,998.293,998.293,986.344,998.001,1455733255
2005-01-26,995.842,998.374,987.435,989.061,1177719099
2005-01-27,986.703,986.703,972.621,973.434,1106857872
2005-01-28,973.434,974.25,960.241,964.026,982118066
2005-01-31,960.461,960.461,944.15,945.237,1088380548
2005-02-01,943.292,954.762,941.313,943.24,1163281244
2005-02-02,943.692,994.227,943.692,994.212,2361090479
2005-02-03,993.125,1000.458,978.511,979.041,2334584017
2005-02-04,978.105,1004.051,976.233,1000.775,2092922852
2005-02-16,1006.93,1017.424,1003.172,1008.572,1682461573
2005-02-17,1009.026,1009.026,997.022,1007.811,1300025615
2005-02-18,1007.436,1007.943,993.492,993.838,1225275081
2005-02-21,994.369,1012.767,994.369,1012.737,1465129730
2005-02-22,1013.762,1036.777,1011.615,1035.251,2751363136
2005-02-23,1035.477,1041.737,1027.526,1036.707,2889875305
2005-02-24,1035.212,1039.536,1028.151,1039.191,2336502136
2005-02-25,1039.815,1052.238,1039.815,1040.062,2782076463
2005-02-28,1039.375,1041.434,1029.068,1034.234,1999909760
2005-03-01,1033.659,1036.893,1025.316,1031.482,1663772706
2005-03-02,1031.846,1040.441,1016.193,1016.601,2168310669
2005-03-03,1014.977,1023.211,1009.063,1022.691,1457557982
2005-03-04,1022.823,1025.859,1016.117,1017.494,1269883103
2005-03-07,1018.373,1024.119,1017.972,1023.007,1240809032
2005-03-08,1026.012,1043.295,1026.012,1043.097,2148280179
2005-03-09,1045.326,1048.597,1036.849,1042.302,2358531112
2005-03-10,1042.327,1042.327,1014.624,1017.261,2040197382
2005-03-11,1015.795,1022.753,1011.524,1021.87,1743169199
2005-03-14,1021.625,1033.984,1007.669,1023.919,2201659262
2005-03-15,1023.854,1023.854,1005.719,1007.543,1850706079
2005-03-16,1006.029,1006.162,990.32,997.285,1593474734
2005-03-17,996.288,998.527,985.526,986.222,1528231850
2005-03-18,985.001,989.159,966.768,969.983,1504597667
2005-03-21,968.484,973.591,963.346,972.291,1144475495
2005-03-22,971.984,972.212,947.441,951.743,1717073048
2005-03-23,950.443,963.823,943.867,948.301,1622033698
2005-03-24,946.905,955.663,938.539,955.399,1357991626
2005-03-25,954.973,957.65,949.606,953.561,1129716745
2005-03-28,952.28,952.28,937.148,949.518,1068881619
2005-03-29,949.22,956.664,943.596,943.929,1127594601
2005-03-30,941.676,941.676,922.209,922.947,1363965968
2005-03-31,920.841,928.854,914.426,928.649,1198505972
2005-04-01,927.848,973.506,922.208,963.238,2326929821
2005-04-04,953.958,958.322,941.053,946.868,1676893137
2005-04-05,945.218,951.441,937.871,939.794,1410703965
2005-04-06,939.794,961.161,932.631,957.448,2108744891
2005-04-07,959.143,983.422,957.576,969.137,3029444719
2005-04-08,968.955,987.372,964.194,987.353,2275990708
2005-04-11,987.691,993.098,978.589,981.315,2462430852
2005-04-12,979.552,979.552,962.823,963.181,1626615962
