日期,指数,市净率,等权市净率,市净率中位数
2007-01-15,2197.14,3.25,3.22,2.55
2007-01-16,2263.73,3.45,3.52,2.78
2007-01-17,2225.5,3.39,3.48,2.74
2007-01-18,2244.06,3.36,3.56,2.81
2007-01-19,2321.36,3.45,3.69,2.89
2007-01-22,2417.01,3.58,3.86,3.02
2007-01-23,2430.22,3.96,3.87,3.03
2007-01-24,2456.74,3.96,3.9,3.11
2007-01-25,2367.27,3.79,3.73,2.96
2007-01-26,2415.02,3.83,3.76,2.94
2007-01-29,2481.14,3.91,3.88,3.04
2007-01-30,2461.32,3.88,3.86,3.03
2007-01-31,2309.14,3.69,3.66,2.87
2007-02-01,2322.05,3.69,3.69,2.89
2007-02-02,2240.11,3.53,3.6,2.83
2007-02-05,2226.79,3.45,3.62,2.87
2007-02-06,2271.17,3.53,3.69,2.95
2007-02-07,2321.07,3.58,3.76,3.0
2007-02-08,2361.53,3.61,3.83,3.08
2007-02-09,2353.79,3.59,3.83,3.1
2007-02-12,2432.79,3.7,3.93,3.16
2007-02-13,2471.23,3.73,3.99,3.2
2007-02-14,2533.05,3.83,4.07,3.3
2007-02-15,2611.84,3.95,4.19,3.39
2007-02-16,2625.09,3.95,4.22,3.38
2007-02-26,2673.16,4.02,4.34,3.54
2007-02-27,2428.06,3.66,3.96,3.25
2007-02-28,2519.74,3.81,4.1,3.4
2007-03-01,2453.43,3.69,3.99,3.34
2007-03-02,2490.61,3.73,4.05,3.37
2007-03-05,2467.99,3.67,4.05,3.36
2007-03-06,2502.27,3.74,4.07,3.38
2007-03-07,2569.82,3.82,4.18,3.47
2007-03-08,2611.76,3.85,4.25,3.53
2007-03-09,2600.46,3.86,4.23,3.53
2007-03-12,2618.58,3.88,4.28,3.55
2007-03-13,2644.15,3.89,4.33,3.61
2007-03-14,2607.61,3.81,4.29,3.54
2007-03-15,2656.46,3.89,4.37,3.61
2007-03-16,2613.28,3.86,4.3,3.56
2007-03-19,2664.51,3.97,4.35,3.61
2007-03-20,2689.09,3.98,4.41,3.71
2007-03-21,2723.28,4.01,4.48,3.79
2007-03-22,2730.32,4.02,4.48,3.79
2007-03-23,2743.1,4.01,4.51,3.87
2007-03-26,2801.23,4.07,4.61,3.93
2007-03-27,2828.61,4.08,4.67,4.01
2007-03-28,2830.08,4.1,4.57,3.93
2007-03-29,2792.34,4.15,4.44,3.79
