日期,指数,等权静态市盈率,静态市盈率,静态市盈率中位数,等权滚动市盈率,滚动市盈率,滚动市盈率中位数
2007-01-15,2197.14,57.84,30.83,42.21,48.89,30.73,36.09
2007-01-16,2263.73,60.91,32.72,46.14,52.77,32.61,39.36
2007-01-17,2225.5,60.49,32.18,45.41,52.54,32.08,39.51
2007-01-18,2244.06,61.32,31.91,46.19,53.82,31.78,40.11
2007-01-19,2321.36,62.73,32.78,47.41,55.07,32.65,41.95
2007-01-22,2417.01,65.29,33.97,49.61,57.17,33.74,43.02
2007-01-23,2430.22,64.74,37.08,50.14,57.27,37.99,42.95
2007-01-24,2456.74,64.72,37.07,50.06,57.18,37.98,43.56
2007-01-25,2367.27,62.68,35.5,47.7,55.29,36.37,41.47
2007-01-26,2415.02,63.39,35.84,48.05,55.17,36.72,41.61
2007-01-29,2481.14,64.17,36.57,49.91,56.7,37.46,42.91
2007-01-30,2461.32,63.95,36.37,49.62,57.09,37.26,42.36
2007-01-31,2309.14,61.55,34.51,46.32,54.46,35.36,40.11
2007-02-01,2322.05,60.85,34.5,46.77,54.96,35.35,40.48
2007-02-02,2240.11,59.39,33.02,45.63,53.83,33.86,39.45
2007-02-05,2226.79,59.62,32.25,46.01,54.33,33.07,39.69
2007-02-06,2271.17,60.58,33.0,46.92,55.14,33.84,40.8
2007-02-07,2321.07,61.26,33.5,47.84,55.88,34.35,41.06
2007-02-08,2361.53,62.0,33.72,48.94,56.85,34.59,42.11
2007-02-09,2353.79,61.86,33.59,48.67,56.78,34.45,41.85
2007-02-12,2432.79,63.4,34.5,49.35,58.2,35.39,42.72
2007-02-13,2471.23,64.49,34.8,50.32,58.56,35.61,43.66
2007-02-14,2533.05,65.47,35.71,51.2,59.76,36.54,44.39
2007-02-15,2611.84,66.28,36.82,53.29,61.26,37.69,45.58
2007-02-16,2625.09,67.33,36.87,53.11,62.22,37.71,46.08
2007-02-26,2673.16,69.39,37.32,54.48,63.23,38.16,46.98
2007-02-27,2428.06,64.19,33.98,50.6,59.22,34.73,43.01
2007-02-28,2519.74,65.85,35.3,52.04,61.83,36.08,44.43
2007-03-01,2453.43,63.9,34.25,50.34,60.07,35.0,42.78
2007-03-02,2490.61,64.69,34.64,50.72,60.84,35.41,43.72
2007-03-05,2467.99,64.54,34.06,50.76,61.1,34.84,44.23
2007-03-06,2502.27,65.19,34.64,50.43,61.18,35.52,44.24
2007-03-07,2569.82,66.71,35.32,51.69,62.88,36.22,45.26
2007-03-08,2611.76,66.68,35.59,52.05,63.24,36.54,45.98
2007-03-09,2600.46,66.23,35.58,52.09,63.64,36.6,45.45
2007-03-12,2618.58,66.25,35.65,52.63,62.95,36.75,46.25
2007-03-13,2644.15,66.72,35.7,52.57,63.17,36.84,46.61
2007-03-14,2607.61,65.47,34.94,52.54,62.45,36.09,45.96
2007-03-15,2656.46,66.05,35.68,53.51,63.89,37.31,46.94
2007-03-16,2613.28,65.7,35.23,52.9,63.76,36.95,46.65
2007-03-19,2664.51,66.46,36.09,53.51,65.0,37.89,47.09
2007-03-20,2689.09,67.08,36.01,53.82,64.91,37.68,47.4
2007-03-21,2723.28,67.42,36.28,54.84,65.63,37.96,48.91
2007-03-22,2730.32,67.04,36.26,54.57,65.49,38.02,48.39
2007-03-23,2743.1,67.04,36.22,55.02,65.71,36.34,48.58
2007-03-26,2801.23,68.14,36.56,56.51,65.51,36.9,50.94
2007-03-27,2828.61,68.27,36.67,56.98,65.91,37.03,51.2
2007-03-28,2830.08,67.32,36.87,55.8,64.74,37.37,50.49
2007-03-29,2792.34,66.81,37.2,53.19,64.98,37.77,48.69
2007-03-30,2798.94,66.62,37.04,53.58,65.16,37.6,48.95
2007-04-02,2866.62,67.56,37.41,53.66,66.06,38.11,50.24
2007-04-03,2907.06,67.89,37.6,54.08,66.85,38.55,50.8
2007-04-04,2933.77,67.78,37.43,54.82,66.17,37.25,51.38
2007-04-05,2971.98,68.57,37.7,55.23,67.24,37.55,52.39
2007-04-06,3004.38,69.41,37.76,55.87,67.99,37.63,53.61
2007-04-09,3067.96,70.56,38.57,56.69,69.25,38.46,54.25
2007-04-10,3105.6,71.24,37.78,57.15,69.74,38.58,54.19
2007-04-11,3147.18,71.82,37.84,57.6,70.65,39.01,55.13
2007-04-12,3207.5,72.6,38.01,59.25,71.49,39.03,56.45
2007-04-13,3195.01,72.87,37.8,58.31,71.2,38.89,56.89
2007-04-16,3284.33,74.06,38.7,60.13,72.67,38.54,57.7
2007-04-17,3329.67,75.66,38.4,60.82,73.33,38.45,58.26
2007-04-18,3367.85,76.33,38.25,60.8,73.86,37.83,59.06
2007-04-19,3200.01,70.63,36.16,57.56,70.91,35.97,56.38
2007-04-20,3347.79,72.88,37.48,60.36,73.32,37.28,58.14
2007-04-23,3495.23,74.92,38.81,61.9,73.62,38.54,60.28
2007-04-24,3515.2,74.73,38.85,61.89,74.56,38.55,60.71
2007-04-25,3513.5,74.55,39.11,61.68,73.87,38.59,59.35
2007-04-26,3559.23,75.61,39.46,62.33,73.43,38.68,60.44
2007-04-27,3540.14,75.52,39.11,61.28,73.37,37.15,58.67
2007-04-30,3620.35,74.39,39.48,60.88,73.62,36.84,58.61
2007-05-08,3761.53,76.69,40.01,64.3,75.7,38.64,61.22
2007-05-09,3774.91,76.97,40.64,63.76,76.5,39.25,61.13
2007-05-10,3799.39,77.53,40.98,64.12,75.71,39.58,61.21
2007-05-11,3778.42,76.4,40.61,64.64,75.51,39.22,60.63
2007-05-14,3808.25,77.18,40.89,63.81,75.91,39.48,61.21
2007-05-15,3677.98,75.4,39.42,61.77,73.49,38.06,59.11
2007-05-16,3778.79,76.99,40.26,63.16,75.06,38.88,61.1
2007-05-17,3862.79,78.68,40.84,65.23,76.75,39.43,62.33
2007-05-18,3864.52,79.21,41.34,64.49,76.75,39.93,62.66
2007-05-21,3936.93,81.03,41.73,65.79,78.47,40.3,63.92
2007-05-22,3989.42,81.24,42.08,67.23,79.6,40.65,66.1
2007-05-23,4070.52,82.29,42.75,69.8,80.47,41.29,67.49
2007-05-24,4053.53,81.33,42.52,69.29,80.39,41.06,66.31
2007-05-25,4121.69,83.28,42.75,69.86,81.94,41.28,67.39
2007-05-28,4214.41,84.62,43.76,72.22,82.69,42.26,69.18
2007-05-29,4308.66,86.01,44.78,74.59,84.0,43.29,70.15
2007-05-30,4000.71,80.54,41.88,69.04,79.26,40.49,65.16
2007-05-31,3986.66,79.42,42.74,66.49,77.35,41.25,63.53
2007-06-01,3819.3,75.85,41.69,62.9,74.19,40.25,60.18
2007-06-04,3516.65,70.49,38.21,58.09,69.11,36.89,55.05
2007-06-05,3619.45,72.27,39.35,59.27,70.02,38.0,56.14
2007-06-06,3670.32,73.47,39.52,60.74,70.87,38.16,56.89
2007-06-07,3812.34,75.83,40.66,64.17,73.8,39.26,59.9
2007-06-08,3855.03,77.14,40.9,64.69,74.34,39.49,60.46
2007-06-11,3950.32,79.07,41.78,66.36,76.38,40.35,62.43
2007-06-12,4056.27,79.61,42.54,68.01,77.41,41.09,63.81
2007-06-13,4155.25,82.01,43.59,70.86,79.55,42.09,66.21
2007-06-14,4108.7,80.85,42.92,70.35,78.06,41.44,65.5
2007-06-15,4127.55,80.77,43.03,69.56,77.98,41.55,64.88
2007-06-18,4253.65,82.77,44.28,72.61,80.04,42.76,67.96
2007-06-19,4294.45,83.2,44.36,72.37,80.85,42.84,68.83
2007-06-20,4190.59,81.51,43.4,70.67,79.21,41.92,67.41
