日期,指数,等权静态市盈率,静态市盈率,静态市盈率中位数,等权滚动市盈率,滚动市盈率,滚动市盈率中位数
2005-01-05,831.43,32.48,20.69,27.02,29.52,14.93,18.97
2005-01-06,822.5,32.57,20.37,27.0,29.74,14.69,18.81
2005-01-07,823.62,32.59,20.5,27.1,29.81,14.79,18.73
2005-01-10,832.99,32.99,20.58,27.29,30.13,14.83,19.07
2005-01-11,837.86,33.13,20.69,27.25,30.26,14.91,19.26
2005-01-12,837.24,33.07,20.68,27.29,30.15,14.91,19.21
2005-01-13,834.22,32.95,20.57,27.05,30.08,14.82,19.07
2005-01-14,829.04,32.63,20.45,26.8,29.76,14.74,18.79
2005-01-17,811.55,31.81,19.9,25.68,28.94,14.34,18.34
2005-01-18,817.31,32.04,19.94,25.65,29.2,14.37,18.35
2005-01-19,810.99,31.66,19.84,25.47,28.88,14.3,17.94
2005-01-20,805.08,31.37,19.74,24.85,28.59,14.22,17.85
2005-01-21,831.85,32.21,20.44,25.66,29.25,14.73,18.81
2005-01-24,842.41,32.66,20.75,26.19,29.69,14.95,18.93
2005-01-25,841.64,32.68,20.81,26.2,29.65,15.0,18.8
2005-01-26,834.67,32.18,20.61,26.09,29.16,14.85,18.88
2005-01-27,821.71,31.59,20.41,25.6,28.58,14.71,18.53
2005-01-28,820.69,31.5,20.31,25.44,28.46,14.64,18.51
2005-01-31,813.75,30.87,20.05,25.07,27.8,14.54,18.41
2005-02-01,817.87,30.82,20.15,25.16,27.64,14.61,18.55
2005-02-02,860.5,32.58,21.23,26.46,29.29,15.39,19.3
2005-02-03,848.49,32.03,21.11,25.98,28.77,15.31,19.03
2005-02-04,872.88,32.43,21.46,25.7,29.44,15.7,19.72
2005-02-16,875.46,32.54,21.44,25.79,29.6,15.78,19.7
2005-02-17,870.09,32.71,21.25,25.58,29.85,15.62,19.63
2005-02-18,856.21,32.13,20.94,25.23,29.35,15.39,19.33
2005-02-21,874.02,32.71,21.41,25.72,29.83,15.73,19.78
2005-02-22,887.07,33.32,21.66,26.18,30.35,15.83,20.11
2005-02-23,877.91,33.07,21.47,26.17,30.19,15.69,19.87
2005-02-24,877.35,32.95,21.15,26.04,30.3,15.62,19.88
2005-02-25,878.5,32.93,21.17,26.23,30.25,15.62,19.7
2005-02-28,868.89,32.63,20.95,25.92,29.78,15.54,19.37
2005-03-01,866.26,32.03,20.69,25.32,29.62,15.48,19.26
2005-03-02,855.88,31.35,20.26,24.71,29.19,15.29,18.8
2005-03-03,861.69,31.4,20.27,24.88,29.38,15.36,18.96
2005-03-04,859.49,31.26,20.21,25.02,29.23,15.31,18.96
2005-03-07,863.7,31.39,20.31,24.78,29.46,15.4,19.14
2005-03-08,876.34,31.93,20.64,25.25,30.01,15.65,19.63
2005-03-09,869.4,31.78,20.52,25.17,29.9,15.56,19.56
2005-03-10,851.53,30.84,20.01,24.27,29.15,15.2,19.34
2005-03-11,853.9,31.0,19.97,24.39,29.37,15.18,19.25
2005-03-14,857.61,30.92,20.08,24.52,29.23,15.26,20.03
2005-03-15,840.96,30.36,18.84,24.41,28.79,14.75,19.51
2005-03-16,832.82,29.98,18.63,23.93,28.42,14.57,19.38
2005-03-17,826.68,29.64,18.53,23.88,28.16,14.49,19.26
2005-03-18,821.03,29.34,18.46,23.54,27.91,14.44,19.36
2005-03-21,823.13,29.15,18.54,23.37,27.76,14.51,19.0
2005-03-22,808.1,27.74,18.2,22.24,27.1,14.3,18.86
2005-03-23,801.98,27.52,18.07,22.28,26.87,14.19,18.88
2005-03-24,808.18,27.41,17.44,22.05,26.94,14.08,19.13
2005-03-25,806.43,27.06,17.42,21.94,26.82,14.1,19.17
2005-03-28,805.56,26.79,17.37,21.8,26.5,14.06,19.22
2005-03-29,802.74,24.91,13.82,21.31,26.14,13.23,19.1
2005-03-30,790.58,24.16,13.6,20.39,25.62,13.07,19.03
2005-03-31,795.67,23.92,13.58,20.14,24.95,13.18,19.13
2005-04-01,822.91,24.78,14.04,20.8,25.86,13.63,19.68
2005-04-04,808.59,24.26,13.82,20.49,25.05,13.4,19.04
2005-04-05,801.89,24.03,13.67,20.34,24.79,13.26,18.83
2005-04-06,816.88,24.38,13.95,20.72,25.14,13.54,19.36
2005-04-07,824.61,24.74,13.98,21.15,25.5,13.57,19.88
2005-04-08,838.06,22.68,14.21,21.03,23.68,13.79,19.88
2005-04-11,830.91,23.38,14.1,20.77,24.24,13.68,19.98
2005-04-12,818.47,22.85,13.88,20.36,23.69,13.46,19.74
2005-04-13,835.63,23.47,14.18,20.81,24.39,13.76,20.2
2005-04-14,826.01,23.08,14.09,20.62,23.99,13.67,19.84
2005-04-15,817.09,22.77,13.96,20.26,23.62,13.56,19.66
2005-04-18,806.39,22.06,13.62,19.81,22.45,13.31,19.48
2005-04-19,809.36,22.06,13.61,20.03,22.47,13.3,19.7
2005-04-20,798.52,22.24,13.54,19.68,22.36,13.16,18.83
2005-04-21,793.45,21.98,13.47,19.83,22.05,13.09,18.83
2005-04-22,794.82,21.93,13.51,19.77,22.01,13.14,18.92
2005-04-25,790.75,22.48,13.54,20.23,22.68,13.11,19.13
2005-04-26,792.3,23.15,13.31,19.57,23.36,13.36,19.85
2005-04-27,782.43,24.43,13.12,19.3,24.06,13.15,18.88
2005-04-28,793.88,25.04,13.3,19.97,24.78,13.33,19.12
2005-04-29,789.73,24.88,13.24,19.52,25.75,12.87,19.02
2005-05-09,775.32,25.63,13.32,19.21,25.38,12.73,19.88
2005-05-10,779.1,26.4,13.44,19.22,25.42,12.84,19.9
2005-05-11,771.59,27.19,13.3,18.97,25.16,12.71,19.8
2005-05-12,753.88,29.65,12.92,18.85,24.84,12.35,19.03
2005-05-13,757.3,29.71,12.95,19.1,25.13,12.37,19.18
2005-05-16,747.87,29.41,12.84,18.94,24.8,12.26,18.83
2005-05-17,750.71,29.64,12.74,18.79,25.02,12.17,18.99
2005-05-18,752.66,29.78,12.76,18.94,25.12,12.19,19.05
2005-05-19,754.79,29.99,12.77,19.05,25.14,12.19,19.29
2005-05-20,753.07,30.03,12.71,19.13,24.98,12.14,19.28
2005-05-23,737.74,29.49,12.39,18.76,24.52,11.83,19.15
2005-05-24,737.35,29.92,12.24,18.6,24.98,11.68,18.98
2005-05-25,737.54,29.72,12.18,18.78,24.92,11.62,18.95
2005-05-26,728.7,29.16,12.03,18.47,24.48,11.48,18.43
2005-05-27,724.52,28.81,12.01,18.13,24.25,11.46,18.03
2005-05-30,729.07,28.99,12.09,18.14,24.48,11.55,18.35
2005-05-31,731.0,28.79,12.13,18.17,24.25,11.59,18.41
2005-06-01,719.03,28.56,11.9,17.76,23.8,11.37,17.91
2005-06-02,701.37,28.02,11.61,17.07,23.35,11.09,17.34
2005-06-03,700.43,27.72,11.55,16.94,23.11,11.04,16.99
2005-06-06,717.21,28.03,11.79,17.15,23.49,11.26,17.19
