日期,指数,等权静态市盈率,静态市盈率,静态市盈率中位数,等权滚动市盈率,滚动市盈率,滚动市盈率中位数
2005-04-08,1003.45,33.19,15.68,21.17,30.39,14.98,20.65
2005-04-11,995.42,33.43,15.76,21.4,29.77,15.12,20.65
2005-04-12,978.7,32.45,15.21,20.85,29.03,14.75,20.3
2005-04-13,1000.9,32.99,15.59,21.45,29.53,15.12,20.78
2005-04-14,986.98,32.23,15.42,21.14,28.95,14.99,20.56
2005-04-15,974.08,31.11,15.22,20.85,28.68,14.79,20.52
2005-04-18,963.77,31.93,14.96,20.66,30.03,14.61,20.45
2005-04-19,965.89,32.38,15.0,20.87,30.54,14.58,20.75
2005-04-20,950.87,32.74,14.91,20.86,31.27,14.39,20.4
2005-04-21,943.98,32.02,14.82,20.76,31.43,14.3,20.28
2005-04-22,939.1,31.66,14.84,20.62,30.65,14.33,20.11
2005-04-25,930.07,31.39,14.73,20.43,30.59,14.15,19.73
2005-04-26,937.08,32.9,14.51,20.38,32.17,14.28,20.03
2005-04-27,926.6,32.96,14.34,20.15,32.25,14.09,19.97
2005-04-28,942.07,33.75,14.58,20.57,33.06,14.3,20.33
2005-04-29,932.4,33.66,14.48,20.36,31.53,13.99,20.27
2005-05-09,909.17,32.67,14.33,20.11,31.0,13.71,19.63
2005-05-10,913.08,32.8,14.43,20.3,31.06,13.81,20.17
2005-05-11,901.85,32.61,14.25,20.05,31.85,13.64,20.11
2005-05-12,885.82,32.38,13.93,19.67,31.52,13.32,19.76
2005-05-13,887.54,32.75,13.94,19.75,31.86,13.33,19.84
2005-05-16,875.27,32.36,13.76,19.69,31.51,13.16,19.56
2005-05-17,881.46,32.7,13.76,19.62,31.86,13.15,19.74
2005-05-18,883.2,33.02,13.76,19.8,32.19,13.15,19.7
2005-05-19,884.17,33.0,13.76,19.85,32.13,13.15,19.8
2005-05-20,882.76,32.76,13.73,19.82,31.86,13.12,19.88
2005-05-23,863.34,31.78,13.39,19.32,30.87,12.79,19.66
2005-05-24,868.46,32.44,13.36,19.46,31.49,12.75,19.67
2005-05-25,868.45,32.5,13.32,19.46,31.56,12.72,19.62
2005-05-26,857.33,32.13,13.15,19.0,31.17,12.56,19.11
2005-05-27,849.51,31.95,13.06,19.0,30.98,12.47,18.77
2005-05-30,855.61,32.35,13.16,18.99,31.37,12.57,18.93
2005-05-31,855.95,32.25,13.17,19.14,31.23,12.58,19.01
2005-06-01,837.53,31.54,12.88,18.73,30.51,12.3,18.59
2005-06-02,818.38,31.16,12.59,18.3,30.09,12.02,18.11
2005-06-03,818.03,30.96,12.55,18.02,29.89,11.98,18.27
2005-06-06,839.0,31.47,12.84,18.44,30.43,12.26,18.48
2005-06-07,837.28,31.57,12.77,18.37,30.48,12.19,18.53
2005-06-08,905.77,34.05,13.84,19.81,32.88,13.22,20.07
2005-06-09,912.6,34.56,14.03,19.76,33.29,13.39,20.1
2005-06-10,894.56,33.8,13.71,19.39,32.56,13.09,19.78
2005-06-13,892.96,33.86,13.68,19.41,32.61,13.06,19.69
2005-06-14,883.54,33.22,13.56,19.32,32.06,12.94,19.47
2005-06-15,866.83,32.28,13.3,18.97,31.17,12.71,19.08
2005-06-16,879.24,32.56,13.47,19.11,31.4,12.86,19.26
2005-06-17,880.35,32.54,13.45,19.02,31.29,12.85,19.22
2005-06-20,906.26,33.51,13.84,19.97,32.2,13.22,20.05
2005-06-21,896.17,33.06,13.63,19.75,31.83,13.03,19.64
