序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
1,005825,申万菱信智能驱动股票A,2026-07-22,9.0684,9.5108,-2.39,-9.88,-8.62,45.65,61.0,204.78,282.55,242.9,84.84,957.64,205.8173,0.15%
2,015159,申万菱信智能驱动股票C,2026-07-22,8.8605,9.317,-2.39,-9.89,-8.65,45.51,60.69,203.58,279.48,238.78,84.43,171.63,204.6206,0.00%
3,006502,财通集成电路产业股票A,2026-07-22,6.6734,6.6734,-5.3,-18.86,-35.56,14.82,57.09,193.66,325.11,321.33,68.7,567.34,192.1548,0.15%
4,014736,创金合信专精特新股票发起A,2026-07-22,3.4887,3.4887,-0.46,-6.22,-0.5,56.94,69.77,191.48,313.06,216.06,101.39,248.87,187.6329,0.15%
5,006503,财通集成电路产业股票C,2026-07-22,6.2784,6.2784,-5.3,-18.87,-35.6,14.59,56.47,191.34,318.42,311.37,67.96,527.84,189.8615,0.00%
6,014737,创金合信专精特新股票发起C,2026-07-22,3.4115,3.4115,-0.46,-6.23,-0.53,56.75,69.35,190.02,308.95,211.35,100.84,241.15,186.1997,0.00%
7,006265,红土创新新科技股票A,2026-07-22,9.0058,9.0558,-4.55,-12.67,-24.73,7.76,59.59,188.87,303.43,226.63,74.7,814.28,187.5323,0.15%
8,010391,易方达战略新兴产业股票A,2026-07-22,2.7539,2.8939,-3.71,-8.03,-11.72,27.64,63.38,183.81,310.91,290.93,71.24,194.17,183.4567,0.15%
9,010392,易方达战略新兴产业股票C,2026-07-22,2.6892,2.8292,-3.71,-8.04,-11.75,27.51,63.06,182.65,307.54,286.15,70.86,187.68,182.3178,0.00%
10,005628,汇安趋势动力股票A,2026-07-22,2.7938,2.7938,-1.57,-6.96,-4.24,54.88,65.05,173.05,153.91,123.72,105.82,179.38,170.3241,0.15%
11,005629,汇安趋势动力股票C,2026-07-22,2.6738,2.6738,-1.58,-6.97,-4.28,54.68,64.64,171.67,151.39,120.39,105.25,167.38,168.9669,0.00%
12,002289,华商改革创新股票A,2026-07-22,6.0556,6.0556,-0.78,-2.78,9.32,62.06,67.0,167.07,237.17,200.76,101.18,505.56,166.2621,0.15%
