月份,当月,当月同比增长,累计
2026年06月份,104.1,4.1,101.5
2026年05月份,103.9,3.9,101.0
2026年04月份,102.8,2.8,100.2
2026年03月份,100.5,0.5,99.4
2026年02月份,99.1,-0.9,98.8
2026年01月份,98.6,-1.4,98.6
2025年12月份,98.1,-1.9,97.4
2025年11月份,97.8,-2.2,97.3
2025年10月份,97.9,-2.1,97.3
2025年09月份,97.7,-2.3,97.2
2025年08月份,97.1,-2.9,97.1
2025年07月份,96.4,-3.6,97.1
2025年06月份,96.4,-3.6,97.2
2025年05月份,96.7,-3.3,97.4
2025年04月份,97.3,-2.7,97.6
2025年03月份,97.5,-2.5,97.7
2025年02月份,97.8,-2.2,97.8
2025年01月份,97.7,-2.3,97.7
2024年12月份,97.7,-2.3,97.8
2024年11月份,97.5,-2.5,97.9
2024年10月份,97.1,-2.9,97.8931
2024年09月份,97.2,-2.8,98.0
2024年08月份,98.2,-1.8,98.1
2024年07月份,99.2,-0.8,98.0
2024年06月份,99.2,-0.8,97.9
2024年05月份,98.6,-1.4,97.6
2024年04月份,97.5,-2.5,97.3
2024年03月份,97.2,-2.8,97.3
2024年02月份,97.3,-2.7,97.4
2024年01月份,97.5,-2.5,97.5
2023年12月份,97.3,-2.7,97.0
2023年11月份,97.0,-3.0,96.9
2023年10月份,97.4,-2.6,96.9
2023年09月份,97.5,-2.5,96.9
2023年08月份,97.0,-3.0,96.8
2023年07月份,95.6,-4.4,96.8
2023年06月份,94.6,-5.4,96.9
2023年05月份,95.4,-4.6,97.4
2023年04月份,96.4,-3.6,97.9
2023年03月份,97.5,-2.5,98.4
2023年02月份,98.6,-1.4,98.9
2023年01月份,99.2,-0.8,99.2
2022年12月份,99.3,-0.7,104.1
2022年11月份,98.7,-1.3,104.6
2022年10月份,98.7,-1.3,105.2
2022年09月份,100.9,0.9,105.9397
2022年08月份,102.3,2.3,106.6
2022年07月份,104.2,4.2,107.2
2022年06月份,106.1,6.1,107.7
2022年05月份,106.4,6.4,108.1
2022年04月份,108.0,8.0,108.5
2022年03月份,108.3,8.3,108.7
