日期,融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
2010-03-31,5866316,5824813,3100,2900,24142,5848955
2010-04-01,1054024,6842114,0,2200,17325,6859439
2010-04-02,207516,6762781,0,1500,11929,6774710
2010-04-06,3329461,10091243,0,1400,10267,10101510
2010-04-07,15141395,25086826,1400,2800,38418,25125244
2010-04-08,5147142,30233781,0,1400,10110,30243891
2010-04-09,22077191,50663640,0,1400,10197,50673837
2010-04-12,40376602,89060984,5000,1400,10092,89071076
2010-04-13,17444196,92169145,3900,5200,211445,92380590
2010-04-14,7964900,89480507,0,5100,212231,89692738
2010-04-15,20916787,103099287,1100,6200,271214,103370501
2010-04-16,25841176,121064474,19300,24500,1198858,122263332
2010-04-19,8395193,112783831,1500,22000,1031561,113815392
2010-04-20,5706716,116673356,525900,33400,1638860,118312216
2010-04-21,14384413,127565065,97300,110300,2513143,130078208
2010-04-22,32603174,157219058,192400,135400,2932237,160151295
2010-04-23,17574818,152902064,15700,137600,2830321,155732385
2010-04-26,35141973,182090321,193800,278900,11042183,193132504
2010-04-27,29621581,202494937,76000,142500,2758191,205253128
2010-04-28,31144701,223249365,2100,136600,2709735,225959100
2010-04-29,27561491,233030157,12363,137763,2847328,235877485
2010-04-30,27804556,235526412,20400,130863,2551528,238077940
2010-05-04,21944030,242846863,116400,200763,3519010,246365873
2010-05-05,50597915,277495916,101100,286963,5144755,282640671
2010-05-06,55666699,314003383,15400,183263,3286323,317289706
2010-05-07,48359014,309938569,59300,204363,4275122,314213691
2010-05-10,36414703,327370089,181436,310636,6273327,333643416
2010-05-11,47067392,350667983,144200,302868,6053063,356721046
2010-05-12,43090277,376113669,246200,357000,6718753,382832422
2010-05-13,43516642,393357604,156800,420400,8409102,401766706
2010-05-14,43883229,415983876,296106,391106,6807124,422791000
2010-05-17,74027562,473201524,24200,304500,4442929,477644453
2010-05-18,32532723,467622771,135000,291000,5137036,472759807
2010-05-19,28129781,475810742,224067,374900,5307357,481118099
2010-05-20,32023540,486806982,727990,768093,9010047,495817029
2010-05-21,51052980,503728469,346500,389690,8942658,512671127
2010-05-24,76158631,534671504,1226200,1559490,14057930,548729434
2010-05-25,56337279,562759014,146900,485200,10017758,572776772
2010-05-26,17672866,565966886,48300,474000,9060668,575027554
2010-05-27,69689203,604281887,26200,310600,5436101,609717988
2010-05-28,56487576,633696229,45000,239300,4162822,637859051
2010-05-31,37471239,629837529,1810900,1974600,10343585,640181114
2010-06-01,41486233,639998626,435931,2343493,12838683,652837309
2010-06-02,27207650,653397284,44600,2342631,12525827,665923111
2010-06-03,38752924,675126222,147786,2434617,14194808,689321030
2010-06-04,31729497,680721701,119400,2472131,14822564,695544265
2010-06-07,28140634,685693950,98200,281931,6756505,692450455
2010-06-08,34230923,697311113,87500,241031,4737840,702048953
2010-06-09,126771313,785253681,281700,409431,9413470,794667151
2010-06-10,41796850,793255677,105400,347231,7456056,800711733
2010-06-11,44972146,782619926,56218,334618,7216554,789836480
2010-06-17,35258695,802191743,41900,334518,6931429,809123172
2010-06-18,46482526,819295645,63541,298251,5861101,825156746
2010-06-21,99484877,859456754,204100,414051,9530834,868987588
2010-06-22,42295789,867189284,29900,413651,10065984,877255268
2010-06-23,47607058,842719148,44600,364651,8465580,851184728
2010-06-24,47947796,866091036,55200,346051,8977774,875068810
2010-06-25,30535042,877045659,139803,361467,9449157,886494816
2010-06-28,52375764,907046989,115300,393079,8937135,915984124
2010-06-29,56320628,901933545,153911,365444,8772089,910705634
2010-06-30,35114468,908521076,149700,327344,8247937,916769013
2010-07-01,42612154,928736463,123100,435844,9185768,937922231
2010-07-02,55619277,946500624,123700,435344,9352154,955852778
2010-07-05,118587870,1035344028,104096,428744,9394483,1044738511
2010-07-06,59076920,1057442951,116200,444633,9638251,1067081202
2010-07-07,44925331,1064383786,116400,466733,9798533,1074182319
2010-07-08,65542507,1102548838,126900,493933,10084050,1112632888
2010-07-09,157020933,1170639291,141000,561433,11009953,1181649244
2010-07-12,122496033,1222983113,51100,583333,11397184,1234380297
2010-07-13,122088757,1311949508,92400,632033,11843759,1323793267
2010-07-14,80227880,1263477734,156700,646733,12064921,1275542655
2010-07-15,60785184,1287501800,34500,584433,11102706,1298604506
2010-07-16,47955270,1319305043,63100,578433,11100827,1330405870
2010-07-19,71278412,1303905018,88900,611033,11856372,1315761390
2010-07-20,212954187,1440850708,123700,612483,12001535,1452852243
2010-07-21,100091861,1472317314,35000,508033,10765589,1483082903
2010-07-22,89420614,1498641789,21800,516133,10950510,1509592299
2010-07-23,149445421,1539431335,84000,540743,11236586,1550667921
2010-07-26,71587341,1551684452,194500,662543,12879111,1564563563
2010-07-27,79519953,1580807913,42300,657933,12761026,1593568939
2010-07-28,108644824,1583742413,110851,585884,12138814,1595881227
2010-07-29,98484393,1531824312,97800,566584,12045927,1543870239
2010-07-30,92133368,1552855454,27800,501984,11038366,1563893820
2010-08-02,174443309,1640972044,48800,473984,10476961,1651449005
2010-08-03,129466269,1664552954,89600,512284,10911462,1675464416
2010-08-04,126248395,1709199891,72900,336784,8847500,1718047391
2010-08-05,167459563,1775576845,22700,287233,8153166,1783730011
2010-08-06,111988470,1802240599,57000,305433,8124270,1810364869
2010-08-09,125992494,1841103737,121100,393533,9550619,1850654356
2010-08-10,147571316,1869121672,100400,398133,8994919,1878116591
2010-08-11,94087853,1903636176,31900,343633,8956495,1912592671
2010-08-12,97853482,1917657100,111600,389033,9417267,1927074367
2010-08-13,104210434,1946004866,52900,346333,9002846,1955007712
2010-08-16,163870333,2011265809,68800,373733,9432818,2020698627
2010-08-17,137843946,2052174441,43700,309233,8541510,2060715951
2010-08-18,136209711,2085438731,162900,335533,9108477,2094547208
2010-08-19,204734599,2111575425,133500,386833,10610725,2122186150
2010-08-20,140901472,2116441794,81260,267833,7995830,2124437624
2010-08-23,113225964,2141737847,116500,341633,8364909,2150102756
2010-08-24,143827323,2213911577,105200,383389,9111951,2223023528
2010-08-25,98774816,2190791657,169156,458789,9046741,2199838398
2010-08-26,76108498,2194536639,155600,572045,9607119,2204143758
2010-08-27,88446491,2220473978,23800,523445,9352048,2229826026
2010-08-30,177968857,2285460219,71300,305845,8624182,2294084401
2010-08-31,154108208,2307041382,255200,521045,10113191,2317154573
2010-09-01,165106740,2322415396,110300,469945,8972215,2331387611
2010-09-02,198711616,2367547449,95300,425345,7587947,2375135396
2010-09-03,143306467,2347176762,55200,436544,6786496,2353963258
2010-09-06,184925685,2387662569,80100,468544,9436998,2397099567
2010-09-07,134071867,2414136562,115100,489245,8658064,2422794626
2010-09-08,213749417,2493160533,60900,349545,6860345,2500020878
2010-09-09,228372953,2568993058,63600,228045,5937879,2574930937
2010-09-10,103135866,2568640986,96100,278145,6690296,2575331282
2010-09-13,192569363,2621304462,9700,257645,6631071,2627935533
2010-09-14,122089778,2618194471,32200,201445,5944824,2624139295
2010-09-15,128825123,2614204191,17600,196745,5674825,2619879016
2010-09-16,129223608,2631809132,33100,204045,5954733,2637763865
2010-09-17,117420810,2668066420,30600,206545,5944573,2674010993
2010-09-20,127859806,2736068769,48100,233945,6277730,2742346499
2010-09-21,73780692,2724501690,15500,233745,6292451,2730794141
2010-09-27,162672915,2778508977,4500,214245,5760387,2784269364
2010-09-28,142460313,2795750305,1200,206845,5524300,2801274605
2010-09-29,163401189,2821582317,26200,182345,4995213,2826577530
2010-09-30,230489640,2846908595,50300,187545,5757722,2852666317
2010-10-08,352236845,2879844623,116900,251233,8043235,2887887858
2010-10-11,540431173,2854342169,234200,397333,11346296,2865688465
2010-10-12,466185821,2911633870,123100,465533,12313951,2923947821
2010-10-13,511670532,2945491873,387000,739533,15999257,2961491130
2010-10-14,643408502,3012610812,645300,1183133,22358972,3034969784
2010-10-15,763331295,3074262298,669000,1124694,20101316,3094363614
2010-10-18,777043254,3152329327,285274,940407,17962007,3170291334
2010-10-19,556393938,3288583583,203621,928137,19002447,3307586030
2010-10-20,748459214,3449163925,194000,933337,21142887,3470306812
2010-10-21,449387902,3596853448,91500,677432,18477168,3615330616
2010-10-22,479643761,3755121466,41300,475332,15181865,3770303331
2010-10-25,738284867,3936580107,88900,486332,15947408,3952527515
2010-10-26,659869062,4071030302,311600,642432,16896360,4087926662
2010-10-27,614699304,4269896802,427230,563562,13273825,4283170627
2010-10-28,447080074,4324880974,307300,558536,11504878,4336385852
2010-10-29,459821357,4296990516,245900,399600,8471305,4305461821
2010-11-01,498627782,4341749551,200210,491400,10079811,4351829362
2010-11-02,771255747,4470409233,498653,393200,8514685,4478923918
2010-11-03,644200987,4579337355,328300,540018,10323308,4589660663
2010-11-04,616399880,4687431943,370710,608489,11538012,4698969955
2010-11-05,845292430,4878634897,147200,610189,12221523,4890856420
2010-11-08,747835334,5205338554,321475,690318,12687718,5218026272
2010-11-09,673362671,5427122250,238736,496500,8898349,5436020599
2010-11-10,742219805,5669380056,146123,376923,9812493,5679192549
2010-11-11,808783051,5772737492,225200,393223,8561789,5781299281
2010-11-12,697482878,5535208139,586997,422600,6708001,5541916140
2010-11-15,640509031,5777852641,191576,346400,5068891,5782921532
2010-11-16,502106601,5759550131,279700,188608,2722873,5762273004
2010-11-17,492329349,5816759463,387448,340200,4704616,5821464079
2010-11-18,358203003,5825398138,254548,272732,3358346,5828756484
2010-11-19,307385398,5603612499,358538,453648,5957617,5609570116
2010-11-23,287201446,5739500620,229000,514748,7526229,5747026849
2010-11-24,435812235,5822662043,97800,417648,5899263,5828561306
2010-11-25,554239093,5970633357,191600,533304,8944840,5979578197
2010-11-26,329668655,5903402929,440380,514357,7255734,5910658663
2010-11-29,293264104,5929259556,1604077,1809826,12689598,5941949154
2010-11-30,372617460,5936566231,757715,1820641,13391922,5949958153
2010-12-01,263690928,5937744337,544289,1900828,13522674,5951267011
2010-12-02,308030176,5997821790,517948,1913976,14683623,6012505413
2010-12-03,329387031,6090572316,317400,1749408,13480634,6104052950
2010-12-06,382055879,6164097438,430100,464227,7827321,6171924759
2010-12-07,452005783,6265658521,708000,391987,6328242,6271986763
2010-12-08,397789735,6287597522,452850,394437,4904499,6292502021
2010-12-09,590322354,6527614801,648581,621644,6716150,6534330951
2010-12-10,385958637,6644591506,604287,409938,5320758,6649912264
2010-12-13,1038828767,7209404871,1088500,841438,11021133,7220426004
2010-12-14,598845377,7373777616,1185359,1274597,12452885,7386230501
2010-12-15,542387127,7462794030,646067,539843,7096652,7469890682
2010-12-16,448723342,7542711921,621900,506199,6987252,7549699173
2010-12-17,245814175,7493201511,436200,307505,3888480,7497089991
2010-12-20,396781734,7435701311,1300196,872930,9139721,7444841032
2010-12-21,622556317,7564667757,757944,550844,7898275,7572566032
2010-12-22,569147197,7776178311,627562,384706,4995923,7781174234
2010-12-23,375027731,7817500749,725400,659106,8295867,7825796616
2010-12-24,392595142,7897318010,430600,432130,5257608,7902575618
2010-12-27,568941962,7980334051,1192141,642745,7669058,7988003109
2010-12-28,405320013,8010109091,674382,269648,5729010,8015838101
2010-12-29,351203051,8146359995,353640,271488,5575964,8151935959
2010-12-30,373192568,8220105721,913880,370068,6870974,8226976695
2010-12-31,601063229,8427486678,364366,196184,4103136,8431589814
2011-01-04,727620536,8516136811,564533,437889,6276423,8522413234
2011-01-05,631058464,8596471915,274600,292089,3737827,8600209742
2011-01-06,509404270,8727223150,377620,326823,4413921,8731637071
2011-01-07,626845747,8690038014,1202003,690326,9286568,8699324582
2011-01-10,560718946,8758781466,546062,550461,6997014,8765778480
2011-01-11,355611110,8667104852,708474,897535,10944904,8678049756
2011-01-12,401466452,8710801634,571040,854548,10147082,8720948716
2011-01-13,367484313,8754029313,249101,781358,11325427,8765354740
2011-01-14,379638726,8769493796,423910,702858,6913532,8776407328
2011-01-17,443218144,8821400941,840392,809973,7448751,8828849692
2011-01-18,405004924,8981757570,515500,588226,5909762,8987667332
2011-01-19,462920729,9087977825,532300,555611,7280845,9095258670
2011-01-20,497827964,9086647897,591600,456911,6614513,9093262410
2011-01-21,540497532,9102872273,1357900,554580,7299859,9110172132
2011-01-24,509692127,9177837418,1250571,896102,9228124,9187065542
2011-01-25,346162375,9220062356,361280,689771,9333398,9229395754
2011-01-26,389519420,9349795135,544400,808236,9365923,9359161058
2011-01-27,695694010,9429095585,1377700,1315956,12945773,9442041358
2011-01-28,447644390,9469502833,515000,1277756,12840273,9482343106
2011-01-31,632364871,9583910868,989600,1528405,15715553,9599626421
2011-02-01,392394929,9402454012,673100,961205,12960401,9415414413
2011-02-09,529461387,9589509907,858828,999913,12714493,9602224400
2011-02-10,491495815,9740914093,430809,1092573,13778369,9754692462
2011-02-11,512505121,9771176484,183570,863773,10218163,9781394647
2011-02-14,915382728,9715701377,895000,1398773,17152769,9732854146
2011-02-15,860216663,9596234682,730800,1274273,14779112,9611013794
2011-02-16,847457177,9792654830,377000,1199053,13686326,9806341156
2011-02-17,955054160,10032421759,586242,1174063,12102813,10044524572
2011-02-18,647287468,10157728964,517100,1139340,11894180,10169623144
2011-02-21,767670898,10315577822,647958,1020144,11621281,10327199103
2011-02-22,1001895274,10525272993,1988907,1431301,15915330,10541188323
2011-02-23,647426365,10619583455,1245891,972043,14897624,10634481079
2011-02-24,794570977,10796619793,1806055,1308597,17262748,10813882541
2011-02-25,692267202,10858082464,1283484,932791,16338957,10874421421
2011-02-28,675667868,10886936320,1615160,1156621,17100603,10904036923
2011-03-01,769595277,10924143093,1456341,1498840,22389292,10946532385
2011-03-02,808798087,11009415972,1752220,1761509,23705832,11033121804
2011-03-03,1019788440,11046130055,4624908,4413327,57169330,11103299385
2011-03-04,747928982,11147027377,2749980,3154893,45941862,11192969239
2011-03-07,1337038695,11378560775,3075421,4776797,77652784,11456213559
2011-03-08,904709041,11521780981,1756246,4265229,71401857,11593182838
2011-03-09,801429978,11615540852,2824714,4563041,75334080,11690874932
2011-03-10,849626386,11749387072,1989364,3864903,55875733,11805262805
2011-03-11,745190335,11973484849,1026502,3072279,41932876,12015417725
2011-03-14,557513061,12144451877,462300,2278770,35723632,12180175509
2011-03-15,911628602,12234504116,2658107,3187169,53807370,12288311486
2011-03-16,892411036,12214737047,2859423,4176678,60619177,12275356224
2011-03-17,761298186,12128220239,2079084,3190921,55122334,12183342573
2011-03-18,573637847,12177302266,644890,2822995,52352121,12229654387
2011-03-21,663574647,12286615929,1095180,3119346,53508592,12340124521
2011-03-22,611897421,12389914708,2623142,4029430,66353212,12456267920
2011-03-23,784408790,12473138104,1280206,3867230,62197982,12535336086
2011-03-24,652630190,12569889147,1179932,3981062,68362920,12638252067
2011-03-25,872828184,12645793482,2152467,3599329,58416102,12704209584
2011-03-28,1099208957,12747132404,2724000,3649954,49224109,12796356513
2011-03-29,1392433791,13000571572,6399488,7308035,84735680,13085307252
2011-03-30,971615362,13114336973,3531533,5501314,68312126,13182649099
2011-03-31,957692779,13389814034,4025546,5412348,62935430,13452749464
2011-04-01,926784061,13397963410,4045524,5728654,63330615,13461294025
2011-04-06,1453562222,13311929130,5630068,9962181,116722118,13428651248
2011-04-07,1083025717,13456816257,2837584,9643279,114503907,13571320164
2011-04-08,987464836,13663436042,1459031,7076922,90126072,13753562114
2011-04-11,1624611942,14042989427,2178560,7216389,91166318,14134155745
2011-04-12,1382760835,14507155762,5225243,8994317,89657042,14596812804
2011-04-13,1279809135,14822054819,1932786,5703039,79253489,14901308308
2011-04-14,1055293369,14893886634,2627953,6117783,77139044,14971025678
2011-04-15,907993468,14964312035,4872515,7011864,79992980,15044305015
2011-04-18,1078745597,15115565632,3249509,7706571,81851545,15197417177
2011-04-19,833387870,15113883362,2117258,6761054,71154456,15185037818
2011-04-20,974222845,15422476966,3303600,5668500,66104465,15488581431
2011-04-21,891476736,15678896887,3852804,6904789,74874951,15753771838
2011-04-22,793020974,15747595484,2122066,6733335,73647335,15821242819
2011-04-25,831491973,15674614639,6829894,10324778,88110797,15762725436
2011-04-26,607506192,15631632543,2767526,9058682,81107842,15712740385
2011-04-27,700835759,15650190523,2820572,6616761,70066258,15720256781
2011-04-28,816293853,15496163903,3717515,6300953,69131777,15565295680
2011-04-29,660353548,15489352748,5409610,7108920,77939727,15567292475
