日期,开盘,最高,最低,收盘,成交量
2022-01-17,0.299,0.3558,0.2965,0.3012,99839
2022-01-18,0.307,0.3489,0.295,0.3322,271641
2022-01-19,0.3398,0.3493,0.3261,0.3382,49839
2022-01-20,0.3456,0.3962,0.3426,0.3819,446840
2022-01-21,0.3688,0.3818,0.3591,0.3655,383055
2022-01-24,0.3563,0.365,0.3344,0.3546,1179271
2022-01-25,0.35,0.35,0.2907,0.2935,2777110
2022-01-26,0.3064,0.3171,0.2828,0.3087,2427462
2022-01-27,0.3017,0.3017,0.2656,0.2708,5296770
2022-01-28,0.2829,0.2868,0.1954,0.2033,10544841
2022-02-07,0.2328,0.2688,0.2285,0.2517,10833780
2022-02-08,0.2478,0.2598,0.1974,0.2543,9666716
2022-02-09,0.26,0.2819,0.246,0.2734,3443562
2022-02-10,0.273,0.2822,0.2626,0.2792,7567932
2022-02-11,0.2675,0.307,0.2655,0.279,5348655
2022-02-14,0.2748,0.2748,0.2309,0.2371,5530853
2022-02-15,0.2441,0.2612,0.236,0.2506,4051802
2022-02-16,0.2692,0.28,0.2637,0.2655,1413560
2022-02-17,0.2728,0.2895,0.2672,0.2715,2536488
2022-02-18,0.2593,0.2966,0.255,0.2966,3282535
2022-02-21,0.2908,0.2908,0.2604,0.2785,3106612
2022-02-22,0.2603,0.2603,0.2146,0.2294,1181425
2022-02-23,0.2412,0.2502,0.2229,0.2502,2658933
