date,available_date,m1_yoy_pct,ma6,ma12,signal_score,signal_text,effective_date
2008-01-31,2008-02-20,20.54,,,,样本不足,2008-02-21
2008-02-29,2008-03-20,18.95,,,,样本不足,2008-03-21
2008-03-31,2008-04-20,17.97,,,,样本不足,2008-04-21
2008-04-30,2008-05-20,19.05,,,,样本不足,2008-05-21
2008-05-31,2008-06-20,17.93,,,,样本不足,2008-06-23
2008-06-30,2008-07-20,14.19,18.105,,,样本不足,2008-07-21
2008-07-31,2008-08-20,13.96,17.008333333333336,,,样本不足,2008-08-21
2008-08-31,2008-09-20,11.48,15.763333333333334,,,样本不足,2008-09-22
2008-09-30,2008-10-20,9.43,14.340000000000002,,,样本不足,2008-10-21
2008-10-31,2008-11-20,8.85,12.64,,,样本不足,2008-11-21
2008-11-30,2008-12-20,6.8,10.784999999999998,,,样本不足,2008-12-22
2008-12-31,2009-01-20,9.06,9.93,14.0175,-1.0,看空：M1同比下行,2009-01-21
2009-01-31,2009-02-20,6.68,8.716666666666667,12.862499999999999,-1.0,看空：M1同比下行,2009-02-23
2009-02-28,2009-03-20,10.87,8.615,12.189166666666665,-1.0,看空：M1同比下行,2009-03-23
2009-03-31,2009-04-20,17.04,9.883333333333333,12.111666666666665,-1.0,看空：M1同比下行,2009-04-21
2009-04-30,2009-05-20,17.48,11.321666666666667,11.980833333333335,-1.0,看空：M1同比下行,2009-05-21
2009-05-31,2009-06-20,18.69,13.303333333333333,12.044166666666667,1.0,看多：M1同比上行,2009-06-22
2009-06-30,2009-07-20,24.79,15.924999999999999,12.9275,1.0,看多：M1同比上行,2009-07-21
2009-07-31,2009-08-20,26.37,19.206666666666667,13.961666666666666,1.0,看多：M1同比上行,2009-08-21
2009-08-31,2009-09-20,27.72,22.015,15.315,1.0,看多：M1同比上行,2009-09-21
2009-09-30,2009-10-20,29.51,24.093333333333334,16.988333333333333,1.0,看多：M1同比上行,2009-10-21
2009-10-31,2009-11-20,32.03,26.518333333333334,18.92,1.0,看多：M1同比上行,2009-11-23
2009-11-30,2009-12-20,34.63,29.175,21.239166666666666,1.0,看多：M1同比上行,2009-12-21
2009-12-31,2010-01-20,32.35,30.435,23.179999999999996,1.0,看多：M1同比上行,2010-01-21
2010-01-31,2010-02-20,38.96,32.53333333333334,25.87,1.0,看多：M1同比上行,2010-02-22
2010-02-28,2010-03-20,34.99,33.745000000000005,27.88,1.0,看多：M1同比上行,2010-03-22
2010-03-31,2010-04-20,29.94,33.81666666666667,28.955000000000002,1.0,看多：M1同比上行,2010-04-21
2010-04-30,2010-05-20,31.25,33.68666666666667,30.102500000000003,1.0,看多：M1同比上行,2010-05-21
2010-05-31,2010-06-20,29.9,32.89833333333333,31.036666666666665,1.0,看多：M1同比上行,2010-06-21
2010-06-30,2010-07-20,24.6,31.60666666666667,31.020833333333332,1.0,看多：M1同比上行,2010-07-21
2010-07-31,2010-08-20,22.9,28.930000000000003,30.731666666666666,-1.0,看空：M1同比下行,2010-08-23
2010-08-31,2010-09-20,21.9,26.74833333333333,30.24666666666667,-1.0,看空：M1同比下行,2010-09-21
2010-09-30,2010-10-20,20.9,25.241666666666664,29.52916666666667,-1.0,看空：M1同比下行,2010-10-21
2010-10-31,2010-11-20,22.1,23.716666666666665,28.701666666666668,-1.0,看空：M1同比下行,2010-11-22
2010-11-30,2010-12-20,22.1,22.416666666666668,27.6575,-1.0,看空：M1同比下行,2010-12-21
2010-12-31,2011-01-20,21.2,21.849999999999998,26.728333333333328,-1.0,看空：M1同比下行,2011-01-21
2011-01-31,2011-02-20,13.6,20.3,24.615,-1.0,看空：M1同比下行,2011-02-21
2011-02-28,2011-03-20,14.5,19.066666666666666,22.9075,-1.0,看空：M1同比下行,2011-03-21
2011-03-31,2011-04-20,15.0,18.083333333333332,21.662499999999998,-1.0,看空：M1同比下行,2011-04-21
2011-04-30,2011-05-20,12.9,16.55,20.133333333333333,-1.0,看空：M1同比下行,2011-05-23
2011-05-31,2011-06-20,12.7,14.983333333333334,18.7,-1.0,看空：M1同比下行,2011-06-21
2011-06-30,2011-07-20,13.1,13.633333333333333,17.741666666666664,-1.0,看空：M1同比下行,2011-07-21
2011-07-31,2011-08-20,11.6,13.300000000000002,16.8,-1.0,看空：M1同比下行,2011-08-22
2011-08-31,2011-09-20,11.2,12.75,15.908333333333333,-1.0,看空：M1同比下行,2011-09-21
2011-09-30,2011-10-20,8.85,11.725,14.904166666666667,-1.0,看空：M1同比下行,2011-10-21
2011-10-31,2011-11-20,8.4,10.975,13.762500000000001,-1.0,看空：M1同比下行,2011-11-21
2011-11-30,2011-12-20,7.8,10.158333333333333,12.570833333333333,-1.0,看空：M1同比下行,2011-12-21
2011-12-31,2012-01-20,7.9,9.291666666666666,11.462499999999999,-1.0,看空：M1同比下行,2012-01-30
2012-01-31,2012-02-20,3.1,7.875,10.5875,-1.0,看空：M1同比下行,2012-02-21
2012-02-29,2012-03-20,4.3,6.724999999999999,9.737499999999999,-1.0,看空：M1同比下行,2012-03-21
2012-03-31,2012-04-20,4.4,5.983333333333334,8.854166666666666,-1.0,看空：M1同比下行,2012-04-23
2012-04-30,2012-05-20,3.1,5.1000000000000005,8.0375,-1.0,看空：M1同比下行,2012-05-21
2012-05-31,2012-06-20,3.5,4.383333333333334,7.270833333333333,-1.0,看空：M1同比下行,2012-06-21
2012-06-30,2012-07-20,4.7,3.85,6.570833333333333,-1.0,看空：M1同比下行,2012-07-23
2012-07-31,2012-08-20,4.6,4.1000000000000005,5.9875,-1.0,看空：M1同比下行,2012-08-21
2012-08-31,2012-09-20,4.5,4.133333333333334,5.429166666666666,-1.0,看空：M1同比下行,2012-09-21
2012-09-30,2012-10-20,7.3,4.616666666666666,5.3,-1.0,看空：M1同比下行,2012-10-22
2012-10-31,2012-11-20,6.1,5.116666666666666,5.108333333333333,1.0,看多：M1同比上行,2012-11-21
2012-11-30,2012-12-20,5.5,5.449999999999999,4.916666666666667,1.0,看多：M1同比上行,2012-12-21
2012-12-31,2013-01-20,6.5,5.75,4.8,1.0,看多：M1同比上行,2013-01-21
2013-01-31,2013-02-20,15.3,7.533333333333334,5.816666666666666,1.0,看多：M1同比上行,2013-02-21
2013-02-28,2013-03-20,9.5,8.366666666666667,6.25,1.0,看多：M1同比上行,2013-03-21
2013-03-31,2013-04-20,11.9,9.133333333333335,6.875,1.0,看多：M1同比上行,2013-04-22
2013-04-30,2013-05-20,11.9,10.1,7.608333333333334,1.0,看多：M1同比上行,2013-05-21
2013-05-31,2013-06-20,11.3,11.066666666666668,8.258333333333335,1.0,看多：M1同比上行,2013-06-21
2013-06-30,2013-07-20,9.1,11.5,8.625,1.0,看多：M1同比上行,2013-07-22
2013-07-31,2013-08-20,9.7,10.566666666666668,9.05,1.0,看多：M1同比上行,2013-08-21
2013-08-31,2013-09-20,9.9,10.633333333333335,9.5,1.0,看多：M1同比上行,2013-09-23
2013-09-30,2013-10-20,8.9,10.133333333333333,9.633333333333333,1.0,看多：M1同比上行,2013-10-21
2013-10-31,2013-11-20,8.9,9.633333333333333,9.866666666666667,-1.0,看空：M1同比下行,2013-11-21
2013-11-30,2013-12-20,9.4,9.316666666666668,10.191666666666666,-1.0,看空：M1同比下行,2013-12-23
2013-12-31,2014-01-20,9.3,9.35,10.425,-1.0,看空：M1同比下行,2014-01-21
2014-01-31,2014-02-20,1.2,7.933333333333334,9.25,-1.0,看空：M1同比下行,2014-02-21
2014-02-28,2014-03-20,6.9,7.433333333333334,9.033333333333333,-1.0,看空：M1同比下行,2014-03-21
2014-03-31,2014-04-20,5.4,6.8500000000000005,8.491666666666667,-1.0,看空：M1同比下行,2014-04-21
2014-04-30,2014-05-20,5.5,6.283333333333334,7.958333333333333,-1.0,看空：M1同比下行,2014-05-21
2014-05-31,2014-06-20,5.7,5.666666666666667,7.491666666666667,-1.0,看空：M1同比下行,2014-06-23
2014-06-30,2014-07-20,8.9,5.6000000000000005,7.4750000000000005,-1.0,看空：M1同比下行,2014-07-21
2014-07-31,2014-08-20,6.7,6.516666666666667,7.2250000000000005,-1.0,看空：M1同比下行,2014-08-21
2014-08-31,2014-09-20,5.7,6.316666666666667,6.875000000000001,-1.0,看空：M1同比下行,2014-09-22
2014-09-30,2014-10-20,4.8,6.216666666666668,6.533333333333334,-1.0,看空：M1同比下行,2014-10-21
2014-10-31,2014-11-20,3.2,5.833333333333333,6.058333333333334,-1.0,看空：M1同比下行,2014-11-21
2014-11-30,2014-12-20,3.2,5.416666666666667,5.541666666666667,-1.0,看空：M1同比下行,2014-12-22
2014-12-31,2015-01-20,3.2,4.466666666666668,5.033333333333334,-1.0,看空：M1同比下行,2015-01-21
2015-01-31,2015-02-20,10.6,5.116666666666666,5.816666666666666,-1.0,看空：M1同比下行,2015-02-25
2015-02-28,2015-03-20,5.6,5.1000000000000005,5.708333333333333,-1.0,看空：M1同比下行,2015-03-23
2015-03-31,2015-04-20,2.9,4.783333333333333,5.5,-1.0,看空：M1同比下行,2015-04-21
2015-04-30,2015-05-20,3.7,4.866666666666666,5.3500000000000005,-1.0,看空：M1同比下行,2015-05-21
2015-05-31,2015-06-20,4.7,5.116666666666667,5.266666666666667,-1.0,看空：M1同比下行,2015-06-23
2015-06-30,2015-07-20,4.3,5.3,4.883333333333334,1.0,看多：M1同比上行,2015-07-21
2015-07-31,2015-08-20,6.6,4.633333333333334,4.875,-1.0,看空：M1同比下行,2015-08-21
2015-08-31,2015-09-20,9.3,5.250000000000001,5.175,1.0,看多：M1同比上行,2015-09-21
2015-09-30,2015-10-20,11.4,6.666666666666667,5.7250000000000005,1.0,看多：M1同比上行,2015-10-21
2015-10-31,2015-11-20,14.0,8.383333333333333,6.625,1.0,看多：M1同比上行,2015-11-23
2015-11-30,2015-12-20,15.7,10.216666666666667,7.666666666666667,1.0,看多：M1同比上行,2015-12-21
2015-12-31,2016-01-20,15.2,12.033333333333333,8.666666666666666,1.0,看多：M1同比上行,2016-01-21
2016-01-31,2016-02-20,18.6,14.033333333333333,9.333333333333334,1.0,看多：M1同比上行,2016-02-22
2016-02-29,2016-03-20,17.4,15.383333333333335,10.316666666666668,1.0,看多：M1同比上行,2016-03-21
2016-03-31,2016-04-20,22.1,17.166666666666668,11.916666666666666,1.0,看多：M1同比上行,2016-04-21
2016-04-30,2016-05-20,22.9,18.650000000000002,13.516666666666667,1.0,看多：M1同比上行,2016-05-23
2016-05-31,2016-06-20,23.7,19.98333333333333,15.1,1.0,看多：M1同比上行,2016-06-21
2016-06-30,2016-07-20,24.6,21.549999999999997,16.791666666666668,1.0,看多：M1同比上行,2016-07-21
2016-07-31,2016-08-20,25.4,22.683333333333334,18.358333333333334,1.0,看多：M1同比上行,2016-08-22
2016-08-31,2016-09-20,25.3,24.0,19.691666666666666,1.0,看多：M1同比上行,2016-09-21
2016-09-30,2016-10-20,24.7,24.433333333333334,20.8,1.0,看多：M1同比上行,2016-10-21
2016-10-31,2016-11-20,23.9,24.599999999999998,21.625,1.0,看多：M1同比上行,2016-11-21
2016-11-30,2016-12-20,22.7,24.433333333333334,22.208333333333332,1.0,看多：M1同比上行,2016-12-21
2016-12-31,2017-01-20,21.4,23.899999999999995,22.724999999999998,1.0,看多：M1同比上行,2017-01-23
2017-01-31,2017-02-20,14.5,22.083333333333332,22.383333333333336,-1.0,看空：M1同比下行,2017-02-21
2017-02-28,2017-03-20,21.4,21.433333333333334,22.716666666666665,-1.0,看空：M1同比下行,2017-03-21
2017-03-31,2017-04-20,18.8,20.45,22.441666666666666,-1.0,看空：M1同比下行,2017-04-21
2017-04-30,2017-05-20,18.5,19.55,22.075,-1.0,看空：M1同比下行,2017-05-22
2017-05-31,2017-06-20,17.0,18.599999999999998,21.516666666666666,-1.0,看空：M1同比下行,2017-06-21
2017-06-30,2017-07-20,15.0,17.533333333333335,20.716666666666665,-1.0,看空：M1同比下行,2017-07-21
2017-07-31,2017-08-20,15.3,17.666666666666668,19.875,-1.0,看空：M1同比下行,2017-08-21
2017-08-31,2017-09-20,14.0,16.433333333333334,18.933333333333334,-1.0,看空：M1同比下行,2017-09-21
2017-09-30,2017-10-20,14.0,15.633333333333333,18.041666666666668,-1.0,看空：M1同比下行,2017-10-23
2017-10-31,2017-11-20,13.0,14.716666666666667,17.133333333333333,-1.0,看空：M1同比下行,2017-11-21
2017-11-30,2017-12-20,12.7,14.0,16.3,-1.0,看空：M1同比下行,2017-12-21
2017-12-31,2018-01-20,11.8,13.466666666666667,15.5,-1.0,看空：M1同比下行,2018-01-22
2018-01-31,2018-02-20,15.0,13.416666666666666,15.541666666666666,-1.0,看空：M1同比下行,2018-02-22
2018-02-28,2018-03-20,8.5,12.5,14.466666666666667,-1.0,看空：M1同比下行,2018-03-21
2018-03-31,2018-04-20,7.1,11.35,13.491666666666667,-1.0,看空：M1同比下行,2018-04-23
2018-04-30,2018-05-20,7.2,10.383333333333333,12.550000000000002,-1.0,看空：M1同比下行,2018-05-21
2018-05-31,2018-06-20,6.0,9.266666666666666,11.633333333333335,-1.0,看空：M1同比下行,2018-06-21
2018-06-30,2018-07-20,6.6,8.4,10.933333333333332,-1.0,看空：M1同比下行,2018-07-23
2018-07-31,2018-08-20,5.1,6.75,10.083333333333334,-1.0,看空：M1同比下行,2018-08-21
2018-08-31,2018-09-20,3.9,5.983333333333333,9.241666666666667,-1.0,看空：M1同比下行,2018-09-21
2018-09-30,2018-10-20,4.0,5.466666666666666,8.408333333333333,-1.0,看空：M1同比下行,2018-10-22
2018-10-31,2018-11-20,2.7,4.716666666666666,7.55,-1.0,看空：M1同比下行,2018-11-21
2018-11-30,2018-12-20,1.5,3.9666666666666663,6.616666666666666,-1.0,看空：M1同比下行,2018-12-21
2018-12-31,2019-01-20,1.5,3.1166666666666667,5.758333333333333,-1.0,看空：M1同比下行,2019-01-21
2019-01-31,2019-02-20,0.4,2.333333333333333,4.541666666666667,-1.0,看空：M1同比下行,2019-02-21
2019-02-28,2019-03-20,1.6,1.95,3.966666666666667,-1.0,看空：M1同比下行,2019-03-21
2019-03-31,2019-04-20,4.6,2.0500000000000003,3.758333333333333,-1.0,看空：M1同比下行,2019-04-22
2019-04-30,2019-05-20,2.9,2.0833333333333335,3.4000000000000004,-1.0,看空：M1同比下行,2019-05-21
2019-05-31,2019-06-20,3.4,2.4,3.1833333333333336,-1.0,看空：M1同比下行,2019-06-21
2019-06-30,2019-07-20,4.4,2.883333333333333,3.0,-1.0,看空：M1同比下行,2019-07-22
2019-07-31,2019-08-20,3.1,3.3333333333333335,2.8333333333333335,1.0,看多：M1同比上行,2019-08-21
2019-08-31,2019-09-20,3.4,3.633333333333333,2.7916666666666665,1.0,看多：M1同比上行,2019-09-23
2019-09-30,2019-10-20,3.4,3.4333333333333336,2.7416666666666667,1.0,看多：M1同比上行,2019-10-21
2019-10-31,2019-11-20,3.3,3.5,2.7916666666666665,1.0,看多：M1同比上行,2019-11-21
2019-11-30,2019-12-20,3.5,3.516666666666667,2.9583333333333335,1.0,看多：M1同比上行,2019-12-23
2019-12-31,2020-01-20,4.4,3.516666666666667,3.2000000000000006,1.0,看多：M1同比上行,2020-01-21
2020-01-31,2020-02-20,0.0,3.0,3.1666666666666665,-1.0,看空：M1同比下行,2020-02-21
2020-02-29,2020-03-20,4.8,3.233333333333333,3.4333333333333336,-1.0,看空：M1同比下行,2020-03-23
2020-03-31,2020-04-20,5.0,3.5,3.466666666666667,1.0,看多：M1同比上行,2020-04-21
2020-04-30,2020-05-20,5.5,3.8666666666666667,3.6833333333333336,1.0,看多：M1同比上行,2020-05-21
2020-05-31,2020-06-20,6.8,4.416666666666667,3.966666666666667,1.0,看多：M1同比上行,2020-06-22
2020-06-30,2020-07-20,6.5,4.766666666666667,4.141666666666667,1.0,看多：M1同比上行,2020-07-21
2020-07-31,2020-08-20,6.9,5.916666666666667,4.458333333333333,1.0,看多：M1同比上行,2020-08-21
2020-08-31,2020-09-20,8.0,6.45,4.841666666666666,1.0,看多：M1同比上行,2020-09-21
2020-09-30,2020-10-20,8.1,6.966666666666666,5.233333333333333,1.0,看多：M1同比上行,2020-10-21
2020-10-31,2020-11-20,9.1,7.566666666666666,5.716666666666666,1.0,看多：M1同比上行,2020-11-23
2020-11-30,2020-12-20,10.0,8.1,6.258333333333333,1.0,看多：M1同比上行,2020-12-21
2020-12-31,2021-01-20,8.6,8.450000000000001,6.608333333333333,1.0,看多：M1同比上行,2021-01-21
2021-01-31,2021-02-20,14.7,9.749999999999998,7.833333333333333,1.0,看多：M1同比上行,2021-02-22
2021-02-28,2021-03-20,7.4,9.65,8.049999999999999,1.0,看多：M1同比上行,2021-03-22
