date,available_date,m1_yoy_pct,ppi_available_date,ppi_yoy_pct,signal_available_date,m1_minus_ppi_pct_point,ma6,ma12,signal_score,signal_text,effective_date
2008-01-31,2008-02-20,20.54,2008-02-20,6.07,2008-02-20,14.469999999999999,,,,样本不足,2008-02-21
2008-02-29,2008-03-20,18.95,2008-03-20,6.62,2008-03-20,12.329999999999998,,,,样本不足,2008-03-21
2008-03-31,2008-04-20,17.97,2008-04-20,7.95,2008-04-20,10.02,,,,样本不足,2008-04-21
2008-04-30,2008-05-20,19.05,2008-05-20,8.12,2008-05-20,10.930000000000001,,,,样本不足,2008-05-21
2008-05-31,2008-06-20,17.93,2008-06-20,8.22,2008-06-20,9.709999999999999,,,,样本不足,2008-06-23
2008-06-30,2008-07-20,14.19,2008-07-20,8.84,2008-07-20,5.35,10.468333333333332,,,样本不足,2008-07-21
2008-07-31,2008-08-20,13.96,2008-08-20,10.03,2008-08-20,3.9300000000000015,8.711666666666666,,,样本不足,2008-08-21
2008-08-31,2008-09-20,11.48,2008-09-20,10.06,2008-09-20,1.42,6.8933333333333335,,,样本不足,2008-09-22
2008-09-30,2008-10-20,9.43,2008-10-20,9.13,2008-10-20,0.29999999999999893,5.273333333333333,,,样本不足,2008-10-21
2008-10-31,2008-11-20,8.85,2008-11-20,6.59,2008-11-20,2.26,3.828333333333333,,,样本不足,2008-11-21
2008-11-30,2008-12-20,6.8,2008-12-20,1.99,2008-12-20,4.81,3.0116666666666667,,,样本不足,2008-12-22
2008-12-31,2009-01-20,9.06,2009-01-20,-1.14,2009-01-20,10.200000000000001,3.8200000000000003,7.144166666666666,-1.0,看空：剪刀差下行,2009-01-21
2009-01-31,2009-02-20,6.68,2009-02-20,-3.35,2009-02-20,10.03,4.836666666666667,6.774166666666666,-1.0,看空：剪刀差下行,2009-02-23
2009-02-28,2009-03-20,10.87,2009-03-20,-4.47,2009-03-20,15.34,7.156666666666666,7.0249999999999995,1.0,看多：剪刀差上行,2009-03-23
2009-03-31,2009-04-20,17.04,2009-04-20,-5.99,2009-04-20,23.03,10.945,8.109166666666667,1.0,看多：剪刀差上行,2009-04-21
2009-04-30,2009-05-20,17.48,2009-05-20,-6.6,2009-05-20,24.08,14.581666666666665,9.205,1.0,看多：剪刀差上行,2009-05-21
2009-05-31,2009-06-20,18.69,2009-06-20,-7.2,2009-06-20,25.89,18.095,10.553333333333333,1.0,看多：剪刀差上行,2009-06-22
2009-06-30,2009-07-20,24.79,2009-07-20,-7.8,2009-07-20,32.589999999999996,21.826666666666668,12.823333333333332,1.0,看多：剪刀差上行,2009-07-21
2009-07-31,2009-08-20,26.37,2009-08-20,-8.22,2009-08-20,34.59,25.92,15.378333333333332,1.0,看多：剪刀差上行,2009-08-21
2009-08-31,2009-09-20,27.72,2009-09-20,-7.86,2009-09-20,35.58,29.293333333333333,18.224999999999998,1.0,看多：剪刀差上行,2009-09-21
2009-09-30,2009-10-20,29.51,2009-10-20,-6.99,2009-10-20,36.5,31.53833333333333,21.241666666666664,1.0,看多：剪刀差上行,2009-10-21
2009-10-31,2009-11-20,32.03,2009-11-20,-5.85,2009-11-20,37.88,33.83833333333333,24.209999999999997,1.0,看多：剪刀差上行,2009-11-23
2009-11-30,2009-12-20,34.63,2009-12-20,-2.08,2009-12-20,36.71,35.641666666666666,26.868333333333336,1.0,看多：剪刀差上行,2009-12-21
2009-12-31,2010-01-20,32.35,2010-01-20,1.7,2010-01-20,30.650000000000002,35.318333333333335,28.5725,1.0,看多：剪刀差上行,2010-01-21
2010-01-31,2010-02-20,38.96,2010-02-20,4.32,2010-02-20,34.64,35.32666666666666,30.62333333333333,1.0,看多：剪刀差上行,2010-02-22
2010-02-28,2010-03-20,34.99,2010-03-20,5.39,2010-03-20,29.6,34.330000000000005,31.811666666666667,1.0,看多：剪刀差上行,2010-03-22
2010-03-31,2010-04-20,29.94,2010-04-20,5.91,2010-04-20,24.03,32.25166666666667,31.895,1.0,看多：剪刀差上行,2010-04-21
2010-04-30,2010-05-20,31.25,2010-05-20,6.81,2010-05-20,24.44,30.011666666666667,31.924999999999997,-1.0,看空：剪刀差下行,2010-05-21
2010-05-31,2010-06-20,29.9,2010-06-20,7.13,2010-06-20,22.77,27.688333333333333,31.665000000000003,-1.0,看空：剪刀差下行,2010-06-21
2010-06-30,2010-07-20,24.6,2010-07-20,6.41,2010-07-20,18.19,25.611666666666668,30.465000000000003,-1.0,看空：剪刀差下行,2010-07-21
2010-07-31,2010-08-20,22.9,2010-08-20,4.84,2010-08-20,18.06,22.848333333333333,29.087500000000002,-1.0,看空：剪刀差下行,2010-08-23
2010-08-31,2010-09-20,21.9,2010-09-20,4.32,2010-09-20,17.58,20.845000000000002,27.587500000000002,-1.0,看空：剪刀差下行,2010-09-21
2010-09-30,2010-10-20,20.9,2010-10-20,4.33,2010-10-20,16.57,19.601666666666663,25.926666666666666,-1.0,看空：剪刀差下行,2010-10-21
2010-10-31,2010-11-20,22.1,2010-11-20,5.04,2010-11-20,17.060000000000002,18.371666666666666,24.191666666666666,-1.0,看空：剪刀差下行,2010-11-22
2010-11-30,2010-12-20,22.1,2010-12-20,6.06,2010-12-20,16.040000000000003,17.25,22.469166666666666,-1.0,看空：剪刀差下行,2010-12-21
2010-12-31,2011-01-20,21.2,2011-01-20,5.93,2011-01-20,15.27,16.763333333333335,21.1875,-1.0,看空：剪刀差下行,2011-01-21
2011-01-31,2011-02-20,13.6,2011-02-20,6.6436,2011-02-20,6.9563999999999995,14.912733333333334,18.880533333333336,-1.0,看空：剪刀差下行,2011-02-21
2011-02-28,2011-03-20,14.5,2011-03-20,7.2322,2011-03-20,7.2678,13.194033333333335,17.019516666666664,-1.0,看空：剪刀差下行,2011-03-21
2011-03-31,2011-04-20,15.0,2011-04-20,7.3081,2011-04-20,7.6919,11.714350000000001,15.658008333333333,-1.0,看空：剪刀差下行,2011-04-21
2011-04-30,2011-05-20,12.9,2011-05-20,6.821,2011-05-20,6.079000000000001,9.884183333333334,14.127925,-1.0,看空：剪刀差下行,2011-05-23
2011-05-31,2011-06-20,12.7,2011-06-20,6.7851,2011-06-20,5.914899999999999,8.196666666666667,12.723333333333334,-1.0,看空：剪刀差下行,2011-06-21
2011-06-30,2011-07-20,13.1,2011-07-20,7.1209,2011-07-20,5.9791,6.648183333333333,11.705758333333334,-1.0,看空：剪刀差下行,2011-07-21
2011-07-31,2011-08-20,11.6,2011-08-20,7.5417,2011-08-20,4.0583,6.165166666666667,10.53895,-1.0,看空：剪刀差下行,2011-08-22
2011-08-31,2011-09-20,11.2,2011-09-20,7.2528,2011-09-20,3.9471999999999996,5.6117333333333335,9.402883333333333,-1.0,看空：剪刀差下行,2011-09-21
2011-09-30,2011-10-20,8.85,2011-10-20,6.5227,2011-10-20,2.3272999999999993,4.717633333333333,8.215991666666666,-1.0,看空：剪刀差下行,2011-10-21
2011-10-31,2011-11-20,8.4,2011-11-20,5.0038,2011-11-20,3.3962000000000003,4.270499999999999,7.077341666666668,-1.0,看空：剪刀差下行,2011-11-21
2011-11-30,2011-12-20,7.8,2011-12-20,2.7179,2011-12-20,5.0821,4.1316999999999995,6.164183333333334,-1.0,看空：剪刀差下行,2011-12-21
2011-12-31,2012-01-20,7.9,2012-01-20,1.6854,2012-01-20,6.214600000000001,4.17095,5.409566666666667,-1.0,看空：剪刀差下行,2012-01-30
2012-01-31,2012-02-20,3.1,2012-02-20,0.7347,2012-02-20,2.3653,3.888783333333333,5.026974999999999,-1.0,看空：剪刀差下行,2012-02-21
2012-02-29,2012-03-20,4.3,2012-03-20,0.0284,2012-03-20,4.271599999999999,3.94285,4.777291666666666,-1.0,看空：剪刀差下行,2012-03-21
2012-03-31,2012-04-20,4.4,2012-04-20,-0.3171,2012-04-20,4.7171,4.34115,4.529391666666666,-1.0,看空：剪刀差下行,2012-04-23
2012-04-30,2012-05-20,3.1,2012-05-20,-0.6984,2012-05-20,3.7984,4.408183333333334,4.339341666666667,1.0,看多：剪刀差上行,2012-05-21
2012-05-31,2012-06-20,3.5,2012-06-20,-1.3981,2012-06-20,4.8980999999999995,4.377516666666667,4.2546083333333335,1.0,看多：剪刀差上行,2012-06-21
2012-06-30,2012-07-20,4.7,2012-07-20,-2.0843,2012-07-20,6.7843,4.472466666666667,4.3217083333333335,1.0,看多：剪刀差上行,2012-07-23
2012-07-31,2012-08-20,4.6,2012-08-20,-2.8651,2012-08-20,7.4651,5.322433333333333,4.6056083333333335,1.0,看多：剪刀差上行,2012-08-21
2012-08-31,2012-09-20,4.5,2012-09-20,-3.4784,2012-09-20,7.978400000000001,5.940233333333333,4.941541666666667,1.0,看多：剪刀差上行,2012-09-21
2012-09-30,2012-10-20,7.3,2012-10-20,-3.5545,2012-10-20,10.8545,6.963133333333334,5.652141666666666,1.0,看多：剪刀差上行,2012-10-22
2012-10-31,2012-11-20,6.1,2012-11-20,-2.7558,2012-11-20,8.855799999999999,7.806033333333333,6.107108333333333,1.0,看多：剪刀差上行,2012-11-21
2012-11-30,2012-12-20,5.5,2012-12-20,-2.1995,2012-12-20,7.6995000000000005,8.272933333333333,6.325225,1.0,看多：剪刀差上行,2012-12-21
2012-12-31,2013-01-20,6.5,2013-01-20,-1.9397,2013-01-20,8.4397,8.548833333333333,6.510649999999999,1.0,看多：剪刀差上行,2013-01-21
2013-01-31,2013-02-20,15.3,2013-02-20,-1.6372,2013-02-20,16.9372,10.127516666666667,7.724975000000001,1.0,看多：剪刀差上行,2013-02-21
2013-02-28,2013-03-20,9.5,2013-03-20,-1.6254,2013-03-20,11.125399999999999,10.652016666666666,8.296124999999998,1.0,看多：剪刀差上行,2013-03-21
2013-03-31,2013-04-20,11.9,2013-04-20,-1.919,2013-04-20,13.819,11.146099999999999,9.054616666666666,1.0,看多：剪刀差上行,2013-04-22
2013-04-30,2013-05-20,11.9,2013-05-20,-2.6175,2013-05-20,14.5175,12.089716666666666,9.947875000000002,1.0,看多：剪刀差上行,2013-05-21
2013-05-31,2013-06-20,11.3,2013-06-20,-2.8658,2013-06-20,14.1658,13.167433333333333,10.720183333333333,1.0,看多：剪刀差上行,2013-06-21
2013-06-30,2013-07-20,9.1,2013-07-20,-2.6965,2013-07-20,11.7965,13.7269,11.137866666666667,1.0,看多：剪刀差上行,2013-07-22
2013-07-31,2013-08-20,9.7,2013-08-20,-2.2712,2013-08-20,11.9712,12.899233333333335,11.513374999999998,1.0,看多：剪刀差上行,2013-08-21
2013-08-31,2013-09-20,9.9,2013-09-20,-1.625,2013-09-20,11.525,12.965833333333336,11.808925,1.0,看多：剪刀差上行,2013-09-23
2013-09-30,2013-10-20,8.9,2013-10-20,-1.3439,2013-10-20,10.2439,12.369983333333332,11.758041666666665,1.0,看多：剪刀差上行,2013-10-21
2013-10-31,2013-11-20,8.9,2013-11-20,-1.5071,2013-11-20,10.4071,11.684916666666666,11.887316666666669,-1.0,看空：剪刀差下行,2013-11-21
2013-11-30,2013-12-20,9.4,2013-12-20,-1.4242,2013-12-20,10.824200000000001,11.127983333333333,12.147708333333334,-1.0,看空：剪刀差下行,2013-12-23
2013-12-31,2014-01-20,9.3,2014-01-20,-1.3557,2014-01-20,10.655700000000001,10.93785,12.332374999999999,-1.0,看空：剪刀差下行,2014-01-21
2014-01-31,2014-02-20,1.2,2014-02-20,-1.6394,2014-02-20,2.8394,9.415883333333333,11.157558333333334,-1.0,看空：剪刀差下行,2014-02-21
2014-02-28,2014-03-20,6.9,2014-03-20,-2.0182,2014-03-20,8.9182,8.981416666666666,10.973625,-1.0,看空：剪刀差下行,2014-03-21
2014-03-31,2014-04-20,5.4,2014-04-20,-2.3022,2014-04-20,7.7022,8.5578,10.463891666666667,-1.0,看空：剪刀差下行,2014-04-21
2014-04-30,2014-05-20,5.5,2014-05-20,-2.0042,2014-05-20,7.5042,8.073983333333333,9.87945,-1.0,看空：剪刀差下行,2014-05-21
2014-05-31,2014-06-20,5.7,2014-06-20,-1.4464,2014-06-20,7.1464,7.461016666666667,9.294500000000001,-1.0,看空：剪刀差下行,2014-06-23
2014-06-30,2014-07-20,8.9,2014-07-20,-1.1086,2014-07-20,10.008600000000001,7.353166666666667,9.145508333333334,-1.0,看空：剪刀差下行,2014-07-21
2014-07-31,2014-08-20,6.7,2014-08-20,-0.8688,2014-08-20,7.5688,8.1414,8.778641666666667,-1.0,看空：剪刀差下行,2014-08-21
2014-08-31,2014-09-20,5.7,2014-09-20,-1.2038,2014-09-20,6.9038,7.805666666666667,8.393541666666668,-1.0,看空：剪刀差下行,2014-09-22
2014-09-30,2014-10-20,4.8,2014-10-20,-1.7996,2014-10-20,6.5996,7.6219,8.08985,-1.0,看空：剪刀差下行,2014-10-21
2014-10-31,2014-11-20,3.2,2014-11-20,-2.2428,2014-11-20,5.4428,7.278333333333333,7.676158333333333,-1.0,看空：剪刀差下行,2014-11-21
2014-11-30,2014-12-20,3.2,2014-12-20,-2.6928,2014-12-20,5.8928,7.069400000000001,7.265208333333334,-1.0,看空：剪刀差下行,2014-12-22
2014-12-31,2015-01-20,3.2,2015-01-20,-3.3152,2015-01-20,6.5152,6.487166666666667,6.920166666666667,-1.0,看空：剪刀差下行,2015-01-21
2015-01-31,2015-02-20,10.6,2015-02-20,-4.3202,2015-02-20,14.9202,7.7124,7.9269,-1.0,看空：剪刀差下行,2015-02-25
2015-02-28,2015-03-20,5.6,2015-03-20,-4.7976,2015-03-20,10.3976,8.294699999999999,8.050183333333335,1.0,看多：剪刀差上行,2015-03-23
2015-03-31,2015-04-20,2.9,2015-04-20,-4.5603,2015-04-20,7.4603,8.43815,8.030025,1.0,看多：剪刀差上行,2015-04-21
2015-04-30,2015-05-20,3.7,2015-05-20,-4.5725,2015-05-20,8.2725,8.909766666666666,8.094050000000001,1.0,看多：剪刀差上行,2015-05-21
2015-05-31,2015-06-20,4.7,2015-06-20,-4.607,2015-06-20,9.307,9.478800000000001,8.2741,1.0,看多：剪刀差上行,2015-06-23
2015-06-30,2015-07-20,4.3,2015-07-20,-4.8135,2015-07-20,9.1135,9.911850000000001,8.199508333333334,1.0,看多：剪刀差上行,2015-07-21
2015-07-31,2015-08-20,6.6,2015-08-20,-5.3692,2015-08-20,11.9692,9.420016666666667,8.566208333333334,1.0,看多：剪刀差上行,2015-08-21
2015-08-31,2015-09-20,9.3,2015-09-20,-5.9227,2015-09-20,15.2227,10.224200000000002,9.25945,1.0,看多：剪刀差上行,2015-09-21
2015-09-30,2015-10-20,11.4,2015-10-20,-5.945,2015-10-20,17.345,11.87165,10.1549,1.0,看多：剪刀差上行,2015-10-21
2015-10-31,2015-11-20,14.0,2015-11-20,-5.9,2015-11-20,19.9,13.809566666666667,11.359666666666667,1.0,看多：剪刀差上行,2015-11-23
2015-11-30,2015-12-20,15.7,2015-12-20,-5.9,2015-12-20,21.6,15.858399999999998,12.6686,1.0,看多：剪刀差上行,2015-12-21
2015-12-31,2016-01-20,15.2,2016-01-20,-5.9,2016-01-20,21.1,17.85615,13.884,1.0,看多：剪刀差上行,2016-01-21
2016-01-31,2016-02-20,18.6,2016-02-20,-5.3,2016-02-20,23.900000000000002,19.844616666666667,14.632316666666666,1.0,看多：剪刀差上行,2016-02-22
2016-02-29,2016-03-20,17.4,2016-03-20,-4.9,2016-03-20,22.299999999999997,21.024166666666666,15.624183333333335,1.0,看多：剪刀差上行,2016-03-21
2016-03-31,2016-04-20,22.1,2016-04-20,-4.3,2016-04-20,26.400000000000002,22.533333333333335,17.202491666666667,1.0,看多：剪刀差上行,2016-04-21
2016-04-30,2016-05-20,22.9,2016-05-20,-3.4,2016-05-20,26.299999999999997,23.599999999999998,18.704783333333335,1.0,看多：剪刀差上行,2016-05-23
2016-05-31,2016-06-20,23.7,2016-06-20,-2.8,2016-06-20,26.5,24.416666666666668,20.137533333333334,1.0,看多：剪刀差上行,2016-06-21
2016-06-30,2016-07-20,24.6,2016-07-20,-2.6,2016-07-20,27.200000000000003,25.433333333333334,21.644741666666665,1.0,看多：剪刀差上行,2016-07-21
2016-07-31,2016-08-20,25.4,2016-08-20,-1.7,2016-08-20,27.099999999999998,25.966666666666665,22.905641666666668,1.0,看多：剪刀差上行,2016-08-22
2016-08-31,2016-09-20,25.3,2016-09-20,-0.8,2016-09-20,26.1,26.600000000000005,23.812083333333334,1.0,看多：剪刀差上行,2016-09-21
2016-09-30,2016-10-20,24.7,2016-10-20,0.1,2016-10-20,24.599999999999998,26.3,24.416666666666668,1.0,看多：剪刀差上行,2016-10-21
2016-10-31,2016-11-20,23.9,2016-11-20,1.2,2016-11-20,22.7,25.7,24.650000000000002,1.0,看多：剪刀差上行,2016-11-21
2016-11-30,2016-12-20,22.7,2016-12-20,3.3,2016-12-20,19.4,24.516666666666666,24.46666666666667,1.0,看多：剪刀差上行,2016-12-21
2016-12-31,2017-01-20,21.4,2017-01-20,5.5,2017-01-20,15.899999999999999,22.633333333333336,24.03333333333333,-1.0,看空：剪刀差下行,2017-01-23
2017-01-31,2017-02-20,14.5,2017-02-20,6.9,2017-02-20,7.6,19.383333333333333,22.675,-1.0,看空：剪刀差下行,2017-02-21
2017-02-28,2017-03-20,21.4,2017-03-20,7.8,2017-03-20,13.599999999999998,17.3,21.95,-1.0,看空：剪刀差下行,2017-03-21
2017-03-31,2017-04-20,18.8,2017-04-20,7.6,2017-04-20,11.200000000000001,15.066666666666665,20.683333333333334,-1.0,看空：剪刀差下行,2017-04-21
2017-04-30,2017-05-20,18.5,2017-05-20,6.4,2017-05-20,12.1,13.299999999999999,19.5,-1.0,看空：剪刀差下行,2017-05-22
2017-05-31,2017-06-20,17.0,2017-06-20,5.5,2017-06-20,11.5,11.983333333333333,18.25,-1.0,看空：剪刀差下行,2017-06-21
2017-06-30,2017-07-20,15.0,2017-07-20,5.5,2017-07-20,9.5,10.916666666666666,16.775,-1.0,看空：剪刀差下行,2017-07-21
2017-07-31,2017-08-20,15.3,2017-08-20,5.5,2017-08-20,9.8,11.283333333333333,15.333333333333334,-1.0,看空：剪刀差下行,2017-08-21
2017-08-31,2017-09-20,14.0,2017-09-20,6.3,2017-09-20,7.7,10.299999999999999,13.799999999999999,-1.0,看空：剪刀差下行,2017-09-21
2017-09-30,2017-10-20,14.0,2017-10-20,6.9,2017-10-20,7.1,9.616666666666665,12.341666666666667,-1.0,看空：剪刀差下行,2017-10-23
2017-10-31,2017-11-20,13.0,2017-11-20,6.9,2017-11-20,6.1,8.616666666666667,10.958333333333334,-1.0,看空：剪刀差下行,2017-11-21
2017-11-30,2017-12-20,12.7,2017-12-20,5.8,2017-12-20,6.8999999999999995,7.8500000000000005,9.916666666666666,-1.0,看空：剪刀差下行,2017-12-21
2017-12-31,2018-01-20,11.8,2018-01-20,4.9,2018-01-20,6.9,7.416666666666667,9.166666666666666,-1.0,看空：剪刀差下行,2018-01-22
2018-01-31,2018-02-20,15.0,2018-02-20,4.3,2018-02-20,10.7,7.566666666666666,9.425,-1.0,看空：剪刀差下行,2018-02-22
2018-02-28,2018-03-20,8.5,2018-03-20,3.7,2018-03-20,4.8,7.083333333333333,8.691666666666666,-1.0,看空：剪刀差下行,2018-03-21
2018-03-31,2018-04-20,7.1,2018-04-20,3.1,2018-04-20,3.9999999999999996,6.566666666666666,8.091666666666667,-1.0,看空：剪刀差下行,2018-04-23
2018-04-30,2018-05-20,7.2,2018-05-20,3.4,2018-05-20,3.8000000000000003,6.183333333333333,7.3999999999999995,-1.0,看空：剪刀差下行,2018-05-21
2018-05-31,2018-06-20,6.0,2018-06-20,4.1,2018-06-20,1.9000000000000004,5.3500000000000005,6.6000000000000005,-1.0,看空：剪刀差下行,2018-06-21
2018-06-30,2018-07-20,6.6,2018-07-20,4.7,2018-07-20,1.8999999999999995,4.516666666666667,5.966666666666666,-1.0,看空：剪刀差下行,2018-07-23
2018-07-31,2018-08-20,5.1,2018-08-20,4.6,2018-08-20,0.5,2.8166666666666664,5.191666666666666,-1.0,看空：剪刀差下行,2018-08-21
2018-08-31,2018-09-20,3.9,2018-09-20,4.1,2018-09-20,-0.19999999999999973,1.9833333333333334,4.533333333333333,-1.0,看空：剪刀差下行,2018-09-21
2018-09-30,2018-10-20,4.0,2018-10-20,3.6,2018-10-20,0.3999999999999999,1.3833333333333335,3.9749999999999996,-1.0,看空：剪刀差下行,2018-10-22
2018-10-31,2018-11-20,2.7,2018-11-20,3.3,2018-11-20,-0.5999999999999996,0.65,3.4166666666666665,-1.0,看空：剪刀差下行,2018-11-21
2018-11-30,2018-12-20,1.5,2018-12-20,2.7,2018-12-20,-1.2000000000000002,0.1333333333333333,2.7416666666666667,-1.0,看空：剪刀差下行,2018-12-21
2018-12-31,2019-01-20,1.5,2019-01-20,0.9,2019-01-20,0.6,-0.08333333333333327,2.2166666666666663,-1.0,看空：剪刀差下行,2019-01-21
2019-01-31,2019-02-20,0.4,2019-02-20,0.1,2019-02-20,0.30000000000000004,-0.1166666666666666,1.3499999999999999,-1.0,看空：剪刀差下行,2019-02-21
2019-02-28,2019-03-20,1.6,2019-03-20,0.1,2019-03-20,1.5,0.16666666666666666,1.075,-1.0,看空：剪刀差下行,2019-03-21
2019-03-31,2019-04-20,4.6,2019-04-20,0.4,2019-04-20,4.199999999999999,0.7999999999999998,1.0916666666666666,-1.0,看空：剪刀差下行,2019-04-22
2019-04-30,2019-05-20,2.9,2019-05-20,0.9,2019-05-20,2.0,1.2333333333333332,0.9416666666666665,1.0,看多：剪刀差上行,2019-05-21
2019-05-31,2019-06-20,3.4,2019-06-20,0.6,2019-06-20,2.8,1.8999999999999997,1.0166666666666666,1.0,看多：剪刀差上行,2019-06-21
