signal_available_date,m2_stat_period_end,available_date,m2_yoy_pct,conservative_available_date,gdp_stat_period_end,nominal_gdp_cum_yoy_pct,date,m2_minus_nominal_gdp_pct_point,signal_score,signal_text,effective_date
2007-04-30,,,,2007-04-30,2007-03-31,21.42700343077917,2007-04-30,,,样本不足,2007-05-08
2007-07-31,,,,2007-07-31,2007-06-30,22.306438709295094,2007-07-31,,,样本不足,2007-08-01
2007-10-31,,,,2007-10-31,2007-09-30,22.93835042728553,2007-10-31,,,样本不足,2007-11-01
2008-01-31,,,,2008-01-31,2007-12-31,23.183426603839383,2008-01-31,,,样本不足,2008-02-01
2008-02-20,2008-01-31,2008-02-20,18.88,2008-01-31,2007-12-31,23.183426603839383,2008-02-20,-4.303426603839384,-1.0,看空：M2增速低于名义GDP增速,2008-02-21
2008-03-20,2008-02-29,2008-03-20,17.39,2008-01-31,2007-12-31,23.183426603839383,2008-03-20,-5.793426603839382,-1.0,看空：M2增速低于名义GDP增速,2008-03-21
2008-04-20,2008-03-31,2008-04-20,16.19,2008-01-31,2007-12-31,23.183426603839383,2008-04-20,-6.9934266038393815,-1.0,看空：M2增速低于名义GDP增速,2008-04-21
2008-04-30,2008-03-31,2008-04-20,16.19,2008-04-30,2008-03-31,21.57174684834524,2008-04-30,-5.381746848345237,-1.0,看空：M2增速低于名义GDP增速,2008-05-05
2008-05-20,2008-04-30,2008-05-20,16.94,2008-04-30,2008-03-31,21.57174684834524,2008-05-20,-4.631746848345237,-1.0,看空：M2增速低于名义GDP增速,2008-05-21
2008-06-20,2008-05-31,2008-06-20,18.07,2008-04-30,2008-03-31,21.57174684834524,2008-06-20,-3.5017468483452383,-1.0,看空：M2增速低于名义GDP增速,2008-06-23
2008-07-20,2008-06-30,2008-07-20,17.37,2008-04-30,2008-03-31,21.57174684834524,2008-07-20,-4.201746848345238,-1.0,看空：M2增速低于名义GDP增速,2008-07-21
2008-07-31,2008-06-30,2008-07-20,17.37,2008-07-31,2008-06-30,21.59618384967972,2008-07-31,-4.2261838496797175,-1.0,看空：M2增速低于名义GDP增速,2008-08-01
2008-08-20,2008-07-31,2008-08-20,16.35,2008-07-31,2008-06-30,21.59618384967972,2008-08-20,-5.246183849679717,-1.0,看空：M2增速低于名义GDP增速,2008-08-21
2008-09-20,2008-08-31,2008-09-20,16.0,2008-07-31,2008-06-30,21.59618384967972,2008-09-20,-5.5961838496797185,-1.0,看空：M2增速低于名义GDP增速,2008-09-22
2008-10-20,2008-09-30,2008-10-20,15.29,2008-07-31,2008-06-30,21.59618384967972,2008-10-20,-6.306183849679719,-1.0,看空：M2增速低于名义GDP增速,2008-10-21
2008-10-31,2008-09-30,2008-10-20,15.29,2008-10-31,2008-09-30,20.541390047739423,2008-10-31,-5.251390047739424,-1.0,看空：M2增速低于名义GDP增速,2008-11-03
2008-11-20,2008-10-31,2008-11-20,15.02,2008-10-31,2008-09-30,20.541390047739423,2008-11-20,-5.521390047739423,-1.0,看空：M2增速低于名义GDP增速,2008-11-21
2008-12-20,2008-11-30,2008-12-20,14.8,2008-10-31,2008-09-30,20.541390047739423,2008-12-20,-5.741390047739422,-1.0,看空：M2增速低于名义GDP增速,2008-12-22
2009-01-20,2008-12-31,2009-01-20,17.82,2008-10-31,2008-09-30,20.541390047739423,2009-01-20,-2.7213900477394226,-1.0,看空：M2增速低于名义GDP增速,2009-01-21
2009-01-31,2008-12-31,2009-01-20,17.82,2009-01-31,2008-12-31,18.28658358003892,2009-01-31,-0.4665835800389182,-1.0,看空：M2增速低于名义GDP增速,2009-02-02
2009-02-20,2009-01-31,2009-02-20,18.79,2009-01-31,2008-12-31,18.28658358003892,2009-02-20,0.5034164199610807,1.0,看多：M2增速高于名义GDP增速,2009-02-23
2009-03-20,2009-02-28,2009-03-20,20.48,2009-01-31,2008-12-31,18.28658358003892,2009-03-20,2.193416419961082,1.0,看多：M2增速高于名义GDP增速,2009-03-23
2009-04-20,2009-03-31,2009-04-20,25.51,2009-01-31,2008-12-31,18.28658358003892,2009-04-20,7.223416419961083,1.0,看多：M2增速高于名义GDP增速,2009-04-21
2009-04-30,2009-03-31,2009-04-20,25.51,2009-04-30,2009-03-31,6.701213432734354,2009-04-30,18.80878656726565,1.0,看多：M2增速高于名义GDP增速,2009-05-04
2009-05-20,2009-04-30,2009-05-20,25.95,2009-04-30,2009-03-31,6.701213432734354,2009-05-20,19.248786567265647,1.0,看多：M2增速高于名义GDP增速,2009-05-21
2009-06-20,2009-05-31,2009-06-20,25.74,2009-04-30,2009-03-31,6.701213432734354,2009-06-20,19.038786567265646,1.0,看多：M2增速高于名义GDP增速,2009-06-22
2009-07-20,2009-06-30,2009-07-20,28.46,2009-04-30,2009-03-31,6.701213432734354,2009-07-20,21.758786567265645,1.0,看多：M2增速高于名义GDP增速,2009-07-21
2009-07-31,2009-06-30,2009-07-20,28.46,2009-07-31,2009-06-30,6.722585829605943,2009-07-31,21.737414170394057,1.0,看多：M2增速高于名义GDP增速,2009-08-03
2009-08-20,2009-07-31,2009-08-20,28.42,2009-07-31,2009-06-30,6.722585829605943,2009-08-20,21.697414170394058,1.0,看多：M2增速高于名义GDP增速,2009-08-21
2009-09-20,2009-08-31,2009-09-20,28.53,2009-07-31,2009-06-30,6.722585829605943,2009-09-20,21.807414170394058,1.0,看多：M2增速高于名义GDP增速,2009-09-21
2009-10-20,2009-09-30,2009-10-20,29.31,2009-07-31,2009-06-30,6.722585829605943,2009-10-20,22.587414170394055,1.0,看多：M2增速高于名义GDP增速,2009-10-21
2009-10-31,2009-09-30,2009-10-20,29.31,2009-10-31,2009-09-30,7.592161811521292,2009-10-31,21.71783818847871,1.0,看多：M2增速高于名义GDP增速,2009-11-02
2009-11-20,2009-10-31,2009-11-20,29.42,2009-10-31,2009-09-30,7.592161811521292,2009-11-20,21.827838188478708,1.0,看多：M2增速高于名义GDP增速,2009-11-23
2009-12-20,2009-11-30,2009-12-20,29.74,2009-10-31,2009-09-30,7.592161811521292,2009-12-20,22.14783818847871,1.0,看多：M2增速高于名义GDP增速,2009-12-21
2010-01-20,2009-12-31,2010-01-20,27.68,2009-10-31,2009-09-30,7.592161811521292,2010-01-20,20.087838188478706,1.0,看多：M2增速高于名义GDP增速,2010-01-21
2010-01-31,2009-12-31,2010-01-20,27.68,2010-01-31,2009-12-31,9.313025680366604,2010-01-31,18.366974319633396,1.0,看多：M2增速高于名义GDP增速,2010-02-01
2010-02-20,2010-01-31,2010-02-20,25.98,2010-01-31,2009-12-31,9.313025680366604,2010-02-20,16.666974319633397,1.0,看多：M2增速高于名义GDP增速,2010-02-22
2010-03-20,2010-02-28,2010-03-20,25.52,2010-01-31,2009-12-31,9.313025680366604,2010-03-20,16.206974319633396,1.0,看多：M2增速高于名义GDP增速,2010-03-22
2010-04-20,2010-03-31,2010-04-20,22.5,2010-01-31,2009-12-31,9.313025680366604,2010-04-20,13.186974319633396,1.0,看多：M2增速高于名义GDP增速,2010-04-21
2010-04-30,2010-03-31,2010-04-20,22.5,2010-04-30,2010-03-31,18.29501216464276,2010-04-30,4.20498783535724,1.0,看多：M2增速高于名义GDP增速,2010-05-04
2010-05-20,2010-04-30,2010-05-20,21.48,2010-04-30,2010-03-31,18.29501216464276,2010-05-20,3.1849878353572407,1.0,看多：M2增速高于名义GDP增速,2010-05-21
2010-06-20,2010-05-31,2010-06-20,21.0,2010-04-30,2010-03-31,18.29501216464276,2010-06-20,2.7049878353572403,1.0,看多：M2增速高于名义GDP增速,2010-06-21
2010-07-20,2010-06-30,2010-07-20,18.5,2010-04-30,2010-03-31,18.29501216464276,2010-07-20,0.2049878353572403,1.0,看多：M2增速高于名义GDP增速,2010-07-21
2010-07-31,2010-06-30,2010-07-20,18.5,2010-07-31,2010-06-30,18.35939687735304,2010-07-31,0.1406031226469615,1.0,看多：M2增速高于名义GDP增速,2010-08-02
2010-08-20,2010-07-31,2010-08-20,17.6,2010-07-31,2010-06-30,18.35939687735304,2010-08-20,-0.7593968773530371,-1.0,看空：M2增速低于名义GDP增速,2010-08-23
2010-09-20,2010-08-31,2010-09-20,19.2,2010-07-31,2010-06-30,18.35939687735304,2010-09-20,0.8406031226469608,1.0,看多：M2增速高于名义GDP增速,2010-09-21
2010-10-20,2010-09-30,2010-10-20,19.0,2010-07-31,2010-06-30,18.35939687735304,2010-10-20,0.6406031226469615,1.0,看多：M2增速高于名义GDP增速,2010-10-21
2010-10-31,2010-09-30,2010-10-20,19.0,2010-10-31,2010-09-30,18.23848238482386,2010-10-31,0.7615176151761389,1.0,看多：M2增速高于名义GDP增速,2010-11-01
2010-11-20,2010-10-31,2010-11-20,19.3,2010-10-31,2010-09-30,18.23848238482386,2010-11-20,1.0615176151761396,1.0,看多：M2增速高于名义GDP增速,2010-11-22
2010-12-20,2010-11-30,2010-12-20,19.5,2010-10-31,2010-09-30,18.23848238482386,2010-12-20,1.261517615176139,1.0,看多：M2增速高于名义GDP增速,2010-12-21
2011-01-20,2010-12-31,2011-01-20,19.7,2010-10-31,2010-09-30,18.23848238482386,2011-01-20,1.4615176151761382,1.0,看多：M2增速高于名义GDP增速,2011-01-21
2011-01-31,2010-12-31,2011-01-20,19.7,2011-01-31,2010-12-31,18.25888746976208,2011-01-31,1.4411125302379197,1.0,看多：M2增速高于名义GDP增速,2011-02-01
2011-02-20,2011-01-31,2011-02-20,17.2,2011-01-31,2010-12-31,18.25888746976208,2011-02-20,-1.0588874697620803,-1.0,看空：M2增速低于名义GDP增速,2011-02-21
2011-03-20,2011-02-28,2011-03-20,15.7,2011-01-31,2010-12-31,18.25888746976208,2011-03-20,-2.5588874697620803,-1.0,看空：M2增速低于名义GDP增速,2011-03-21
2011-04-20,2011-03-31,2011-04-20,16.6,2011-01-31,2010-12-31,18.25888746976208,2011-04-20,-1.6588874697620781,-1.0,看空：M2增速低于名义GDP增速,2011-04-21
2011-04-30,2011-03-31,2011-04-20,16.6,2011-04-30,2011-03-31,19.17969144460028,2011-04-30,-2.5796914446002788,-1.0,看空：M2增速低于名义GDP增速,2011-05-03
2011-05-20,2011-04-30,2011-05-20,15.3,2011-04-30,2011-03-31,19.17969144460028,2011-05-20,-3.8796914446002795,-1.0,看空：M2增速低于名义GDP增速,2011-05-23
2011-06-20,2011-05-31,2011-06-20,15.1,2011-04-30,2011-03-31,19.17969144460028,2011-06-20,-4.0796914446002805,-1.0,看空：M2增速低于名义GDP增速,2011-06-21
2011-07-20,2011-06-30,2011-07-20,15.9,2011-04-30,2011-03-31,19.17969144460028,2011-07-20,-3.27969144460028,-1.0,看空：M2增速低于名义GDP增速,2011-07-21
2011-07-31,2011-06-30,2011-07-20,15.9,2011-07-31,2011-06-30,19.34584647739221,2011-07-31,-3.4458464773922106,-1.0,看空：M2增速低于名义GDP增速,2011-08-01
2011-08-20,2011-07-31,2011-08-20,14.7,2011-07-31,2011-06-30,19.34584647739221,2011-08-20,-4.645846477392212,-1.0,看空：M2增速低于名义GDP增速,2011-08-22
2011-09-20,2011-08-31,2011-09-20,13.5,2011-07-31,2011-06-30,19.34584647739221,2011-09-20,-5.845846477392211,-1.0,看空：M2增速低于名义GDP增速,2011-09-21
2011-10-20,2011-09-30,2011-10-20,13.04,2011-07-31,2011-06-30,19.34584647739221,2011-10-20,-6.305846477392212,-1.0,看空：M2增速低于名义GDP增速,2011-10-21
2011-10-31,2011-09-30,2011-10-20,13.04,2011-10-31,2011-09-30,19.31737299781302,2011-10-31,-6.277372997813021,-1.0,看空：M2增速低于名义GDP增速,2011-11-01
2011-11-20,2011-10-31,2011-11-20,12.9,2011-10-31,2011-09-30,19.31737299781302,2011-11-20,-6.41737299781302,-1.0,看空：M2增速低于名义GDP增速,2011-11-21
2011-12-20,2011-11-30,2011-12-20,12.7,2011-10-31,2011-09-30,19.31737299781302,2011-12-20,-6.617372997813021,-1.0,看空：M2增速低于名义GDP增速,2011-12-21
2012-01-20,2011-12-31,2012-01-20,13.6,2011-10-31,2011-09-30,19.31737299781302,2012-01-20,-5.717372997813021,-1.0,看空：M2增速低于名义GDP增速,2012-01-30
2012-01-31,2011-12-31,2012-01-20,13.6,2012-01-31,2011-12-31,18.235825454444843,2012-01-31,-4.635825454444843,-1.0,看空：M2增速低于名义GDP增速,2012-02-01
2012-02-20,2012-01-31,2012-02-20,12.4,2012-01-31,2011-12-31,18.235825454444843,2012-02-20,-5.8358254544448425,-1.0,看空：M2增速低于名义GDP增速,2012-02-21
2012-03-20,2012-02-29,2012-03-20,13.0,2012-01-31,2011-12-31,18.235825454444843,2012-03-20,-5.235825454444843,-1.0,看空：M2增速低于名义GDP增速,2012-03-21
2012-04-20,2012-03-31,2012-04-20,13.4,2012-01-31,2011-12-31,18.235825454444843,2012-04-20,-4.8358254544448425,-1.0,看空：M2增速低于名义GDP增速,2012-04-23
2012-04-30,2012-03-31,2012-04-20,13.4,2012-04-30,2012-03-31,12.388190802201882,2012-04-30,1.0118091977981187,1.0,看多：M2增速高于名义GDP增速,2012-05-02
2012-05-20,2012-04-30,2012-05-20,12.8,2012-04-30,2012-03-31,12.388190802201882,2012-05-20,0.4118091977981191,1.0,看多：M2增速高于名义GDP增速,2012-05-21
2012-06-20,2012-05-31,2012-06-20,13.2,2012-04-30,2012-03-31,12.388190802201882,2012-06-20,0.8118091977981177,1.0,看多：M2增速高于名义GDP增速,2012-06-21
2012-07-20,2012-06-30,2012-07-20,13.6,2012-04-30,2012-03-31,12.388190802201882,2012-07-20,1.211809197798118,1.0,看多：M2增速高于名义GDP增速,2012-07-23
2012-07-31,2012-06-30,2012-07-20,13.6,2012-07-31,2012-06-30,11.39796419140795,2012-07-31,2.202035808592049,1.0,看多：M2增速高于名义GDP增速,2012-08-01
2012-08-20,2012-07-31,2012-08-20,13.9,2012-07-31,2012-06-30,11.39796419140795,2012-08-20,2.5020358085920495,1.0,看多：M2增速高于名义GDP增速,2012-08-21
2012-09-20,2012-08-31,2012-09-20,13.5,2012-07-31,2012-06-30,11.39796419140795,2012-09-20,2.102035808592049,1.0,看多：M2增速高于名义GDP增速,2012-09-21
2012-10-20,2012-09-30,2012-10-20,14.8,2012-07-31,2012-06-30,11.39796419140795,2012-10-20,3.40203580859205,1.0,看多：M2增速高于名义GDP增速,2012-10-22
2012-10-31,2012-09-30,2012-10-20,14.8,2012-10-31,2012-09-30,10.601779235020636,2012-10-31,4.198220764979364,1.0,看多：M2增速高于名义GDP增速,2012-11-01
2012-11-20,2012-10-31,2012-11-20,14.1,2012-10-31,2012-09-30,10.601779235020636,2012-11-20,3.4982207649793633,1.0,看多：M2增速高于名义GDP增速,2012-11-21
2012-12-20,2012-11-30,2012-12-20,13.9,2012-10-31,2012-09-30,10.601779235020636,2012-12-20,3.298220764979364,1.0,看多：M2增速高于名义GDP增速,2012-12-21
2013-01-20,2012-12-31,2013-01-20,13.8,2012-10-31,2012-09-30,10.601779235020636,2013-01-20,3.1982207649793644,1.0,看多：M2增速高于名义GDP增速,2013-01-21
2013-01-31,2012-12-31,2013-01-20,13.8,2013-01-31,2012-12-31,10.450313854377049,2013-01-31,3.349686145622952,1.0,看多：M2增速高于名义GDP增速,2013-02-01
2013-02-20,2013-01-31,2013-02-20,15.9,2013-01-31,2012-12-31,10.450313854377049,2013-02-20,5.449686145622952,1.0,看多：M2增速高于名义GDP增速,2013-02-21
2013-03-20,2013-02-28,2013-03-20,15.2,2013-01-31,2012-12-31,10.450313854377049,2013-03-20,4.749686145622951,1.0,看多：M2增速高于名义GDP增速,2013-03-21
2013-04-20,2013-03-31,2013-04-20,15.7,2013-01-31,2012-12-31,10.450313854377049,2013-04-20,5.249686145622951,1.0,看多：M2增速高于名义GDP增速,2013-04-22
2013-04-30,2013-03-31,2013-04-20,15.7,2013-04-30,2013-03-31,10.472827794182326,2013-04-30,5.2271722058176735,1.0,看多：M2增速高于名义GDP增速,2013-05-02
2013-05-20,2013-04-30,2013-05-20,16.1,2013-04-30,2013-03-31,10.472827794182326,2013-05-20,5.627172205817676,1.0,看多：M2增速高于名义GDP增速,2013-05-21
2013-06-20,2013-05-31,2013-06-20,15.8,2013-04-30,2013-03-31,10.472827794182326,2013-06-20,5.327172205817675,1.0,看多：M2增速高于名义GDP增速,2013-06-21
2013-07-20,2013-06-30,2013-07-20,14.0,2013-04-30,2013-03-31,10.472827794182326,2013-07-20,3.527172205817674,1.0,看多：M2增速高于名义GDP增速,2013-07-22
2013-07-31,2013-06-30,2013-07-20,14.0,2013-07-31,2013-06-30,9.935946995416977,2013-07-31,4.064053004583023,1.0,看多：M2增速高于名义GDP增速,2013-08-01
2013-08-20,2013-07-31,2013-08-20,14.5,2013-07-31,2013-06-30,9.935946995416977,2013-08-20,4.564053004583023,1.0,看多：M2增速高于名义GDP增速,2013-08-21
2013-09-20,2013-08-31,2013-09-20,14.7,2013-07-31,2013-06-30,9.935946995416977,2013-09-20,4.7640530045830225,1.0,看多：M2增速高于名义GDP增速,2013-09-23
2013-10-20,2013-09-30,2013-10-20,14.2,2013-07-31,2013-06-30,9.935946995416977,2013-10-20,4.2640530045830225,1.0,看多：M2增速高于名义GDP增速,2013-10-21
2013-10-31,2013-09-30,2013-10-20,14.2,2013-10-31,2013-09-30,10.098595635834153,2013-10-31,4.101404364165846,1.0,看多：M2增速高于名义GDP增速,2013-11-01
2013-11-20,2013-10-31,2013-11-20,14.3,2013-10-31,2013-09-30,10.098595635834153,2013-11-20,4.201404364165848,1.0,看多：M2增速高于名义GDP增速,2013-11-21
2013-12-20,2013-11-30,2013-12-20,14.2,2013-10-31,2013-09-30,10.098595635834153,2013-12-20,4.101404364165846,1.0,看多：M2增速高于名义GDP增速,2013-12-23
2014-01-20,2013-12-31,2014-01-20,13.6,2013-10-31,2013-09-30,10.098595635834153,2014-01-20,3.5014043641658468,1.0,看多：M2增速高于名义GDP增速,2014-01-21
2014-01-31,2013-12-31,2014-01-20,13.6,2014-01-31,2013-12-31,10.255472679433076,2014-01-31,3.3445273205669235,1.0,看多：M2增速高于名义GDP增速,2014-02-07
