date,cpi_available_date,cpi_yoy_pct,historical_q10,historical_q90,signal_score,signal_text,effective_date
2008-01-31,2008-02-20,7.0781,,,0,中性,2008-02-21
2008-02-29,2008-03-20,8.7443,,,0,中性,2008-03-21
2008-03-31,2008-04-20,8.3097,,,0,中性,2008-04-21
2008-04-30,2008-05-20,8.4829,,,0,中性,2008-05-21
2008-05-31,2008-06-20,7.7163,,,0,中性,2008-06-23
2008-06-30,2008-07-20,7.0844,,,0,中性,2008-07-21
2008-07-31,2008-08-20,6.302,,,0,中性,2008-08-21
2008-08-31,2008-09-20,4.9001,,,0,中性,2008-09-22
2008-09-30,2008-10-20,4.6425,,,0,中性,2008-10-21
2008-10-31,2008-11-20,3.9744,,,0,中性,2008-11-21
2008-11-30,2008-12-20,2.434,,,0,中性,2008-12-22
2008-12-31,2009-01-20,1.1999,,,0,中性,2009-01-21
2009-01-31,2009-02-20,0.95,,,0,中性,2009-02-23
2009-02-28,2009-03-20,-1.5582,,,0,中性,2009-03-23
2009-03-31,2009-04-20,-1.1714,,,0,中性,2009-04-21
2009-04-30,2009-05-20,-1.5,,,0,中性,2009-05-21
2009-05-31,2009-06-20,-1.3713,,,0,中性,2009-06-22
2009-06-30,2009-07-20,-1.7,,,0,中性,2009-07-21
2009-07-31,2009-08-20,-1.8057,,,0,中性,2009-08-21
2009-08-31,2009-09-20,-1.2043,,,0,中性,2009-09-21
2009-09-30,2009-10-20,-0.7883,,,0,中性,2009-10-21
2009-10-31,2009-11-20,-0.53,,,0,中性,2009-11-23
2009-11-30,2009-12-20,0.56,,,0,中性,2009-12-21
2009-12-31,2010-01-20,1.8559,,,0,中性,2010-01-21
2010-01-31,2010-02-20,1.53,,,0,中性,2010-02-22
2010-02-28,2010-03-20,2.6953,,,0,中性,2010-03-22
2010-03-31,2010-04-20,2.3707,,,0,中性,2010-04-21
2010-04-30,2010-05-20,2.8136,,,0,中性,2010-05-21
2010-05-31,2010-06-20,3.0613,,,0,中性,2010-06-21
2010-06-30,2010-07-20,2.9499,,,0,中性,2010-07-21
2010-07-31,2010-08-20,3.3042,,,0,中性,2010-08-23
2010-08-31,2010-09-20,3.4794,,,0,中性,2010-09-21
2010-09-30,2010-10-20,3.6056,,,0,中性,2010-10-21
2010-10-31,2010-11-20,4.3655,,,0,中性,2010-11-22
2010-11-30,2010-12-20,5.1192,,,0,中性,2010-12-21
2010-12-31,2011-01-20,4.5859,,,0,中性,2011-01-21
2011-01-31,2011-02-20,4.9121,-1.4356499999999999,7.4003499999999995,0,中性,2011-02-21
2011-02-28,2011-03-20,4.9443,-1.42278,7.337159999999999,0,中性,2011-03-21
2011-03-31,2011-04-20,5.383,-1.40991,7.273970000000003,0,中性,2011-04-21
2011-04-30,2011-05-20,5.3442,-1.3970399999999998,7.2107800000000015,0,中性,2011-05-23
2011-05-31,2011-06-20,5.5146,-1.38417,7.147590000000001,0,中性,2011-06-21
2011-06-30,2011-07-20,6.3553,-1.3713,7.0844,0,中性,2011-07-21
2011-07-31,2011-08-20,6.4508,-1.3545999999999998,7.0837699999999995,0,中性,2011-08-22
2011-08-31,2011-09-20,6.1514,-1.3378999999999999,7.083139999999999,0,中性,2011-09-21
2011-09-30,2011-10-20,6.0671,-1.3212,7.08251,0,中性,2011-10-21
2011-10-31,2011-11-20,5.4954,-1.3045,7.08188,0,中性,2011-11-21
2011-11-30,2011-12-20,4.2246,-1.2877999999999998,7.08125,0,中性,2011-12-21
2011-12-31,2012-01-20,4.0704,-1.2711,7.08062,0,中性,2012-01-30
2012-01-31,2012-02-20,4.5485,-1.2544,7.07999,0,中性,2012-02-21
