date,ppi_available_date,ppi_yoy_pct,historical_q10,historical_q90,signal_score,signal_text,effective_date
2006-01-31,2006-02-20,3.05,,,0,中性,2007-01-15
2006-02-28,2006-03-20,3.01,,,0,中性,2007-01-15
2006-03-31,2006-04-20,2.49,,,0,中性,2007-01-15
2006-04-30,2006-05-20,1.87,,,0,中性,2007-01-15
2006-05-31,2006-06-20,2.43,,,0,中性,2007-01-15
2006-06-30,2006-07-20,3.52,,,0,中性,2007-01-15
2006-07-31,2006-08-20,3.58,,,0,中性,2007-01-15
2006-08-31,2006-09-20,3.4,,,0,中性,2007-01-15
2006-09-30,2006-10-20,3.45,,,0,中性,2007-01-15
2006-10-31,2006-11-20,2.9,,,0,中性,2007-01-15
2006-11-30,2006-12-20,2.78,,,0,中性,2007-01-15
2006-12-31,2007-01-20,3.05,,,0,中性,2007-01-22
2007-01-31,2007-02-20,3.3,,,0,中性,2007-02-26
2007-02-28,2007-03-20,2.6,,,0,中性,2007-03-21
2007-03-31,2007-04-20,2.65,,,0,中性,2007-04-23
2007-04-30,2007-05-20,2.87,,,0,中性,2007-05-21
2007-05-31,2007-06-20,2.76,,,0,中性,2007-06-21
2007-06-30,2007-07-20,2.49,,,0,中性,2007-07-23
2007-07-31,2007-08-20,2.39,,,0,中性,2007-08-21
2007-08-31,2007-09-20,2.56,,,0,中性,2007-09-21
2007-09-30,2007-10-20,2.71,,,0,中性,2007-10-22
2007-10-31,2007-11-20,3.21,,,0,中性,2007-11-21
2007-11-30,2007-12-20,4.55,,,0,中性,2007-12-21
2007-12-31,2008-01-20,5.43,,,0,中性,2008-01-21
2008-01-31,2008-02-20,6.07,,,0,中性,2008-02-21
2008-02-29,2008-03-20,6.62,,,0,中性,2008-03-21
2008-03-31,2008-04-20,7.95,,,0,中性,2008-04-21
2008-04-30,2008-05-20,8.12,,,0,中性,2008-05-21
2008-05-31,2008-06-20,8.22,,,0,中性,2008-06-23
2008-06-30,2008-07-20,8.84,,,0,中性,2008-07-21
2008-07-31,2008-08-20,10.03,,,0,中性,2008-08-21
2008-08-31,2008-09-20,10.06,,,0,中性,2008-09-22
2008-09-30,2008-10-20,9.13,,,0,中性,2008-10-21
2008-10-31,2008-11-20,6.59,,,0,中性,2008-11-21
2008-11-30,2008-12-20,1.99,,,0,中性,2008-12-22
2008-12-31,2009-01-20,-1.14,,,0,中性,2009-01-21
2009-01-31,2009-02-20,-3.35,2.41,8.530000000000001,1,看多：PPI处于历史低位,2009-02-23
2009-02-28,2009-03-20,-4.47,2.23,8.468,1,看多：PPI处于历史低位,2009-03-23
2009-03-31,2009-04-20,-5.99,1.954,8.406000000000002,1,看多：PPI处于历史低位,2009-04-21
2009-04-30,2009-05-20,-6.6,1.268000000000001,8.344000000000003,1,看多：PPI处于历史低位,2009-05-21
2009-05-31,2009-06-20,-7.2,-1.3609999999999993,8.282000000000002,1,看多：PPI处于历史低位,2009-06-22
2009-06-30,2009-07-20,-7.8,-3.35,8.22,1,看多：PPI处于历史低位,2009-07-21
