date,close,pe_ttm_index,bond_yield_10y_pct,known_date,cpi_chain_index,cpi_known,earnings,deflated_earnings,real_earnings_mean6y,shiller_pe,bond_yield_10y_decimal,shiller_erp,shiller_erp_pct,erp_z6y,erp_mean6y,erp_std6y,signal_score,signal_text,effective_date
2008-02-20,4898.786,38.7,4.1744,2008-02-20,101.2,101.2,126.58361757105942,1.2508262605835911,,,0.041744,,,,,,0,中性,2008-02-21
2008-02-21,4887.402,38.34,4.1818,2008-02-20,101.2,101.2,127.4752738654147,1.2596370935317658,,,0.041818,,,,,,0,中性,2008-02-22
2008-02-22,4726.048,37.0,4.16,2008-02-20,101.2,101.2,127.73102702702703,1.2621642986860377,,,0.0416,,,,,,0,中性,2008-02-25
2008-02-25,4550.376,35.46,4.1439,2008-02-20,101.2,101.2,128.32419627749576,1.2680256549159659,,,0.041439000000000004,,,,,,0,中性,2008-02-26
2008-02-26,4546.907,35.71,4.1413,2008-02-20,101.2,101.2,127.32867544105292,1.258188492500523,,,0.041413000000000005,,,,,,0,中性,2008-02-27
2008-02-27,4666.497,36.54,4.1436,2008-02-20,101.2,101.2,127.7092775041051,1.2619493824516315,,,0.041436,,,,,,0,中性,2008-02-28
2008-02-28,4655.413,36.21,4.1283,2008-02-20,101.2,101.2,128.5670533001933,1.2704254278675227,,,0.041283,,,,,,0,中性,2008-02-29
2008-02-29,4710.784,36.62,4.1283,2008-02-20,101.2,101.2,128.6396504642272,1.27114279114849,,,0.041283,,,,,,0,中性,2008-03-03
2008-03-03,4837.491,37.31,4.1285,2008-02-20,101.2,101.2,129.6566872152238,1.2811925614152548,,,0.041284999999999995,,,,,,0,中性,2008-03-04
2008-03-04,4737.37,36.37,4.1521,2008-02-20,101.2,101.2,130.2548803959307,1.2871035612246118,,,0.041521,,,,,,0,中性,2008-03-05
2008-03-05,4709.236,36.0,4.1635,2008-02-20,101.2,101.2,130.8121111111111,1.2926097935880543,,,0.041635,,,,,,0,中性,2008-03-06
2008-03-06,4754.867,36.54,4.1768,2008-02-20,101.2,101.2,130.12772304324028,1.2858470656446668,,,0.041768,,,,,,0,中性,2008-03-07
2008-03-07,4682.509,36.03,4.176,2008-02-20,101.2,101.2,129.96139328337497,1.2842034909424405,,,0.04176,,,,,,0,中性,2008-03-10
2008-03-10,4499.175,34.64,4.1768,2008-02-20,101.2,101.2,129.88380484988454,1.283436806817041,,,0.041768,,,,,,0,中性,2008-03-11
2008-03-11,4521.207,34.75,4.1953,2008-02-20,101.2,101.2,130.10667625899282,1.2856390934683084,,,0.041953,,,,,,0,中性,2008-03-12
2008-03-12,4390.253,33.96,4.1954,2008-02-20,101.2,101.2,129.27717903415783,1.277442480574682,,,0.041954000000000005,,,,,,0,中性,2008-03-13
2008-03-13,4263.017,33.11,4.17,2008-02-20,101.2,101.2,128.7531561461794,1.2722643887962393,,,0.0417,,,,,,0,中性,2008-03-14
2008-03-14,4225.52,33.0,4.15,2008-02-20,101.2,101.2,128.04606060606062,1.265277278716014,,,0.0415,,,,,,0,中性,2008-03-17
2008-03-17,3998.723,31.65,4.1248,2008-02-20,101.2,101.2,126.3419589257504,1.248438329305834,,,0.04124799999999999,,,,,,0,中性,2008-03-18
2008-03-18,3774.527,30.26,4.1151,2008-02-20,101.2,101.2,124.73651685393259,1.2325742772127726,,,0.041151,,,,,,0,中性,2008-03-19
2008-03-19,3912.312,30.94,4.075,2008-02-20,101.2,101.2,126.44835164835165,1.2494896407939886,,,0.04075,,,,,,0,中性,2008-03-20
2008-03-20,4036.766,31.13,4.08,2008-03-20,103.8312,103.8312,129.6744619338259,1.2488968819952568,,,0.0408,,,,,,0,中性,2008-03-21
2008-03-21,4077.19,31.12,4.08,2008-03-20,103.8312,103.8312,131.01510282776349,1.2618086165599887,,,0.0408,,,,,,0,中性,2008-03-24
2008-03-24,3917.608,29.7,4.077,2008-03-20,103.8312,103.8312,131.9059932659933,1.270388797066713,,,0.04077,,,,,,0,中性,2008-03-25
2008-03-25,3966.687,29.77,4.0511,2008-03-20,103.8312,103.8312,133.2444407121263,1.283279406499456,,,0.040511,,,,,,0,中性,2008-03-26
2008-03-26,3970.03,29.12,4.0404,2008-03-20,103.8312,103.8312,136.3334478021978,1.3130296847402112,,,0.040404,,,,,,0,中性,2008-03-27
2008-03-27,3791.774,27.57,4.0009,2008-03-20,103.8312,103.8312,137.53260790714543,1.3245788154923128,,,0.040008999999999996,,,,,,0,中性,2008-03-28
2008-03-28,3949.031,28.87,4.0116,2008-03-20,103.8312,103.8312,136.7866643574645,1.3173946208602474,,,0.040116,,,,,,0,中性,2008-03-31
2008-03-31,3807.592,28.0,4.046,2008-03-20,103.8312,103.8312,135.98542857142857,1.3096779057877457,,,0.04046,,,,,,0,中性,2008-04-01
2008-04-01,3573.398,26.77,4.0563,2008-03-20,103.8312,103.8312,133.48516996638028,1.285597873918247,,,0.040563,,,,,,0,中性,2008-04-02
2008-04-02,3502.332,26.91,4.0517,2008-03-20,103.8312,103.8312,130.14983277591972,1.2534751864171823,,,0.040517000000000004,,,,,,0,中性,2008-04-03
2008-04-03,3600.896,27.73,4.0444,2008-03-20,103.8312,103.8312,129.85560764514966,1.2506414993291965,,,0.04044400000000001,,,,,,0,中性,2008-04-07
2008-04-07,3802.399,29.35,4.045,2008-03-20,103.8312,103.8312,129.55362862010222,1.247733134357517,,,0.04045,,,,,,0,中性,2008-04-08
2008-04-08,3856.094,29.46,4.0451,2008-03-20,103.8312,103.8312,130.89253224711473,1.2606281372758354,,,0.040450999999999994,,,,,,0,中性,2008-04-09
2008-04-09,3652.899,27.89,4.0451,2008-03-20,103.8312,103.8312,130.97522409465756,1.2614245438236058,,,0.040450999999999994,,,,,,0,中性,2008-04-10
2008-04-10,3727.814,28.27,4.0405,2008-03-20,103.8312,103.8312,131.86466218606296,1.2699907367541063,,,0.040404999999999996,,,,,,0,中性,2008-04-11
2008-04-11,3762.997,28.42,4.0457,2008-03-20,103.8312,103.8312,132.40665024630542,1.2752106327029393,,,0.040457,,,,,,0,中性,2008-04-14
2008-04-14,3516.39,26.77,4.0436,2008-03-20,103.8312,103.8312,131.35562196488607,1.2650881619868217,,,0.040436,,,,,,0,中性,2008-04-15
2008-04-15,3577.803,27.19,4.0244,2008-03-20,103.8312,103.8312,131.5852519308569,1.2672997319770638,,,0.040244,,,,,,0,中性,2008-04-16
2008-04-16,3489.343,26.7,4.0184,2008-03-20,103.8312,103.8312,130.68700374531835,1.2586486888846353,,,0.040184,,,,,,0,中性,2008-04-17
2008-04-17,3379.924,26.11,4.0185,2008-03-20,103.8312,103.8312,129.44940635771735,1.2467293680292375,,,0.040185000000000005,,,,,,0,中性,2008-04-18
2008-04-18,3254.087,25.02,4.0085,2008-03-20,103.8312,103.8312,130.05943245403677,1.2526045394258833,,,0.040084999999999996,,,,,,0,中性,2008-04-21
2008-04-21,3245.128,25.07,4.0087,2008-04-20,103.1043816,103.1043816,129.44268049461508,1.255452760453927,,,0.040087000000000005,,,,,,0,中性,2008-04-22
2008-04-22,3256.979,25.2,4.009,2008-04-20,103.1043816,103.1043816,129.24519841269841,1.253537399740327,,,0.04009,,,,,,0,中性,2008-04-23
2008-04-23,3409.826,25.53,4.0244,2008-04-20,103.1043816,103.1043816,133.56153544849195,1.2954011592509465,,,0.040244,,,,,,0,中性,2008-04-24
2008-04-24,3725.792,27.84,4.0601,2008-04-20,103.1043816,103.1043816,133.8287356321839,1.2979927094794186,,,0.040601000000000005,,,,,,0,中性,2008-04-25
2008-04-25,3755.087,27.45,4.0654,2008-04-20,103.1043816,103.1043816,136.79734061930785,1.326784938684971,,,0.040654,,,,,,0,中性,2008-04-28
2008-04-28,3692.087,27.3,4.0707,2008-04-20,103.1043816,103.1043816,135.24128205128204,1.3116928684559614,,,0.04070700000000001,,,,,,0,中性,2008-04-29
2008-04-29,3735.556,27.52,4.0736,2008-04-20,103.1043816,103.1043816,135.73968023255813,1.3165267869911568,,,0.040736,,,,,,0,中性,2008-04-30
2008-04-30,3907.596,28.15,4.0725,2008-04-20,103.1043816,103.1043816,138.8133570159858,1.3463380979726063,,,0.040725,,,,,,0,中性,2008-05-05
2008-05-05,4011.998,28.69,4.0631,2008-04-20,103.1043816,103.1043816,139.83959567793656,1.3562914932214343,,,0.040631,,,,,,0,中性,2008-05-06
2008-05-06,3973.968,28.42,4.0632,2008-04-20,103.1043816,103.1043816,139.82997888810695,1.3561982208533703,,,0.040632,,,,,,0,中性,2008-05-07
2008-05-07,3789.483,27.22,4.135,2008-04-20,103.1043816,103.1043816,139.21686260102868,1.350251661865636,,,0.04135,,,,,,0,中性,2008-05-08
2008-05-08,3898.915,27.78,4.1253,2008-04-20,103.1043816,103.1043816,140.34971202303814,1.361239065159556,,,0.041253000000000005,,,,,,0,中性,2008-05-09
2008-05-09,3863.434,27.45,4.121,2008-04-20,103.1043816,103.1043816,140.74440801457197,1.3650671856080652,,,0.041210000000000004,,,,,,0,中性,2008-05-12
2008-05-12,3901.451,27.57,4.1517,2008-04-20,103.1043816,103.1043816,141.51073630758071,1.3724997338772722,,,0.041517,,,,,,0,中性,2008-05-13
2008-05-13,3862.333,27.12,4.1486,2008-04-20,103.1043816,103.1043816,142.41640855457226,1.3812837664560733,,,0.041486,,,,,,0,中性,2008-05-14
2008-05-14,3977.752,27.88,4.1653,2008-04-20,103.1043816,103.1043816,142.67403156384506,1.3837824285427367,,,0.041653,,,,,,0,中性,2008-05-15
2008-05-15,3948.276,27.72,4.1691,2008-04-20,103.1043816,103.1043816,142.43419913419913,1.3814563156664055,,,0.041691000000000006,,,,,,0,中性,2008-05-16
2008-05-16,3926.206,27.6,4.1493,2008-04-20,103.1043816,103.1043816,142.25384057971013,1.379707034484654,,,0.041493,,,,,,0,中性,2008-05-19
2008-05-19,3908.733,27.43,4.1669,2008-04-20,103.1043816,103.1043816,142.49846882974845,1.3820796615858706,,,0.041669,,,,,,0,中性,2008-05-20
2008-05-20,3696.101,26.18,4.1676,2008-05-20,103.21140394810082,103.21140394810082,141.1803284950344,1.3678752840725428,,,0.041676000000000005,,,,,,0,中性,2008-05-21
2008-05-21,3772.488,26.95,4.1677,2008-05-20,103.21140394810082,103.21140394810082,139.98100185528756,1.3562551859644898,,,0.041677,,,,,,0,中性,2008-05-22
2008-05-22,3709.013,26.46,4.1631,2008-05-20,103.21140394810082,103.21140394810082,140.17433862433862,1.35812839727308,,,0.041631,,,,,,0,中性,2008-05-23
2008-05-23,3671.868,26.37,4.1632,2008-05-20,103.21140394810082,103.21140394810082,139.24414106939705,1.349115850990798,,,0.041631999999999995,,,,,,0,中性,2008-05-26
2008-05-26,3560.334,25.56,4.1636,2008-05-20,103.21140394810082,103.21140394810082,139.29319248826292,1.3495911029202314,,,0.041636,,,,,,0,中性,2008-05-27
2008-05-27,3576.673,25.65,4.1618,2008-05-20,103.21140394810082,103.21140394810082,139.4414424951267,1.3510274752705032,,,0.041618,,,,,,0,中性,2008-05-28
2008-05-28,3676.505,26.3,4.1676,2008-05-20,103.21140394810082,103.21140394810082,139.79106463878327,1.3544149124168128,,,0.041676000000000005,,,,,,0,中性,2008-05-29
2008-05-29,3581.513,25.85,4.1636,2008-05-20,103.21140394810082,103.21140394810082,138.54982591876208,1.3423887343731022,,,0.041636,,,,,,0,中性,2008-05-30
2008-05-30,3606.496,26.09,4.1589,2008-05-20,103.21140394810082,103.21140394810082,138.23288616328097,1.339317952043269,,,0.041589,,,,,,0,中性,2008-06-02
2008-06-02,3624.728,26.27,4.1626,2008-05-20,103.21140394810082,103.21140394810082,137.97974876284735,1.336865341277884,,,0.041626,,,,,,0,中性,2008-06-03
2008-06-03,3611.98,26.1,4.1588,2008-05-20,103.21140394810082,103.21140394810082,138.39003831417625,1.3408405759480297,,,0.041588,,,,,,0,中性,2008-06-04
2008-06-04,3545.491,25.64,4.1589,2008-05-20,103.21140394810082,103.21140394810082,138.27968018720748,1.3397713324076137,,,0.041589,,,,,,0,中性,2008-06-05
2008-06-05,3508.515,25.49,4.1591,2008-05-20,103.21140394810082,103.21140394810082,137.64280109847,1.3336007052833305,,,0.041590999999999996,,,,,,0,中性,2008-06-06
2008-06-06,3485.043,25.32,4.1617,2008-05-20,103.21140394810082,103.21140394810082,137.6399289099526,1.3335728770743582,,,0.041616999999999994,,,,,,0,中性,2008-06-10
2008-06-10,3197.554,23.35,4.2069,2008-05-20,103.21140394810082,103.21140394810082,136.94021413276232,1.326793444275032,,,0.042069,,,,,,0,中性,2008-06-11
2008-06-11,3127.727,22.93,4.3193,2008-05-20,103.21140394810082,103.21140394810082,136.4032708242477,1.3215910801178248,,,0.043193,,,,,,0,中性,2008-06-12
2008-06-12,3078.275,22.44,4.3009,2008-05-20,103.21140394810082,103.21140394810082,137.1780303030303,1.3290976099114917,,,0.043009000000000006,,,,,,0,中性,2008-06-13
2008-06-13,2963.704,21.76,4.3128,2008-05-20,103.21140394810082,103.21140394810082,136.19963235294117,1.3196180571424865,,,0.043128,,,,,,0,中性,2008-06-16
2008-06-16,2928.393,21.82,4.3179,2008-05-20,103.21140394810082,103.21140394810082,134.20682859761686,1.3003100768312568,,,0.043178999999999995,,,,,,0,中性,2008-06-17
2008-06-17,2803.335,21.2,4.3354,2008-05-20,103.21140394810082,103.21140394810082,132.23278301886793,1.2811838417134633,,,0.043354,,,,,,0,中性,2008-06-18
2008-06-18,2953.031,22.32,4.3356,2008-05-20,103.21140394810082,103.21140394810082,132.30425627240143,1.281876335476744,,,0.043356000000000006,,,,,,0,中性,2008-06-19
2008-06-19,2730.358,20.87,4.3358,2008-05-20,103.21140394810082,103.21140394810082,130.82692860565405,1.267562726609547,,,0.043358,,,,,,0,中性,2008-06-20
2008-06-20,2802.932,21.49,4.4213,2008-06-20,102.79855833230842,102.79855833230842,130.42959516053978,1.2687881744305283,,,0.044212999999999995,,,,,,0,中性,2008-06-23
2008-06-23,2746.69,20.94,4.4716,2008-06-20,102.79855833230842,102.79855833230842,131.16953199617956,1.275986104514799,,,0.044716,,,,,,0,中性,2008-06-24
2008-06-24,2813.829,21.26,4.4626,2008-06-20,102.79855833230842,102.79855833230842,132.35319849482596,1.2875005315442138,,,0.044626,,,,,,0,中性,2008-06-25
2008-06-25,2939.437,22.05,4.4582,2008-06-20,102.79855833230842,102.79855833230842,133.30780045351474,1.2967866730443984,,,0.044582,,,,,,0,中性,2008-06-26
2008-06-26,2956.088,22.01,4.5182,2008-06-20,102.79855833230842,102.79855833230842,134.30658791458427,1.3065026406345355,,,0.045182,,,,,,0,中性,2008-06-27
2008-06-27,2782.994,20.82,4.558,2008-06-20,102.79855833230842,102.79855833230842,133.66926032660905,1.300302868980978,,,0.045579999999999996,,,,,,0,中性,2008-06-30
2008-06-30,2768.773,20.71,4.5285,2008-06-20,102.79855833230842,102.79855833230842,133.69256397875424,1.3005295613833154,,,0.045285,,,,,,0,中性,2008-07-01
2008-07-01,2685.272,20.19,4.5309,2008-06-20,102.79855833230842,102.79855833230842,133.00009905894007,1.293793426839719,,,0.045309,,,,,,0,中性,2008-07-02
2008-07-02,2695.579,20.12,4.536,2008-06-20,102.79855833230842,102.79855833230842,133.97509940357853,1.303277999001584,,,0.04536,,,,,,0,中性,2008-07-03
2008-07-03,2769.984,20.48,4.5311,2008-06-20,102.79855833230842,102.79855833230842,135.25312499999998,1.3157103289598515,,,0.045311000000000004,,,,,,0,中性,2008-07-04
2008-07-04,2755.109,20.25,4.5313,2008-06-20,102.79855833230842,102.79855833230842,136.05476543209875,1.3235084969994009,,,0.045313,,,,,,0,中性,2008-07-07
2008-07-07,2897.228,21.19,4.5529,2008-06-20,102.79855833230842,102.79855833230842,136.72619159981122,1.3300399715512325,,,0.045529,,,,,,0,中性,2008-07-08
2008-07-08,2921.856,21.34,4.5331,2008-06-20,102.79855833230842,102.79855833230842,136.91921274601688,1.3319176354926052,,,0.045331,,,,,,0,中性,2008-07-09
2008-07-09,3028.073,22.16,4.5059,2008-06-20,102.79855833230842,102.79855833230842,136.64589350180503,1.3292588506940062,,,0.045058999999999995,,,,,,0,中性,2008-07-10
2008-07-10,2980.563,21.85,4.4725,2008-06-20,102.79855833230842,102.79855833230842,136.41020594965676,1.326966138072625,,,0.044725,,,,,,0,中性,2008-07-11
2008-07-11,2960.628,21.69,4.4562,2008-06-20,102.79855833230842,102.79855833230842,136.49737206085754,1.3278140693336744,,,0.044562,,,,,,0,中性,2008-07-14
2008-07-14,2991.526,21.85,4.4328,2008-06-20,102.79855833230842,102.79855833230842,136.91194508009153,1.3318469373617827,,,0.044328000000000006,,,,,,0,中性,2008-07-15
2008-07-15,2876.086,21.06,4.4332,2008-06-20,102.79855833230842,102.79855833230842,136.56628679962014,1.3284844555713864,,,0.044332,,,,,,0,中性,2008-07-16
2008-07-16,2759.566,20.49,4.4338,2008-06-20,102.79855833230842,102.79855833230842,134.67867252318203,1.3101221914787695,,,0.044337999999999995,,,,,,0,中性,2008-07-17
2008-07-17,2731.777,20.36,4.434,2008-06-20,102.79855833230842,102.79855833230842,134.17372298624755,1.30521016211643,,,0.044340000000000004,,,,,,0,中性,2008-07-18
2008-07-18,2828.218,21.05,4.4236,2008-06-20,102.79855833230842,102.79855833230842,134.35714964370544,1.3069944931462965,,,0.044236000000000004,,,,,,0,中性,2008-07-21
2008-07-21,2928.552,21.69,4.419,2008-07-20,102.5929612156438,102.5929612156438,135.01853388658367,1.3160604030405498,,,0.04418999999999999,,,,,,0,中性,2008-07-22
2008-07-22,2925.706,21.57,4.4135,2008-07-20,102.5929612156438,102.5929612156438,135.63773759851645,1.3220959410013975,,,0.044135,,,,,,0,中性,2008-07-23
2008-07-23,2903.3,21.53,4.4136,2008-07-20,102.5929612156438,102.5929612156438,134.84904784022294,1.3144083789216194,,,0.044135999999999995,,,,,,0,中性,2008-07-24
2008-07-24,2993.178,22.07,4.4137,2008-07-20,102.5929612156438,102.5929612156438,135.622020842773,1.3219427457377337,,,0.044137,,,,,,0,中性,2008-07-25
2008-07-25,2957.336,21.73,4.4342,2008-07-20,102.5929612156438,102.5929612156438,136.0946157386102,1.326549249831556,,,0.044342,,,,,,0,中性,2008-07-28
