date,northbound_net_buy_100m,mean120,std120,upper,lower,trigger,signal_score,signal_text,effective_date
2014-11-17,120.8233,,,,,,0,中性状态,2014-11-18
2014-11-18,47.1967,,,,,,0,中性状态,2014-11-19
2014-11-19,24.9677,,,,,,0,中性状态,2014-11-20
2014-11-20,21.4194,,,,,,0,中性状态,2014-11-21
2014-11-21,21.9953,,,,,,0,中性状态,2014-11-24
2014-11-24,58.5647,,,,,,0,中性状态,2014-11-25
2014-11-25,27.500300000000003,,,,,,0,中性状态,2014-11-26
2014-11-26,31.9261,,,,,,0,中性状态,2014-11-27
2014-11-27,28.6866,,,,,,0,中性状态,2014-11-28
2014-11-28,22.4622,,,,,,0,中性状态,2014-12-01
2014-12-01,13.1782,,,,,,0,中性状态,2014-12-02
2014-12-02,31.1533,,,,,,0,中性状态,2014-12-03
2014-12-03,36.849,,,,,,0,中性状态,2014-12-04
2014-12-04,33.5898,,,,,,0,中性状态,2014-12-05
2014-12-05,24.495700000000003,,,,,,0,中性状态,2014-12-08
2014-12-08,14.1599,,,,,,0,中性状态,2014-12-09
2014-12-09,10.2419,,,,,,0,中性状态,2014-12-10
2014-12-10,18.3643,,,,,,0,中性状态,2014-12-11
2014-12-11,9.1477,,,,,,0,中性状态,2014-12-12
2014-12-12,16.924500000000002,,,,,,0,中性状态,2014-12-15
2014-12-15,9.3615,,,,,,0,中性状态,2014-12-16
2014-12-16,12.2584,,,,,,0,中性状态,2014-12-17
2014-12-17,4.8908,,,,,,0,中性状态,2014-12-18
2014-12-18,18.2988,,,,,,0,中性状态,2014-12-19
2014-12-19,8.6222,,,,,,0,中性状态,2014-12-22
2014-12-22,13.2383,,,,,,0,中性状态,2014-12-23
2014-12-23,5.8668,,,,,,0,中性状态,2014-12-24
2014-12-29,6.6912,,,,,,0,中性状态,2014-12-30
2014-12-30,-6.9615,,,,,,0,中性状态,2014-12-31
2014-12-31,-0.2084,,,,,,0,中性状态,2015-01-05
2015-01-05,20.0227,,,,,,0,中性状态,2015-01-06
2015-01-06,-0.2314999999999999,,,,,,0,中性状态,2015-01-07
2015-01-07,3.4208,,,,,,0,中性状态,2015-01-08
2015-01-08,0.5783,,,,,,0,中性状态,2015-01-09
2015-01-09,14.5318,,,,,,0,中性状态,2015-01-12
2015-01-12,-12.7347,,,,,,0,中性状态,2015-01-13
2015-01-13,-2.5069,,,,,,0,中性状态,2015-01-14
2015-01-14,5.938400000000001,,,,,,0,中性状态,2015-01-15
2015-01-15,7.0523,,,,,,0,中性状态,2015-01-16
2015-01-16,1.2676,,,,,,0,中性状态,2015-01-19
2015-01-19,-3.4306,,,,,,0,中性状态,2015-01-20
2015-01-20,21.4523,,,,,,0,中性状态,2015-01-21
2015-01-21,19.2566,,,,,,0,中性状态,2015-01-22
2015-01-22,1.5143,,,,,,0,中性状态,2015-01-23
2015-01-23,2.6152,,,,,,0,中性状态,2015-01-26
2015-01-26,3.9634,,,,,,0,中性状态,2015-01-27
2015-01-27,9.0335,,,,,,0,中性状态,2015-01-28
2015-01-28,11.4192,,,,,,0,中性状态,2015-01-29
2015-01-29,9.7546,,,,,,0,中性状态,2015-01-30
2015-01-30,0.2959,,,,,,0,中性状态,2015-02-02
2015-02-02,1.7846000000000002,,,,,,0,中性状态,2015-02-03
2015-02-03,27.0,,,,,,0,中性状态,2015-02-04
2015-02-04,10.961,,,,,,0,中性状态,2015-02-05
2015-02-05,28.3328,,,,,,0,中性状态,2015-02-06
2015-02-06,1.6066,,,,,,0,中性状态,2015-02-09
2015-02-09,11.1839,,,,,,0,中性状态,2015-02-10
2015-02-10,16.290499999999998,,,,,,0,中性状态,2015-02-11
2015-02-11,13.8157,,,,,,0,中性状态,2015-02-12
2015-02-12,11.5982,,,,,,0,中性状态,2015-02-13
2015-02-13,19.144,,,,,,0,中性状态,2015-02-16
2015-02-16,1.2378,,,,,,0,中性状态,2015-02-17
