date,close,ma10,ma30,ma60,bull_alignment,bear_alignment_supplement,signal_score,signal_text,effective_date
2007-01-15,2197.14,,,,False,False,0,未触发多头排列,2007-01-16
2007-01-16,2263.73,,,,False,False,0,未触发多头排列,2007-01-17
2007-01-17,2225.5,,,,False,False,0,未触发多头排列,2007-01-18
2007-01-18,2244.06,,,,False,False,0,未触发多头排列,2007-01-19
2007-01-19,2321.36,,,,False,False,0,未触发多头排列,2007-01-22
2007-01-22,2417.01,,,,False,False,0,未触发多头排列,2007-01-23
2007-01-23,2430.22,,,,False,False,0,未触发多头排列,2007-01-24
2007-01-24,2456.74,,,,False,False,0,未触发多头排列,2007-01-25
2007-01-25,2367.27,,,,False,False,0,未触发多头排列,2007-01-26
2007-01-26,2415.02,2333.805,,,False,False,0,未触发多头排列,2007-01-29
2007-01-29,2481.14,2362.205,,,False,False,0,未触发多头排列,2007-01-30
2007-01-30,2461.32,2381.964,,,False,False,0,未触发多头排列,2007-01-31
2007-01-31,2309.14,2390.328,,,False,False,0,未触发多头排列,2007-02-01
2007-02-01,2322.05,2398.127,,,False,False,0,未触发多头排列,2007-02-02
2007-02-02,2240.11,2390.002,,,False,False,0,未触发多头排列,2007-02-05
2007-02-05,2226.79,2370.98,,,False,False,0,未触发多头排列,2007-02-06
2007-02-06,2271.17,2355.075,,,False,False,0,未触发多头排列,2007-02-07
2007-02-07,2321.07,2341.5080000000003,,,False,False,0,未触发多头排列,2007-02-08
2007-02-08,2361.53,2340.934,,,False,False,0,未触发多头排列,2007-02-09
2007-02-09,2353.79,2334.811,,,False,False,0,未触发多头排列,2007-02-12
2007-02-12,2432.79,2329.976,,,False,False,0,未触发多头排列,2007-02-13
2007-02-13,2471.23,2330.967,,,False,False,0,未触发多头排列,2007-02-14
2007-02-14,2533.05,2353.3579999999997,,,False,False,0,未触发多头排列,2007-02-15
2007-02-15,2611.84,2382.337,,,False,False,0,未触发多头排列,2007-02-16
2007-02-16,2625.09,2420.835,,,False,False,0,未触发多头排列,2007-02-26
2007-02-26,2673.16,2465.472,,,False,False,0,未触发多头排列,2007-02-27
2007-02-27,2428.06,2481.161,,,False,False,0,未触发多头排列,2007-02-28
2007-02-28,2519.74,2501.028,,,False,False,0,未触发多头排列,2007-03-01
2007-03-01,2453.43,2510.218,,,False,False,0,未触发多头排列,2007-03-02
2007-03-02,2490.61,2523.9,2397.5053333333335,,False,False,0,未触发多头排列,2007-03-05
2007-03-05,2467.99,2527.42,2406.5336666666667,,False,False,0,未触发多头排列,2007-03-06
2007-03-06,2502.27,2530.524,2414.485,,False,False,0,未触发多头排列,2007-03-07
2007-03-07,2569.82,2534.201,2425.962333333334,,False,False,0,未触发多头排列,2007-03-08
2007-03-08,2611.76,2534.193,2438.219,,False,False,0,未触发多头排列,2007-03-09
2007-03-09,2600.46,2531.73,2447.522333333334,,False,False,0,未触发多头排列,2007-03-12
2007-03-12,2618.58,2526.272,2454.241333333333,,False,False,0,未触发多头排列,2007-03-13
2007-03-13,2644.15,2547.881,2461.3723333333332,,False,False,0,未触发多头排列,2007-03-14
2007-03-14,2607.61,2556.668,2466.4013333333337,,False,False,0,未触发多头排列,2007-03-15
2007-03-15,2656.46,2576.9710000000005,2476.0409999999997,,False,False,0,未触发多头排列,2007-03-16
2007-03-16,2613.28,2589.2380000000003,2482.6496666666662,,False,False,0,未触发多头排列,2007-03-19
2007-03-19,2664.51,2608.8900000000003,2488.762,,False,False,0,未触发多头排列,2007-03-20
2007-03-20,2689.09,2627.572,2496.3543333333337,,False,False,0,未触发多头排列,2007-03-21
2007-03-21,2723.28,2642.918,2510.159,,False,False,0,未触发多头排列,2007-03-22
2007-03-22,2730.32,2654.7740000000003,2523.7680000000005,,False,False,0,未触发多头排列,2007-03-23
2007-03-23,2743.1,2669.038,2540.5343333333335,,False,False,0,未触发多头排列,2007-03-26
2007-03-26,2801.23,2687.303,2559.682333333333,,False,False,0,未触发多头排列,2007-03-27
2007-03-27,2828.61,2705.749,2578.2636666666667,,False,False,0,未触发多头排列,2007-03-28
2007-03-28,2830.08,2727.996,2595.230666666667,,False,False,0,未触发多头排列,2007-03-29
2007-03-29,2792.34,2741.584,2609.5910000000003,,False,False,0,未触发多头排列,2007-03-30
2007-03-30,2798.94,2760.15,2624.4293333333335,,False,False,0,未触发多头排列,2007-04-02
2007-04-02,2866.62,2780.361,2638.8903333333337,,False,False,0,未触发多头排列,2007-04-03
2007-04-03,2907.06,2802.1580000000004,2653.418,,False,False,0,未触发多头排列,2007-04-10
2007-04-10,3105.6,2840.3900000000003,2672.503,,False,False,0,未触发多头排列,2007-04-11
2007-04-11,3147.18,2882.076,2690.3476666666666,,False,False,0,未触发多头排列,2007-04-12
2007-04-12,3207.5,2928.516,2709.7613333333334,,False,False,0,未触发多头排列,2007-04-13
2007-04-13,3195.01,2967.8940000000002,2727.156333333333,,False,False,0,未触发多头排列,2007-04-16
2007-04-16,3284.33,3013.466,2755.698666666666,,False,False,0,未触发多头排列,2007-04-17
2007-04-17,3329.67,3063.425,2782.6963333333333,,False,False,0,未触发多头排列,2007-04-18
2007-04-18,3367.84,3120.975,2813.1766666666667,,False,False,0,未触发多头排列,2007-04-19
2007-04-19,3200.01,3161.082,2836.8233333333333,2617.1643333333336,True,False,1,看多：10/30/60日均线多头排列,2007-04-20
2007-04-20,3347.79,3209.1989999999996,2866.1500000000005,2636.341833333333,True,False,1,看多：10/30/60日均线多头排列,2007-04-23
2007-04-23,3495.23,3268.016,2899.248666666667,2656.8668333333335,True,False,1,看多：10/30/60日均线多头排列,2007-04-24
2007-04-24,3515.2,3308.9759999999997,2930.7613333333334,2678.361833333334,True,False,1,看多：10/30/60日均线多头排列,2007-04-25
2007-04-25,3513.5,3345.608,2960.8193333333334,2699.519166666667,True,False,1,看多：10/30/60日均线多头排列,2007-04-26
2007-04-26,3559.23,3380.7810000000004,2992.778333333333,2720.150333333333,True,False,1,看多：10/30/60日均线多头排列,2007-04-27
2007-04-27,3540.14,3415.2940000000003,3023.4970000000003,2738.869166666667,True,False,1,看多：10/30/60日均线多头排列,2007-04-30
2007-04-30,3620.35,3448.8959999999997,3056.037,2758.7046666666665,True,False,1,看多：10/30/60日均线多头排列,2007-05-08
2007-05-08,3761.52,3492.0809999999997,3094.500666666667,2780.451,True,False,1,看多：10/30/60日均线多头排列,2007-05-09
2007-05-09,3774.91,3532.7879999999996,3131.7823333333336,2803.911666666667,True,False,1,看多：10/30/60日均线多头排列,2007-05-10
2007-05-10,3799.39,3592.726,3171.3193333333334,2826.9845,True,False,1,看多：10/30/60日均线多头排列,2007-05-11
2007-05-11,3778.42,3635.7889999999998,3208.449666666667,2848.6058333333335,True,False,1,看多：10/30/60日均线多头排列,2007-05-14
