date,dividend_yield_1_pct,dividend_yield_2_pct,signal_score,signal_text,effective_date
2026-06-26,2.33,1.91,,不评分：历史长度及字段定义不足,2026-06-29
2026-06-29,2.31,1.89,,不评分：历史长度及字段定义不足,2026-06-30
2026-06-30,2.22,1.8,,不评分：历史长度及字段定义不足,2026-07-01
2026-07-01,2.22,1.81,,不评分：历史长度及字段定义不足,2026-07-02
2026-07-02,2.28,1.87,,不评分：历史长度及字段定义不足,2026-07-03
2026-07-03,2.27,1.86,,不评分：历史长度及字段定义不足,2026-07-06
2026-07-06,2.27,1.86,,不评分：历史长度及字段定义不足,2026-07-07
2026-07-07,2.29,1.88,,不评分：历史长度及字段定义不足,2026-07-08
2026-07-08,2.3,1.9,,不评分：历史长度及字段定义不足,2026-07-09
2026-07-09,2.26,1.85,,不评分：历史长度及字段定义不足,2026-07-10
2026-07-10,2.29,1.89,,不评分：历史长度及字段定义不足,2026-07-13
2026-07-13,2.34,1.94,,不评分：历史长度及字段定义不足,2026-07-14
2026-07-14,2.3,1.9,,不评分：历史长度及字段定义不足,2026-07-15
2026-07-15,2.3,1.91,,不评分：历史长度及字段定义不足,2026-07-16
2026-07-16,2.34,1.95,,不评分：历史长度及字段定义不足,2026-07-17
2026-07-17,2.42,2.03,,不评分：历史长度及字段定义不足,2026-07-20
2026-07-20,2.38,2.02,,不评分：历史长度及字段定义不足,2026-07-21
2026-07-21,2.33,1.94,,不评分：历史长度及字段定义不足,2026-07-22
2026-07-22,2.33,1.95,,不评分：历史长度及字段定义不足,2026-07-23
2026-07-23,2.33,1.95,,不评分：历史长度及字段定义不足,2026-07-24
