date,close,ma10,ma60,distance_pct,signal_score,signal_text,effective_date
2005-01-04,983.895,,,,0,震荡,2005-01-05
2005-01-05,995.576,,,,0,震荡,2005-01-06
2005-01-06,986.216,,,,0,震荡,2005-01-07
2005-01-07,987.693,,,,0,震荡,2005-01-10
2005-01-10,997.186,,,,0,震荡,2005-01-11
2005-01-11,1000.098,,,,0,震荡,2005-01-12
2005-01-12,999.915,,,,0,震荡,2005-01-13
2005-01-13,1001.231,,,,0,震荡,2005-01-14
2005-01-14,991.409,,,,0,震荡,2005-01-17
2005-01-17,969.922,991.3140999999999,,,0,震荡,2005-01-18
2005-01-18,979.139,990.8385000000001,,,0,震荡,2005-01-19
2005-01-19,972.369,988.5178,,,0,震荡,2005-01-20
2005-01-20,960.598,985.9559999999999,,,0,震荡,2005-01-21
2005-01-21,983.888,985.5755000000001,,,0,震荡,2005-01-24
2005-01-24,1000.703,985.9271999999999,,,0,震荡,2005-01-25
2005-01-25,998.001,985.7175,,,0,震荡,2005-01-26
2005-01-26,989.061,984.6321,,,0,震荡,2005-01-27
2005-01-27,973.434,981.8524000000001,,,0,震荡,2005-01-28
2005-01-28,964.026,979.1141000000001,,,0,震荡,2005-01-31
2005-01-31,945.237,976.6456000000001,,,0,震荡,2005-02-01
2005-02-01,943.24,973.0556999999999,,,0,震荡,2005-02-02
2005-02-02,994.212,975.24,,,0,震荡,2005-02-03
2005-02-03,979.041,977.0843000000001,,,0,震荡,2005-02-04
2005-02-04,1000.775,978.7729999999999,,,0,震荡,2005-02-16
2005-02-16,1008.572,979.5599,,,0,震荡,2005-02-17
2005-02-17,1007.811,980.5409,,,0,震荡,2005-02-18
2005-02-18,993.838,981.0186,,,0,震荡,2005-02-21
2005-02-21,1012.737,984.9489,,,0,震荡,2005-02-22
2005-02-22,1035.251,992.0714,,,0,震荡,2005-02-23
2005-02-23,1036.707,1001.2184000000001,,,0,震荡,2005-02-24
2005-02-24,1039.191,1010.8135,,,0,震荡,2005-02-25
2005-02-25,1040.062,1015.3985,,,0,震荡,2005-02-28
2005-02-28,1034.234,1020.9177999999999,,,0,震荡,2005-03-01
2005-03-01,1031.482,1023.9885,,,0,震荡,2005-03-02
2005-03-02,1016.601,1024.7914,,,0,震荡,2005-03-03
2005-03-03,1022.691,1026.2794,,,0,震荡,2005-03-04
2005-03-04,1017.494,1028.645,,,0,震荡,2005-03-07
2005-03-07,1023.007,1029.672,,,0,震荡,2005-03-08
2005-03-08,1043.097,1030.4566,,,0,震荡,2005-03-09
2005-03-09,1042.302,1031.0161,,,0,震荡,2005-03-10
2005-03-10,1017.261,1028.8231,,,0,震荡,2005-03-11
2005-03-11,1021.87,1027.0039000000002,,,0,震荡,2005-03-14
2005-03-14,1023.919,1025.9724,,,0,震荡,2005-03-15
2005-03-15,1007.543,1023.5785,,,0,震荡,2005-03-16
2005-03-16,997.285,1021.6469,,,0,震荡,2005-03-17
2005-03-17,986.222,1018.0,,,0,震荡,2005-03-18
2005-03-18,969.983,1013.2488999999999,,,0,震荡,2005-03-21
2005-03-21,972.291,1008.1773,,,0,震荡,2005-03-22
2005-03-22,951.743,999.0418999999999,,,0,震荡,2005-03-23
2005-03-23,948.301,989.6418000000001,,,0,震荡,2005-03-24
2005-03-24,955.399,983.4556,,,0,震荡,2005-03-25
2005-03-25,953.561,976.6247,,,0,震荡,2005-03-28
2005-03-28,949.518,969.1845999999999,,,0,震荡,2005-03-29
2005-03-29,943.929,962.8232,,,0,震荡,2005-03-30
2005-03-30,922.947,955.3894,,,0,震荡,2005-03-31
2005-03-31,928.649,949.6321,,,0,震荡,2005-04-01
2005-04-01,963.238,948.9576000000001,,,0,震荡,2005-04-04
2005-04-04,946.868,946.4153,,,0,震荡,2005-04-05
2005-04-05,939.794,945.2204000000002,,,0,震荡,2005-04-06
2005-04-06,957.448,946.1350999999999,989.3285166666667,-4.365932644112791,-1,看空：短均线低于长均线3%以上,2005-04-07
2005-04-07,969.137,947.5089,989.08255,-4.203253813344487,-1,看空：短均线低于长均线3%以上,2005-04-08
2005-04-08,987.353,950.8880999999999,988.9455,-3.8482808203283314,-1,看空：短均线低于长均线3%以上,2005-04-11
2005-04-11,981.315,954.0678,988.8638166666667,-3.5187875297085447,-1,看空：短均线低于长均线3%以上,2005-04-12
2005-04-12,963.181,955.993,988.4552833333333,-3.2841428318195476,-1,看空：短均线低于长均线3%以上,2005-04-13
2005-04-13,985.622,962.2605,988.26255,-2.6310872551024045,0,震荡,2005-04-14
2005-04-14,971.601,966.5557000000001,987.7876,-2.1494398188436348,0,震荡,2005-04-15
2005-04-15,955.94,965.8259,987.0546833333334,-2.1507200859067543,0,震荡,2005-04-18
2005-04-18,945.14,965.6531000000001,986.1198333333334,-2.075481360531062,0,震荡,2005-04-19
2005-04-19,946.986,966.3723000000002,985.37945,-1.9289168248840416,0,震荡,2005-04-20
2005-04-20,930.891,963.7166000000001,984.7289333333333,-2.133819025932948,0,震荡,2005-04-21
2005-04-21,920.935,958.8964,983.7588666666667,-2.5272927654425903,0,震荡,2005-04-22
2005-04-22,914.607,951.6218000000001,982.7961666666667,-3.172007352491024,-1,看空：短均线低于长均线3%以上,2005-04-25
2005-04-25,903.468,943.8371,981.8439999999999,-3.870971355938413,-1,看空：短均线低于长均线3%以上,2005-04-26
2005-04-26,912.457,938.7647,980.6534833333333,-4.271517314245332,-1,看空：短均线低于长均线3%以上,2005-04-27
2005-04-27,900.294,930.2319,978.9799999999999,-4.97947864103454,-1,看空：短均线低于长均线3%以上,2005-04-28
2005-04-28,917.088,924.7806,977.6314500000001,-5.406009595947436,-1,看空：短均线低于长均线3%以上,2005-04-29
2005-04-29,906.462,919.8327999999999,976.2548,-5.779433811746704,-1,看空：短均线低于长均线3%以上,2005-05-09
2005-05-09,881.503,913.4690999999999,974.7226166666666,-6.284199793797751,-1,看空：短均线低于长均线3%以上,2005-05-10
2005-05-10,884.259,907.1964,973.3931666666666,-6.800619619444614,-1,看空：短均线低于长均线3%以上,2005-05-11
