date,industry_count,divergence,divergence_ma20,z5y,mean5y,std5y,signal_score,signal_text,effective_date
2019-03-06,1,,,,,,0,代理中性,2019-03-07
2019-03-07,1,,,,,,0,代理中性,2019-03-08
2019-03-08,1,,,,,,0,代理中性,2019-03-11
2019-03-11,1,,,,,,0,代理中性,2019-03-12
2019-03-12,1,,,,,,0,代理中性,2019-03-13
2019-03-13,1,,,,,,0,代理中性,2019-03-14
2019-03-14,1,,,,,,0,代理中性,2019-03-15
2019-03-15,1,,,,,,0,代理中性,2019-03-18
2019-03-18,1,,,,,,0,代理中性,2019-03-19
2019-03-19,1,,,,,,0,代理中性,2019-03-20
2019-03-20,1,,,,,,0,代理中性,2019-03-21
2019-03-21,1,,,,,,0,代理中性,2019-03-22
2019-03-22,1,,,,,,0,代理中性,2019-03-25
2019-03-25,1,,,,,,0,代理中性,2019-03-26
2019-03-26,1,,,,,,0,代理中性,2019-03-27
2019-03-27,1,,,,,,0,代理中性,2019-03-28
2019-03-28,1,,,,,,0,代理中性,2019-03-29
2019-03-29,1,,,,,,0,代理中性,2019-04-01
2019-04-01,1,,,,,,0,代理中性,2019-04-02
2019-04-02,1,,,,,,0,代理中性,2019-04-03
2019-04-03,1,,,,,,0,代理中性,2019-04-04
2019-04-04,1,,,,,,0,代理中性,2019-04-08
2019-04-08,1,,,,,,0,代理中性,2019-04-09
2019-04-09,1,,,,,,0,代理中性,2019-04-10
2019-04-10,1,,,,,,0,代理中性,2019-04-11
2019-04-11,1,,,,,,0,代理中性,2019-04-12
2019-04-12,1,,,,,,0,代理中性,2019-04-15
2019-04-15,1,,,,,,0,代理中性,2019-04-16
2019-04-16,1,,,,,,0,代理中性,2019-04-17
2019-04-17,1,,,,,,0,代理中性,2019-04-18
2019-04-18,1,,,,,,0,代理中性,2019-04-19
2019-04-19,2,,,,,,0,代理中性,2019-04-22
2019-04-22,2,,,,,,0,代理中性,2019-04-23
2019-04-23,2,,,,,,0,代理中性,2019-04-24
2019-04-24,2,,,,,,0,代理中性,2019-04-25
2019-04-25,2,,,,,,0,代理中性,2019-04-26
2019-04-26,2,,,,,,0,代理中性,2019-04-29
2019-04-29,2,,,,,,0,代理中性,2019-04-30
2019-04-30,2,,,,,,0,代理中性,2019-05-06
2019-05-06,2,,,,,,0,代理中性,2019-05-07
2019-05-07,2,,,,,,0,代理中性,2019-05-08
2019-05-08,2,,,,,,0,代理中性,2019-05-09
2019-05-09,2,,,,,,0,代理中性,2019-05-10
2019-05-10,2,,,,,,0,代理中性,2019-05-13
2019-05-13,2,,,,,,0,代理中性,2019-05-14
2019-05-14,2,,,,,,0,代理中性,2019-05-15
2019-05-15,2,,,,,,0,代理中性,2019-05-16
2019-05-16,2,,,,,,0,代理中性,2019-05-17
2019-05-17,2,,,,,,0,代理中性,2019-05-20
2019-05-20,2,,,,,,0,代理中性,2019-05-21
2019-05-21,2,,,,,,0,代理中性,2019-05-22
2019-05-22,2,,,,,,0,代理中性,2019-05-23
2019-05-23,2,,,,,,0,代理中性,2019-05-24
2019-05-24,2,,,,,,0,代理中性,2019-05-27
2019-05-27,2,,,,,,0,代理中性,2019-05-28
2019-05-28,2,,,,,,0,代理中性,2019-05-29
2019-05-29,2,,,,,,0,代理中性,2019-05-30
2019-05-30,2,,,,,,0,代理中性,2019-05-31
2019-05-31,2,,,,,,0,代理中性,2019-06-03
2019-06-03,2,,,,,,0,代理中性,2019-06-04
2019-06-04,2,,,,,,0,代理中性,2019-06-05
2019-06-05,2,,,,,,0,代理中性,2019-06-06
2019-06-06,2,,,,,,0,代理中性,2019-06-10
2019-06-10,3,,,,,,0,代理中性,2019-06-11
2019-06-11,3,,,,,,0,代理中性,2019-06-12
2019-06-12,3,,,,,,0,代理中性,2019-06-13
2019-06-13,3,,,,,,0,代理中性,2019-06-14
2019-06-14,3,,,,,,0,代理中性,2019-06-17
2019-06-17,3,,,,,,0,代理中性,2019-06-18
2019-06-18,3,,,,,,0,代理中性,2019-06-19
2019-06-19,3,,,,,,0,代理中性,2019-06-20
2019-06-20,3,,,,,,0,代理中性,2019-06-21
2019-06-21,3,,,,,,0,代理中性,2019-06-24
2019-06-24,3,,,,,,0,代理中性,2019-06-25
2019-06-25,3,,,,,,0,代理中性,2019-06-26
2019-06-26,3,,,,,,0,代理中性,2019-06-27
2019-06-27,3,,,,,,0,代理中性,2019-06-28
2019-06-28,3,,,,,,0,代理中性,2019-07-01
2019-07-01,3,,,,,,0,代理中性,2019-07-02
2019-07-02,3,,,,,,0,代理中性,2019-07-03
2019-07-03,3,,,,,,0,代理中性,2019-07-04
2019-07-04,3,,,,,,0,代理中性,2019-07-05
2019-07-05,3,,,,,,0,代理中性,2019-07-08
2019-07-08,3,,,,,,0,代理中性,2019-07-09
2019-07-09,3,,,,,,0,代理中性,2019-07-10
2019-07-10,3,,,,,,0,代理中性,2019-07-11
2019-07-11,3,,,,,,0,代理中性,2019-07-12
2019-07-12,3,,,,,,0,代理中性,2019-07-15
2019-07-15,3,,,,,,0,代理中性,2019-07-16
2019-07-16,3,,,,,,0,代理中性,2019-07-17
2019-07-17,3,,,,,,0,代理中性,2019-07-18
2019-07-18,3,,,,,,0,代理中性,2019-07-19
2019-07-19,3,,,,,,0,代理中性,2019-07-22
2019-07-22,3,,,,,,0,代理中性,2019-07-23
2019-07-23,3,,,,,,0,代理中性,2019-07-24
2019-07-24,3,,,,,,0,代理中性,2019-07-25
2019-07-25,3,,,,,,0,代理中性,2019-07-26
2019-07-26,3,,,,,,0,代理中性,2019-07-29
2019-07-29,3,,,,,,0,代理中性,2019-07-30
2019-07-30,3,,,,,,0,代理中性,2019-07-31
2019-07-31,3,,,,,,0,代理中性,2019-08-01
2019-08-01,3,,,,,,0,代理中性,2019-08-02
2019-08-02,3,,,,,,0,代理中性,2019-08-05
2019-08-05,3,,,,,,0,代理中性,2019-08-06
2019-08-06,3,,,,,,0,代理中性,2019-08-07
2019-08-07,3,,,,,,0,代理中性,2019-08-08
2019-08-08,3,,,,,,0,代理中性,2019-08-09
2019-08-09,3,,,,,,0,代理中性,2019-08-12
2019-08-12,3,,,,,,0,代理中性,2019-08-13
2019-08-13,3,,,,,,0,代理中性,2019-08-14
2019-08-14,3,,,,,,0,代理中性,2019-08-15
2019-08-15,3,,,,,,0,代理中性,2019-08-16
2019-08-16,3,,,,,,0,代理中性,2019-08-19
2019-08-19,3,,,,,,0,代理中性,2019-08-20
2019-08-20,3,,,,,,0,代理中性,2019-08-21
2019-08-21,3,,,,,,0,代理中性,2019-08-22
2019-08-22,3,,,,,,0,代理中性,2019-08-23
2019-08-23,3,,,,,,0,代理中性,2019-08-26
2019-08-26,3,,,,,,0,代理中性,2019-08-27
2019-08-27,3,,,,,,0,代理中性,2019-08-28
2019-08-28,3,,,,,,0,代理中性,2019-08-29
2019-08-29,3,,,,,,0,代理中性,2019-08-30
2019-08-30,3,,,,,,0,代理中性,2019-09-02
2019-09-02,3,,,,,,0,代理中性,2019-09-03
2019-09-03,3,,,,,,0,代理中性,2019-09-04
2019-09-04,3,,,,,,0,代理中性,2019-09-05
2019-09-05,3,,,,,,0,代理中性,2019-09-06
2019-09-06,3,,,,,,0,代理中性,2019-09-09
2019-09-09,3,,,,,,0,代理中性,2019-09-10
2019-09-10,3,,,,,,0,代理中性,2019-09-11
