date,qvix,qvix_z5y,qvix_mean5y,qvix_std5y,signal_score,signal_text,effective_date
2015-02-10,28.75,,,,0,中性,2015-02-11
2015-02-16,23.71,,,,0,中性,2015-02-17
2015-02-17,24.3,,,,0,中性,2015-02-25
2015-02-25,26.33,,,,0,中性,2015-02-26
2015-02-26,26.1,,,,0,中性,2015-02-27
2015-02-27,27.04,,,,0,中性,2015-03-02
2015-03-02,28.05,,,,0,中性,2015-03-03
2015-03-03,28.45,,,,0,中性,2015-03-04
2015-03-09,27.22,,,,0,中性,2015-03-10
2015-04-02,31.77,,,,0,中性,2015-04-03
2015-06-10,48.07,,,,0,中性,2015-06-11
2015-07-24,33.09,,,,0,中性,2015-07-27
2015-08-03,40.45,,,,0,中性,2015-08-04
2015-08-04,40.02,,,,0,中性,2015-08-05
2015-08-06,41.51,,,,0,中性,2015-08-07
2015-08-27,61.14,,,,0,中性,2015-08-28
2015-09-10,41.78,,,,0,中性,2015-09-11
2015-09-17,41.06,,,,0,中性,2015-09-18
2015-09-18,40.19,,,,0,中性,2015-09-21
2015-12-04,32.49,,,,0,中性,2015-12-07
2016-02-29,32.63,,,,0,中性,2016-03-01
2016-03-11,33.64,,,,0,中性,2016-03-14
2016-03-14,33.28,,,,0,中性,2016-03-15
2016-05-10,24.89,,,,0,中性,2016-05-11
2016-05-30,18.57,,,,0,中性,2016-05-31
2016-06-08,21.01,,,,0,中性,2016-06-13
2016-08-29,20.12,,,,0,中性,2016-08-30
2016-09-08,19.66,,,,0,中性,2016-09-09
2016-09-21,17.35,,,,0,中性,2016-09-22
2016-09-28,16.59,,,,0,中性,2016-09-29
2016-10-12,16.08,,,,0,中性,2016-10-13
2016-10-13,15.78,,,,0,中性,2016-10-14
2016-10-14,15.21,,,,0,中性,2016-10-17
2016-10-20,15.19,,,,0,中性,2016-10-21
2016-10-24,15.91,,,,0,中性,2016-10-25
2016-10-25,16.14,,,,0,中性,2016-10-26
2016-10-28,16.11,,,,0,中性,2016-10-31
2016-11-07,19.01,,,,0,中性,2016-11-08
2016-11-24,16.13,,,,0,中性,2016-11-25
2016-11-30,16.39,,,,0,中性,2016-12-01
2016-12-05,16.32,,,,0,中性,2016-12-06
2016-12-09,14.55,,,,0,中性,2016-12-12
2016-12-20,18.42,,,,0,中性,2016-12-21
2016-12-22,17.66,,,,0,中性,2016-12-23
2016-12-23,17.51,,,,0,中性,2016-12-26
2016-12-27,18.41,,,,0,中性,2016-12-28
2017-01-13,13.29,,,,0,中性,2017-01-16
2017-02-08,12.78,,,,0,中性,2017-02-09
2017-02-09,12.63,,,,0,中性,2017-02-10
2017-02-10,12.44,,,,0,中性,2017-02-13
2017-02-13,12.04,,,,0,中性,2017-02-14
2017-03-03,11.34,,,,0,中性,2017-03-06
2017-03-06,11.79,,,,0,中性,2017-03-07
2017-03-16,10.34,,,,0,中性,2017-03-17
2017-03-17,10.12,,,,0,中性,2017-03-20
2017-03-21,10.11,,,,0,中性,2017-03-22
2017-03-29,10.04,,,,0,中性,2017-03-30
2017-03-30,9.93,,,,0,中性,2017-03-31
2017-04-05,10.07,,,,0,中性,2017-04-06
2017-04-10,10.12,,,,0,中性,2017-04-11
2017-06-20,13.99,,,,0,中性,2017-06-21
2017-07-06,13.82,,,,0,中性,2017-07-07
2017-07-10,13.9,,,,0,中性,2017-07-11
2017-07-28,15.57,,,,0,中性,2017-07-31
2017-09-18,13.7,,,,0,中性,2017-09-19
2017-09-19,12.94,,,,0,中性,2017-09-20
2017-09-21,12.75,,,,0,中性,2017-09-22
2017-09-27,12.31,,,,0,中性,2017-09-28
2017-09-28,10.53,,,,0,中性,2017-09-29
2017-10-17,10.66,,,,0,中性,2017-10-18
2017-10-24,11.59,,,,0,中性,2017-10-25
2017-10-25,11.35,,,,0,中性,2017-10-26
2018-01-09,14.27,,,,0,中性,2018-01-10
2018-02-06,22.2,,,,0,中性,2018-02-07
2018-02-14,27.32,,,,0,中性,2018-02-22
2018-02-23,23.97,,,,0,中性,2018-02-26
2018-02-26,24.32,,,,0,中性,2018-02-27
2018-02-27,25.59,,,,0,中性,2018-02-28
2018-03-07,21.85,,,,0,中性,2018-03-08
2018-03-08,20.93,,,,0,中性,2018-03-09
2018-03-09,20.38,,,,0,中性,2018-03-12
2018-06-15,20.02,,,,0,中性,2018-06-19
2018-07-26,22.61,,,,0,中性,2018-07-27
2018-08-17,26.35,,,,0,中性,2018-08-20
2018-10-12,25.83,,,,0,中性,2018-10-15
2018-11-01,29.06,,,,0,中性,2018-11-02
2018-11-16,28.68,,,,0,中性,2018-11-19
2018-11-29,24.33,,,,0,中性,2018-11-30
2018-12-03,22.82,,,,0,中性,2018-12-04
2018-12-05,20.78,,,,0,中性,2018-12-06
2018-12-28,22.71,,,,0,中性,2019-01-02
2019-01-22,17.46,,,,0,中性,2019-01-23
2019-02-21,22.58,,,,0,中性,2019-02-22
2019-03-15,27.19,,,,0,中性,2019-03-18
2019-03-28,25.5,,,,0,中性,2019-03-29
2019-04-02,29.92,,,,0,中性,2019-04-03
2019-04-22,29.5,,,,0,中性,2019-04-23
2019-04-23,27.64,,,,0,中性,2019-04-24
2019-05-16,23.93,,,,0,中性,2019-05-17
2019-05-20,23.21,,,,0,中性,2019-05-21
2019-05-29,21.55,,,,0,中性,2019-05-30
2019-06-21,25.27,,,,0,中性,2019-06-24
2019-06-27,26.99,,,,0,中性,2019-06-28
2019-07-05,24.07,,,,0,中性,2019-07-08
2019-07-09,22.29,,,,0,中性,2019-07-10
2019-07-15,22.68,,,,0,中性,2019-07-16
2019-08-07,21.28,,,,0,中性,2019-08-08
