日期,融资买入额,融资余额,融券余额,融资融券余额
2010-03-31,5866316,5824813,24142,5848955
2010-04-01,1054024,6842114,17325,6859439
2010-04-02,207516,6762781,11929,6774710
2010-04-06,3329461,10091243,10267,10101510
2010-04-07,15141395,25086826,38418,25125244
2010-04-08,5147142,30233781,10110,30243891
2010-04-09,22077191,50663640,10197,50673837
2010-04-12,40376602,89060984,10092,89071076
2010-04-13,17444196,92169145,211445,92380590
2010-04-14,7964900,89480507,212231,89692738
2010-04-15,20916787,103099287,271214,103370501
2010-04-16,25841176,121064474,1198858,122263332
2010-04-19,8395193,112783831,1031561,113815392
2010-04-20,5706716,116673356,1638860,118312216
2010-04-21,14384413,127565065,2513143,130078208
2010-04-22,32603174,157219058,2932237,160151295
2010-04-23,17574818,152902064,2830321,155732385
2010-04-26,35141973,182090321,11042183,193132504
2010-04-27,29621581,202494937,2758191,205253128
2010-04-28,31144701,223249365,2709735,225959100
2010-04-29,27561491,233030157,2847328,235877485
2010-04-30,27804556,235526412,2551528,238077940
2010-05-04,21944030,242846863,3519010,246365873
2010-05-05,50597915,277495916,5144755,282640671
2010-05-06,55666699,314003383,3286323,317289706
2010-05-07,48359014,309938569,4275122,314213691
2010-05-10,36414703,327370089,6273327,333643416
2010-05-11,47067392,350667983,6053063,356721046
2010-05-12,43090277,376113669,6718753,382832422
2010-05-13,43516642,393357604,8409102,401766706
2010-05-14,43883229,415983876,6807124,422791000
2010-05-17,74027562,473201524,4442929,477644453
2010-05-18,32532723,467622771,5137036,472759807
2010-05-19,28129781,475810742,5307357,481118099
2010-05-20,32023540,486806982,9010047,495817029
2010-05-21,51052980,503728469,8942658,512671127
2010-05-24,76158631,534671504,14057930,548729434
2010-05-25,56337279,562759014,10017758,572776772
2010-05-26,17672866,565966886,9060668,575027554
2010-05-27,69689203,604281887,5436101,609717988
2010-05-28,56487576,633696229,4162822,637859051
2010-05-31,37471239,629837529,10343585,640181114
2010-06-01,41486233,639998626,12838683,652837309
2010-06-02,27207650,653397284,12525827,665923111
2010-06-03,38752924,675126222,14194808,689321030
2010-06-04,31729497,680721701,14822564,695544265
2010-06-07,28140634,685693950,6756505,692450455
2010-06-08,34230923,697311113,4737840,702048953
2010-06-09,126771313,785253681,9413470,794667151
2010-06-10,41796850,793255677,7456056,800711733
2010-06-11,44972146,782619926,7216554,789836480
2010-06-17,35258695,802191743,6931429,809123172
2010-06-18,46482526,819295645,5861101,825156746
2010-06-21,99484877,859456754,9530834,868987588
2010-06-22,42295789,867189284,10065984,877255268
2010-06-23,47607058,842719148,8465580,851184728
2010-06-24,47947796,866091036,8977774,875068810
2010-06-25,30535042,877045659,9449157,886494816
2010-06-28,52375764,907046989,8937135,915984124
2010-06-29,56320628,901933545,8772089,910705634
2010-06-30,35114468,908521076,8247937,916769013
2010-07-01,42612154,928736463,9185768,937922231
2010-07-02,55619277,946500624,9352154,955852778
2010-07-05,118587870,1035344028,9394483,1044738511
2010-07-06,59076920,1057442951,9638251,1067081202
2010-07-07,44925331,1064383786,9798533,1074182319
2010-07-08,65542507,1102548838,10084050,1112632888
2010-07-09,157020933,1170639291,11009953,1181649244
