date,pe_ttm,pe_percentile,q10,q25,q50,q75,q90,signal
2007-01-15,30.73,36.09,,,,,,正常
2007-01-15,30.73,36.09,,,,,,正常
2007-01-16,32.61,39.36,,,,,,正常
2007-01-16,32.61,39.36,,,,,,正常
2007-01-17,32.08,39.51,,,,,,正常
2007-01-17,32.08,39.51,,,,,,正常
2007-01-18,31.78,40.11,,,,,,正常
2007-01-18,31.78,40.11,,,,,,正常
2007-01-19,32.65,41.95,,,,,,正常
2007-01-19,32.65,41.95,,,,,,正常
2007-01-22,33.74,43.02,,,,,,正常
2007-01-22,33.74,43.02,,,,,,正常
2007-01-23,37.99,42.95,,,,,,正常
2007-01-23,37.99,42.95,,,,,,正常
2007-01-24,37.98,43.56,,,,,,正常
2007-01-24,37.98,43.56,,,,,,正常
2007-01-25,36.37,41.47,,,,,,正常
2007-01-25,36.37,41.47,,,,,,正常
2007-01-26,36.72,41.61,,,,,,正常
2007-01-26,36.72,41.61,,,,,,正常
2007-01-29,37.46,42.91,,,,,,正常
2007-01-29,37.46,42.91,,,,,,正常
2007-01-30,37.26,42.36,,,,,,正常
2007-01-30,37.26,42.36,,,,,,正常
2007-01-31,35.36,40.11,,,,,,正常
2007-01-31,35.36,40.11,,,,,,正常
2007-02-01,35.35,40.48,,,,,,正常
2007-02-01,35.35,40.48,,,,,,正常
2007-02-02,33.86,39.45,,,,,,正常
2007-02-02,33.86,39.45,,,,,,正常
2007-02-05,33.07,39.69,,,,,,正常
2007-02-05,33.07,39.69,,,,,,正常
2007-02-06,33.84,40.8,,,,,,正常
2007-02-06,33.84,40.8,,,,,,正常
2007-02-07,34.35,41.06,,,,,,正常
2007-02-07,34.35,41.06,,,,,,正常
2007-02-08,34.59,42.11,,,,,,正常
2007-02-08,34.59,42.11,,,,,,正常
2007-02-09,34.45,41.85,,,,,,正常
2007-02-09,34.45,41.85,,,,,,正常
2007-02-12,35.39,42.72,,,,,,正常
2007-02-12,35.39,42.72,,,,,,正常
2007-02-13,35.61,43.66,,,,,,正常
2007-02-13,35.61,43.66,,,,,,正常
2007-02-14,36.54,44.39,,,,,,正常
2007-02-14,36.54,44.39,,,,,,正常
2007-02-15,37.69,45.58,,,,,,正常
2007-02-15,37.69,45.58,,,,,,正常
2007-02-16,37.71,46.08,,,,,,正常
2007-02-16,37.71,46.08,,,,,,正常
2007-02-26,38.16,46.98,,,,,,正常
2007-02-26,38.16,46.98,,,,,,正常
2007-02-27,34.73,43.01,,,,,,正常
2007-02-27,34.73,43.01,,,,,,正常
2007-02-28,36.08,44.43,,,,,,正常
2007-02-28,36.08,44.43,,,,,,正常
2007-03-01,35.0,42.78,,,,,,正常
2007-03-01,35.0,42.78,,,,,,正常
2007-03-02,35.41,43.72,,,,,,正常
2007-03-02,35.41,43.72,,,,,,正常
2007-03-05,34.84,44.23,,,,,,正常
2007-03-05,34.84,44.23,,,,,,正常
2007-03-06,35.52,44.24,,,,,,正常
2007-03-06,35.52,44.24,,,,,,正常
2007-03-07,36.22,45.26,,,,,,正常
2007-03-07,36.22,45.26,,,,,,正常
2007-03-08,36.54,45.98,,,,,,正常
2007-03-08,36.54,45.98,,,,,,正常
2007-03-09,36.6,45.45,,,,,,正常
2007-03-09,36.6,45.45,,,,,,正常
2007-03-12,36.75,46.25,,,,,,正常
2007-03-12,36.75,46.25,,,,,,正常
2007-03-13,36.84,46.61,,,,,,正常
2007-03-13,36.84,46.61,,,,,,正常
2007-03-14,36.09,45.96,,,,,,正常
2007-03-14,36.09,45.96,,,,,,正常
2007-03-15,37.31,46.94,,,,,,正常
2007-03-15,37.31,46.94,,,,,,正常
2007-03-16,36.95,46.65,,,,,,正常
2007-03-16,36.95,46.65,,,,,,正常
2007-03-19,37.89,47.09,,,,,,正常
2007-03-19,37.89,47.09,,,,,,正常
2007-03-20,37.68,47.4,,,,,,正常
2007-03-20,37.68,47.4,,,,,,正常
2007-03-21,37.96,48.91,,,,,,正常
2007-03-21,37.96,48.91,,,,,,正常
2007-03-22,38.02,48.39,,,,,,正常
2007-03-22,38.02,48.39,,,,,,正常
2007-03-23,36.34,48.58,,,,,,正常
2007-03-23,36.34,48.58,,,,,,正常
2007-03-26,36.9,50.94,,,,,,正常
2007-03-26,36.9,50.94,,,,,,正常
2007-03-27,37.03,51.2,,,,,,正常
2007-03-27,37.03,51.2,,,,,,正常
2007-03-28,37.37,50.49,,,,,,正常
2007-03-28,37.37,50.49,,,,,,正常
2007-03-29,37.77,48.69,,,,,,正常
2007-03-29,37.77,48.69,,,,,,正常
2007-03-30,37.6,48.95,,,,,,正常
2007-03-30,37.6,48.95,,,,,,正常
2007-04-02,38.11,50.24,,,,,,正常
2007-04-02,38.11,50.24,,,,,,正常
2007-04-03,38.55,50.8,,,,,,正常
2007-04-03,38.55,50.8,,,,,,正常
2007-04-04,37.25,51.38,,,,,,正常
2007-04-04,37.25,51.38,,,,,,正常
2007-04-05,37.55,52.39,,,,,,正常
2007-04-05,37.55,52.39,,,,,,正常
2007-04-06,37.63,53.61,,,,,,正常
2007-04-06,37.63,53.61,,,,,,正常
2007-04-09,38.46,54.25,,,,,,正常
2007-04-09,38.46,54.25,,,,,,正常
2007-04-10,38.58,54.19,,,,,,正常
2007-04-10,38.58,54.19,,,,,,正常
2007-04-11,39.01,55.13,,,,,,正常
2007-04-11,39.01,55.13,,,,,,正常
2007-04-12,39.03,56.45,,,,,,正常
2007-04-12,39.03,56.45,,,,,,正常
2007-04-13,38.89,56.89,,,,,,正常
2007-04-13,38.89,56.89,,,,,,正常
2007-04-16,38.54,57.7,,,,,,正常
2007-04-16,38.54,57.7,,,,,,正常
2007-04-17,38.45,58.26,,,,,,正常
2007-04-17,38.45,58.26,,,,,,正常
2007-04-18,37.83,59.06,,,,,,正常
2007-04-18,37.83,59.06,,,,,,正常
2007-04-19,35.97,56.38,,,,,,正常
2007-04-19,35.97,56.38,,,,,,正常
2007-04-20,37.28,58.14,,,,,,正常
2007-04-20,37.28,58.14,,,,,,正常
2007-04-23,38.54,60.28,,,,,,正常
2007-04-23,38.54,60.28,,,,,,正常
2007-04-24,38.55,60.71,,,,,,正常
2007-04-24,38.55,60.71,,,,,,正常
2007-04-25,38.59,59.35,,,,,,正常
2007-04-25,38.59,59.35,,,,,,正常
2007-04-26,38.68,60.44,,,,,,正常
2007-04-26,38.68,60.44,,,,,,正常
2007-04-27,37.15,58.67,,,,,,正常
2007-04-27,37.15,58.67,,,,,,正常
2007-04-30,36.84,58.61,,,,,,正常
2007-04-30,36.84,58.61,,,,,,正常
2007-05-08,38.64,61.22,,,,,,正常
2007-05-08,38.64,61.22,,,,,,正常
2007-05-09,39.25,61.13,,,,,,正常
2007-05-09,39.25,61.13,,,,,,正常
2007-05-10,39.58,61.21,,,,,,正常
2007-05-10,39.58,61.21,,,,,,正常
2007-05-11,39.22,60.63,,,,,,正常
2007-05-11,39.22,60.63,,,,,,正常
2007-05-14,39.48,61.21,,,,,,正常
2007-05-14,39.48,61.21,,,,,,正常
2007-05-15,38.06,59.11,,,,,,正常
2007-05-15,38.06,59.11,,,,,,正常
2007-05-16,38.88,61.1,,,,,,正常
2007-05-16,38.88,61.1,,,,,,正常
2007-05-17,39.43,62.33,,,,,,正常
2007-05-17,39.43,62.33,,,,,,正常
2007-05-18,39.93,62.66,,,,,,正常
2007-05-18,39.93,62.66,,,,,,正常
