日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-07-23,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.71,19.69,2.33,1.95
2026-07-22,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.66,19.66,2.33,1.95
2026-07-21,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.68,19.77,2.33,1.94
2026-07-20,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.3,19.08,2.38,2.02
2026-07-17,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.08,18.93,2.42,2.03
2026-07-16,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.58,19.73,2.34,1.95
2026-07-15,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.87,20.13,2.3,1.91
2026-07-14,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.91,20.24,2.3,1.9
2026-07-13,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.61,19.82,2.34,1.94
2026-07-10,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.91,20.32,2.29,1.89
2026-07-09,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.15,20.72,2.26,1.85
2026-07-08,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.83,20.18,2.3,1.9
2026-07-07,906,中证800指数,中证800,CSI 800 Index,CSI 800,16.93,20.37,2.29,1.88
2026-07-06,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.11,20.63,2.27,1.86
2026-07-03,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.12,20.69,2.27,1.86
2026-07-02,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.0,20.55,2.28,1.87
2026-07-01,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.43,21.21,2.22,1.81
2026-06-30,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.43,21.28,2.22,1.8
2026-06-29,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.28,20.98,2.31,1.89
2026-06-26,906,中证800指数,中证800,CSI 800 Index,CSI 800,17.12,20.74,2.33,1.91
